# MAGNESIUM FLUORIDE from NIST Database
3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
9.000e+00 3.210e-02 3.500e+00 0.000e+00 0.000e+00
1.200e+01 1.605e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.825e+00 9.943e-03 3.804e+03 0.000e+00
1.020e-03 1.820e+00 1.025e-02 3.616e+03 0.000e+00
1.126e-03 1.791e+00 1.194e-02 2.805e+03 0.000e+00
1.243e-03 1.761e+00 1.386e-02 2.173e+03 0.000e+00
1.305e-03 1.744e+00 1.489e-02 1.914e+03 0.000e+00
1.305e-03 1.744e+00 1.489e-02 3.861e+03 0.000e+00
1.372e-03 1.726e+00 1.601e-02 3.431e+03 0.000e+00
1.500e-03 1.691e+00 1.814e-02 2.767e+03 0.000e+00
1.515e-03 1.687e+00 1.839e-02 2.700e+03 0.000e+00
1.672e-03 1.643e+00 2.100e-02 2.100e+03 0.000e+00
1.846e-03 1.594e+00 2.388e-02 1.617e+03 0.000e+00
2.000e-03 1.550e+00 2.642e-02 1.304e+03 0.000e+00
2.038e-03 1.540e+00 2.705e-02 1.239e+03 0.000e+00
2.250e-03 1.481e+00 3.055e-02 9.487e+02 0.000e+00
2.483e-03 1.418e+00 3.438e-02 7.260e+02 0.000e+00
2.741e-03 1.351e+00 3.860e-02 5.540e+02 0.000e+00
3.000e-03 1.286e+00 4.279e-02 4.316e+02 0.000e+00
3.026e-03 1.279e+00 4.321e-02 4.214e+02 0.000e+00
3.341e-03 1.204e+00 4.823e-02 3.194e+02 0.000e+00
3.688e-03 1.126e+00 5.362e-02 2.415e+02 0.000e+00
4.000e-03 1.060e+00 5.832e-02 1.915e+02 0.000e+00
4.071e-03 1.045e+00 5.936e-02 1.821e+02 0.000e+00
4.494e-03 9.636e-01 6.541e-02 1.370e+02 0.000e+00
4.961e-03 8.815e-01 7.170e-02 1.028e+02 0.000e+00
5.000e-03 8.751e-01 7.221e-02 1.005e+02 0.000e+00
5.477e-03 8.003e-01 7.815e-02 7.702e+01 0.000e+00
6.000e-03 7.273e-01 8.416e-02 5.890e+01 0.000e+00
6.046e-03 7.213e-01 8.467e-02 5.758e+01 0.000e+00
6.675e-03 6.454e-01 9.114e-02 4.294e+01 0.000e+00
7.368e-03 5.739e-01 9.747e-02 3.198e+01 0.000e+00
8.000e-03 5.181e-01 1.026e-01 2.498e+01 0.000e+00
8.134e-03 5.073e-01 1.036e-01 2.377e+01 0.000e+00
8.979e-03 4.461e-01 1.094e-01 1.764e+01 0.000e+00
9.912e-03 3.908e-01 1.149e-01 1.306e+01 0.000e+00
1.000e-02 3.861e-01 1.154e-01 1.272e+01 0.000e+00
1.094e-02 3.413e-01 1.200e-01 9.666e+00 0.000e+00
1.208e-02 2.972e-01 1.247e-01 7.130e+00 0.000e+00
