# MAGNESIUM OXIDE from NIST Database
3.580e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.481e-02 3.500e+00 0.000e+00 0.000e+00
1.200e+01 2.481e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.890e+00 1.269e-02 2.376e+03 0.000e+00
1.020e-03 1.883e+00 1.306e-02 2.254e+03 0.000e+00
1.126e-03 1.850e+00 1.509e-02 1.733e+03 0.000e+00
1.243e-03 1.814e+00 1.738e-02 1.331e+03 0.000e+00
1.305e-03 1.794e+00 1.859e-02 1.168e+03 0.000e+00
1.305e-03 1.794e+00 1.859e-02 4.177e+03 0.000e+00
1.372e-03 1.773e+00 1.988e-02 3.728e+03 0.000e+00
1.500e-03 1.732e+00 2.230e-02 3.027e+03 0.000e+00
1.515e-03 1.727e+00 2.258e-02 2.956e+03 0.000e+00
1.672e-03 1.677e+00 2.547e-02 2.310e+03 0.000e+00
1.846e-03 1.622e+00 2.857e-02 1.782e+03 0.000e+00
2.000e-03 1.575e+00 3.126e-02 1.439e+03 0.000e+00
2.038e-03 1.564e+00 3.191e-02 1.369e+03 0.000e+00
2.250e-03 1.501e+00 3.552e-02 1.050e+03 0.000e+00
2.483e-03 1.436e+00 3.939e-02 8.060e+02 0.000e+00
2.741e-03 1.367e+00 4.359e-02 6.168e+02 0.000e+00
3.000e-03 1.302e+00 4.771e-02 4.819e+02 0.000e+00
3.026e-03 1.296e+00 4.812e-02 4.705e+02 0.000e+00
3.341e-03 1.222e+00 5.300e-02 3.575e+02 0.000e+00
3.688e-03 1.146e+00 5.820e-02 2.709e+02 0.000e+00
4.000e-03 1.082e+00 6.271e-02 2.152e+02 0.000e+00
4.071e-03 1.068e+00 6.371e-02 2.047e+02 0.000e+00
4.494e-03 9.890e-01 6.950e-02 1.543e+02 0.000e+00
4.961e-03 9.095e-01 7.550e-02 1.161e+02 0.000e+00
5.000e-03 9.032e-01 7.598e-02 1.135e+02 0.000e+00
5.477e-03 8.303e-01 8.164e-02 8.710e+01 0.000e+00
6.000e-03 7.583e-01 8.738e-02 6.671e+01 0.000e+00
6.046e-03 7.523e-01 8.786e-02 6.523e+01 0.000e+00
6.675e-03 6.765e-01 9.409e-02 4.873e+01 0.000e+00
7.368e-03 6.042e-01 1.002e-01 3.636e+01 0.000e+00
8.000e-03 5.471e-01 1.053e-01 2.844e+01 0.000e+00
8.134e-03 5.360e-01 1.063e-01 2.707e+01 0.000e+00
8.979e-03 4.729e-01 1.121e-01 2.012e+01 0.000e+00
9.912e-03 4.152e-01 1.176e-01 1.493e+01 0.000e+00
1.000e-02 4.104e-01 1.181e-01 1.453e+01 0.000e+00
1.094e-02 3.634e-01 1.229e-01 1.106e+01 0.000e+00
1.208e-02 3.169e-01 1.278e-01 8.169e+00 0.000e+00
1.334e-02 2.755e-01 1.323e-01 6.022e+00 0.000e+00
1.472e-02 2.393e-01 1.364e-01 4.444e+00 0.000e+00
1.500e-02 2.329e-01 1.372e-01 4.192e+00 0.000e+00
1.625e-02 2.074e-01 1.402e-01 3.270e+00 0.000e+00
1.794e-02 1.794e-01 1.436e-01 2.403e+00 0.000e+00
1.980e-02 1.549e-01 1.466e-01 1.765e+00 0.000e+00
2.000e-02 1.526e-01 1.469e-01 1.710e+00 0.000e+00
2.186e-02 1.335e-01 1.493e-01 1.293e+00 0.000e+00
2.413e-02 1.147e-01 1.516e-01 9.468e-01 0.000e+00
2.664e-02 9.837e-02 1.536e-01 6.920e-01 0.000e+00
2.941e-02 8.407e-02 1.551e-01 5.052e-01 0.000e+00
3.000e-02 8.143e-02 1.554e-01 4.742e-01 0.000e+00
3.247e-02 7.161e-02 1.563e-01 3.684e-01 0.000e+00
3.584e-02 6.082e-02 1.571e-01 2.686e-01 0.000e+00
3.957e-02 5.146e-02 1.575e-01 1.955e-01 0.000e+00
4.000e-02 5.052e-02 1.576e-01 1.888e-01 0.000e+00
4.368e-02 4.341e-02 1.575e-01 1.423e-01 0.000e+00
4.822e-02 3.652e-02 1.572e-01 1.034e-01 0.000e+00
5.000e-02 3.425e-02 1.569e-01 9.200e-02 0.000e+00
5.323e-02 3.065e-02 1.564e-01 7.513e-02 0.000e+00
5.876e-02 2.566e-02 1.553e-01 5.454e-02 0.000e+00
6.000e-02 2.471e-02 1.550e-01 5.097e-02 0.000e+00
6.486e-02 2.145e-02 1.538e-01 3.959e-02 0.000e+00
7.161e-02 1.789e-02 1.520e-01 2.871e-02 0.000e+00
7.905e-02 1.490e-02 1.500e-01 2.082e-02 0.000e+00
8.000e-02 1.457e-02 1.497e-01 2.003e-02 0.000e+00
8.726e-02 1.240e-02 1.476e-01 1.510e-02 0.000e+00
9.633e-02 1.030e-02 1.450e-01 1.095e-02 0.000e+00
1.000e-01 9.594e-03 1.440e-01 9.693e-03 0.000e+00
1.063e-01 8.546e-03 1.422e-01 7.948e-03 0.000e+00
1.174e-01 7.074e-03 1.392e-01 5.758e-03 0.000e+00
1.296e-01 5.854e-03 1.360e-01 4.181e-03 0.000e+00
1.431e-01 4.837e-03 1.327e-01 3.037e-03 0.000e+00
1.500e-01 4.416e-03 1.310e-01 2.610e-03 0.000e+00
1.579e-01 3.998e-03 1.292e-01 2.213e-03 0.000e+00
1.743e-01 3.298e-03 1.257e-01 1.613e-03 0.000e+00
1.925e-01 2.716e-03 1.220e-01 1.176e-03 0.000e+00
2.000e-01 2.520e-03 1.206e-01 1.042e-03 0.000e+00
2.125e-01 2.238e-03 1.183e-01 8.610e-04 0.000e+00
2.345e-01 1.843e-03 1.146e-01 6.326e-04 0.000e+00
2.589e-01 1.516e-03 1.109e-01 4.657e-04 0.000e+00
2.858e-01 1.247e-03 1.071e-01 3.444e-04 0.000e+00
3.000e-01 1.133e-03 1.052e-01 2.975e-04 0.000e+00
3.155e-01 1.025e-03 1.033e-01 2.558e-04 0.000e+00
3.483e-01 8.427e-04 9.961e-02 1.910e-04 0.000e+00
3.845e-01 6.924e-04 9.591e-02 1.435e-04 0.000e+00
4.000e-01 6.401e-04 9.445e-02 1.282e-04 0.000e+00
4.245e-01 5.687e-04 9.226e-02 1.084e-04 0.000e+00
4.686e-01 4.672e-04 8.865e-02 8.258e-05 0.000e+00
5.000e-01 4.105e-04 8.632e-02 6.941e-05 0.000e+00
5.173e-01 3.836e-04 8.510e-02 6.347e-05 0.000e+00
5.710e-01 3.150e-04 8.161e-02 4.918e-05 0.000e+00
6.000e-01 2.853e-04 7.988e-02 4.333e-05 0.000e+00
6.304e-01 2.585e-04 7.817e-02 3.820e-05 0.000e+00
6.959e-01 2.123e-04 7.481e-02 2.987e-05 0.000e+00
7.682e-01 1.743e-04 7.153e-02 2.382e-05 0.000e+00
8.000e-01 1.607e-04 7.021e-02 2.189e-05 0.000e+00
8.480e-01 1.430e-04 6.833e-02 1.957e-05 0.000e+00
9.361e-01 1.174e-04 6.520e-02 1.605e-05 0.000e+00
1.000e+00 1.029e-04 6.314e-02 1.361e-05 0.000e+00
1.022e+00 9.853e-05 6.247e-02 1.280e-05 0.000e+00
1.033e+00 9.645e-05 6.214e-02 1.243e-05 5.023e-09
1.141e+00 7.907e-05 5.914e-02 1.007e-05 4.730e-06
1.250e+00 6.588e-05 5.646e-02 8.678e-06 2.541e-05
1.259e+00 6.494e-05 5.626e-02 8.575e-06 2.795e-05
1.390e+00 5.328e-05 5.343e-02 7.211e-06 7.877e-05
1.500e+00 4.575e-05 5.132e-02 6.290e-06 1.395e-04
1.535e+00 4.369e-05 5.070e-02 6.041e-06 1.618e-04
1.694e+00 3.586e-05 4.808e-02 5.119e-06 2.785e-04
1.870e+00 2.943e-05 4.553e-02 4.371e-06 4.305e-04
2.000e+00 2.574e-05 4.381e-02 3.935e-06 5.533e-04
2.044e+00 2.465e-05 4.326e-02 3.805e-06 5.963e-04
2.065e+00 2.416e-05 4.300e-02 3.745e-06 6.170e-04
2.279e+00 1.985e-05 4.059e-02 3.227e-06 8.336e-04
2.516e+00 1.628e-05 3.830e-02 2.794e-06 1.080e-03
2.778e+00 1.335e-05 3.611e-02 2.428e-06 1.356e-03
3.000e+00 1.144e-05 3.446e-02 2.184e-06 1.589e-03
3.066e+00 1.095e-05 3.401e-02 2.120e-06 1.658e-03
3.385e+00 8.986e-06 3.197e-02 1.856e-06 1.989e-03
3.737e+00 7.374e-06 3.003e-02 1.629e-06 2.345e-03
4.000e+00 6.437e-06 2.874e-02 1.492e-06 2.603e-03
4.125e+00 6.053e-06 2.817e-02 1.434e-06 2.724e-03
4.554e+00 4.966e-06 2.641e-02 1.266e-06 3.123e-03
5.000e+00 4.119e-06 2.483e-02 1.128e-06 3.521e-03
5.027e+00 4.075e-06 2.474e-02 1.121e-06 3.544e-03
5.549e+00 3.344e-06 2.314e-02 9.937e-07 3.989e-03
6.000e+00 2.860e-06 2.194e-02 9.049e-07 4.355e-03
6.126e+00 2.744e-06 2.163e-02 8.828e-07 4.453e-03
6.762e+00 2.252e-06 2.020e-02 7.858e-07 4.931e-03
7.000e+00 2.102e-06 1.972e-02 7.547e-07 5.101e-03
7.465e+00 1.848e-06 1.885e-02 7.004e-07 5.423e-03
8.000e+00 1.609e-06 1.795e-02 6.468e-07 5.776e-03
8.241e+00 1.516e-06 1.757e-02 6.252e-07 5.930e-03
9.000e+00 1.272e-06 1.650e-02 5.657e-07 6.393e-03
9.097e+00 1.245e-06 1.637e-02 5.589e-07 6.449e-03
1.000e+01 1.030e-06 1.529e-02 5.026e-07 6.953e-03
1.004e+01 1.022e-06 1.524e-02 5.003e-07 6.975e-03
1.100e+01 8.511e-07 1.426e-02 4.520e-07 7.466e-03
1.109e+01 8.373e-07 1.417e-02 4.480e-07 7.509e-03
1.200e+01 7.151e-07 1.337e-02 4.106e-07 7.936e-03
1.224e+01 6.873e-07 1.318e-02 4.018e-07 8.044e-03
1.300e+01 6.093e-07 1.260e-02 3.762e-07 8.375e-03
1.351e+01 5.642e-07 1.224e-02 3.608e-07 8.586e-03
1.400e+01 5.254e-07 1.192e-02 3.471e-07 8.783e-03
1.491e+01 4.633e-07 1.137e-02 3.242e-07 9.132e-03
1.500e+01 4.577e-07 1.131e-02 3.221e-07 9.165e-03
1.600e+01 4.023e-07 1.078e-02 3.004e-07 9.525e-03
1.646e+01 3.801e-07 1.055e-02 2.914e-07 9.683e-03
1.800e+01 3.178e-07 9.848e-03 2.648e-07 1.018e-02
1.818e+01 3.115e-07 9.773e-03 2.620e-07 1.024e-02
2.000e+01 2.575e-07 9.082e-03 2.368e-07 1.077e-02
