# MAGNESIUM TETRABORATE from NIST Database
2.530e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.000e+00 2.228e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.899e-02 3.500e+00 0.000e+00 0.000e+00
1.200e+01 5.569e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.421e+00 1.128e-02 3.282e+03 0.000e+00
1.020e-03 1.416e+00 1.166e-02 3.113e+03 0.000e+00
1.126e-03 1.390e+00 1.377e-02 2.389e+03 0.000e+00
1.243e-03 1.363e+00 1.622e-02 1.831e+03 0.000e+00
1.305e-03 1.348e+00 1.756e-02 1.605e+03 0.000e+00
1.305e-03 1.348e+00 1.756e-02 2.281e+03 0.000e+00
1.372e-03 1.332e+00 1.903e-02 2.009e+03 0.000e+00
1.500e-03 1.301e+00 2.189e-02 1.597e+03 0.000e+00
1.515e-03 1.297e+00 2.223e-02 1.556e+03 0.000e+00
1.672e-03 1.256e+00 2.578e-02 1.197e+03 0.000e+00
1.846e-03 1.211e+00 2.973e-02 9.139e+02 0.000e+00
2.000e-03 1.170e+00 3.323e-02 7.323e+02 0.000e+00
2.038e-03 1.161e+00 3.410e-02 6.951e+02 0.000e+00
2.250e-03 1.106e+00 3.887e-02 5.279e+02 0.000e+00
2.483e-03 1.049e+00 4.402e-02 4.008e+02 0.000e+00
2.741e-03 9.875e-01 4.955e-02 3.034e+02 0.000e+00
3.000e-03 9.295e-01 5.488e-02 2.348e+02 0.000e+00
3.026e-03 9.238e-01 5.540e-02 2.291e+02 0.000e+00
3.341e-03 8.583e-01 6.151e-02 1.724e+02 0.000e+00
3.688e-03 7.922e-01 6.781e-02 1.295e+02 0.000e+00
4.000e-03 7.379e-01 7.307e-02 1.022e+02 0.000e+00
4.071e-03 7.262e-01 7.422e-02 9.707e+01 0.000e+00
4.494e-03 6.614e-01 8.067e-02 7.261e+01 0.000e+00
4.961e-03 5.988e-01 8.709e-02 5.420e+01 0.000e+00
5.000e-03 5.939e-01 8.759e-02 5.296e+01 0.000e+00
5.477e-03 5.390e-01 9.340e-02 4.037e+01 0.000e+00
6.000e-03 4.869e-01 9.906e-02 3.072e+01 0.000e+00
6.046e-03 4.827e-01 9.953e-02 3.002e+01 0.000e+00
6.675e-03 4.301e-01 1.054e-01 2.228e+01 0.000e+00
7.368e-03 3.818e-01 1.111e-01 1.652e+01 0.000e+00
8.000e-03 3.447e-01 1.156e-01 1.286e+01 0.000e+00
8.134e-03 3.376e-01 1.165e-01 1.222e+01 0.000e+00
8.979e-03 2.977e-01 1.216e-01 9.028e+00 0.000e+00
9.912e-03 2.618e-01 1.263e-01 6.660e+00 0.000e+00
1.000e-02 2.588e-01 1.267e-01 6.480e+00 0.000e+00
1.094e-02 2.299e-01 1.308e-01 4.907e+00 0.000e+00
1.208e-02 2.013e-01 1.350e-01 3.605e+00 0.000e+00
1.334e-02 1.758e-01 1.389e-01 2.644e+00 0.000e+00
1.472e-02 1.534e-01 1.425e-01 1.941e+00 0.000e+00
1.500e-02 1.494e-01 1.432e-01 1.829e+00 0.000e+00
1.625e-02 1.334e-01 1.458e-01 1.421e+00 0.000e+00
1.794e-02 1.157e-01 1.488e-01 1.039e+00 0.000e+00
1.980e-02 1.001e-01 1.515e-01 7.600e-01 0.000e+00
2.000e-02 9.862e-02 1.517e-01 7.360e-01 0.000e+00
