# MERCURIC IODIDE from NIST Database
6.360e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.300e+01 4.402e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+01 2.201e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.015e+01 4.191e-03 7.203e+03 0.000e+00
1.020e-03 1.013e+01 4.329e-03 6.916e+03 0.000e+00
1.072e-03 1.009e+01 4.694e-03 6.243e+03 0.000e+00
1.072e-03 1.009e+01 4.694e-03 6.431e+03 0.000e+00
1.126e-03 1.004e+01 5.079e-03 5.791e+03 0.000e+00
1.243e-03 9.932e+00 5.934e-03 4.689e+03 0.000e+00
1.372e-03 9.812e+00 6.898e-03 3.797e+03 0.000e+00
1.500e-03 9.687e+00 7.863e-03 3.139e+03 0.000e+00
1.515e-03 9.672e+00 7.976e-03 3.068e+03 0.000e+00
1.672e-03 9.510e+00 9.159e-03 2.450e+03 0.000e+00
1.846e-03 9.325e+00 1.046e-02 1.955e+03 0.000e+00
2.000e-03 9.158e+00 1.161e-02 1.629e+03 0.000e+00
2.038e-03 9.116e+00 1.190e-02 1.558e+03 0.000e+00
2.250e-03 8.884e+00 1.346e-02 1.232e+03 0.000e+00
2.295e-03 8.836e+00 1.379e-02 1.175e+03 0.000e+00
2.295e-03 8.836e+00 1.379e-02 1.225e+03 0.000e+00
2.339e-03 8.787e+00 1.412e-02 1.391e+03 0.000e+00
2.385e-03 8.739e+00 1.444e-02 1.656e+03 0.000e+00
2.385e-03 8.739e+00 1.444e-02 1.729e+03 0.000e+00
2.483e-03 8.634e+00 1.515e-02 1.639e+03 0.000e+00
2.741e-03 8.365e+00 1.697e-02 1.445e+03 0.000e+00
2.847e-03 8.255e+00 1.771e-02 1.380e+03 0.000e+00
2.847e-03 8.255e+00 1.771e-02 1.521e+03 0.000e+00
3.000e-03 8.098e+00 1.876e-02 1.341e+03 0.000e+00
3.026e-03 8.071e+00 1.894e-02 1.313e+03 0.000e+00
3.278e-03 7.820e+00 2.063e-02 1.076e+03 0.000e+00
