# N,N-DIMETHYL FORMAMIDE from NIST Database
9.487e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.576e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.105e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 1.368e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 1.368e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.141e+00 1.506e-02 2.729e+03 0.000e+00
1.020e-03 1.137e+00 1.559e-02 2.585e+03 0.000e+00
1.126e-03 1.113e+00 1.852e-02 1.972e+03 0.000e+00
1.243e-03 1.088e+00 2.197e-02 1.502e+03 0.000e+00
1.372e-03 1.060e+00 2.595e-02 1.143e+03 0.000e+00
1.500e-03 1.031e+00 3.003e-02 8.909e+02 0.000e+00
1.515e-03 1.028e+00 3.051e-02 8.663e+02 0.000e+00
1.672e-03 9.905e-01 3.561e-02 6.553e+02 0.000e+00
1.846e-03 9.482e-01 4.128e-02 4.937e+02 0.000e+00
2.000e-03 9.108e-01 4.628e-02 3.918e+02 0.000e+00
2.038e-03 9.016e-01 4.751e-02 3.711e+02 0.000e+00
2.250e-03 8.513e-01 5.426e-02 2.783e+02 0.000e+00
2.483e-03 7.982e-01 6.145e-02 2.086e+02 0.000e+00
2.741e-03 7.427e-01 6.905e-02 1.559e+02 0.000e+00
3.000e-03 6.907e-01 7.624e-02 1.192e+02 0.000e+00
3.026e-03 6.857e-01 7.693e-02 1.162e+02 0.000e+00
3.341e-03 6.282e-01 8.497e-02 8.645e+01 0.000e+00
3.688e-03 5.715e-01 9.300e-02 6.423e+01 0.000e+00
4.000e-03 5.262e-01 9.952e-02 5.025e+01 0.000e+00
4.071e-03 5.166e-01 1.009e-01 4.764e+01 0.000e+00
4.494e-03 4.644e-01 1.086e-01 3.527e+01 0.000e+00
4.961e-03 4.154e-01 1.159e-01 2.607e+01 0.000e+00
5.000e-03 4.117e-01 1.164e-01 2.545e+01 0.000e+00
5.477e-03 3.702e-01 1.227e-01 1.923e+01 0.000e+00
6.000e-03 3.321e-01 1.287e-01 1.450e+01 0.000e+00
6.046e-03 3.291e-01 1.291e-01 1.416e+01 0.000e+00
6.675e-03 2.919e-01 1.351e-01 1.041e+01 0.000e+00
7.368e-03 2.587e-01 1.406e-01 7.649e+00 0.000e+00
8.000e-03 2.338e-01 1.448e-01 5.909e+00 0.000e+00
8.134e-03 2.290e-01 1.456e-01 5.609e+00 0.000e+00
8.979e-03 2.027e-01 1.503e-01 4.108e+00 0.000e+00
9.912e-03 1.793e-01 1.547e-01 3.004e+00 0.000e+00
1.000e-02 1.773e-01 1.550e-01 2.921e+00 0.000e+00
1.094e-02 1.584e-01 1.587e-01 2.195e+00 0.000e+00
1.208e-02 1.397e-01 1.625e-01 1.600e+00 0.000e+00
1.334e-02 1.228e-01 1.660e-01 1.164e+00 0.000e+00
