# N-PROPYL ALCOHOL from NIST Database
8.035e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.331e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.992e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 1.664e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.093e+00 1.659e-02 2.547e+03 0.000e+00
1.020e-03 1.089e+00 1.717e-02 2.413e+03 0.000e+00
1.126e-03 1.066e+00 2.039e-02 1.841e+03 0.000e+00
1.243e-03 1.041e+00 2.416e-02 1.403e+03 0.000e+00
1.372e-03 1.014e+00 2.852e-02 1.067e+03 0.000e+00
1.500e-03 9.853e-01 3.297e-02 8.316e+02 0.000e+00
1.515e-03 9.819e-01 3.349e-02 8.086e+02 0.000e+00
1.672e-03 9.456e-01 3.904e-02 6.116e+02 0.000e+00
1.846e-03 9.045e-01 4.519e-02 4.607e+02 0.000e+00
2.000e-03 8.682e-01 5.059e-02 3.657e+02 0.000e+00
2.038e-03 8.594e-01 5.192e-02 3.463e+02 0.000e+00
2.250e-03 8.107e-01 5.918e-02 2.597e+02 0.000e+00
2.483e-03 7.595e-01 6.688e-02 1.946e+02 0.000e+00
2.741e-03 7.062e-01 7.498e-02 1.455e+02 0.000e+00
3.000e-03 6.564e-01 8.261e-02 1.113e+02 0.000e+00
3.026e-03 6.516e-01 8.334e-02 1.085e+02 0.000e+00
3.341e-03 5.966e-01 9.182e-02 8.069e+01 0.000e+00
3.688e-03 5.426e-01 1.002e-01 5.996e+01 0.000e+00
4.000e-03 4.996e-01 1.070e-01 4.691e+01 0.000e+00
4.071e-03 4.904e-01 1.085e-01 4.447e+01 0.000e+00
4.494e-03 4.408e-01 1.164e-01 3.293e+01 0.000e+00
4.961e-03 3.944e-01 1.239e-01 2.433e+01 0.000e+00
5.000e-03 3.908e-01 1.245e-01 2.376e+01 0.000e+00
5.477e-03 3.516e-01 1.310e-01 1.795e+01 0.000e+00
6.000e-03 3.155e-01 1.370e-01 1.354e+01 0.000e+00
6.046e-03 3.126e-01 1.375e-01 1.322e+01 0.000e+00
6.675e-03 2.775e-01 1.435e-01 9.721e+00 0.000e+00
7.368e-03 2.460e-01 1.491e-01 7.141e+00 0.000e+00
8.000e-03 2.224e-01 1.533e-01 5.517e+00 0.000e+00
8.134e-03 2.179e-01 1.542e-01 5.236e+00 0.000e+00
8.979e-03 1.929e-01 1.589e-01 3.835e+00 0.000e+00
9.912e-03 1.706e-01 1.632e-01 2.805e+00 0.000e+00
1.000e-02 1.687e-01 1.636e-01 2.727e+00 0.000e+00
1.094e-02 1.508e-01 1.672e-01 2.050e+00 0.000e+00
1.208e-02 1.329e-01 1.710e-01 1.494e+00 0.000e+00
1.334e-02 1.168e-01 1.744e-01 1.087e+00 0.000e+00
1.472e-02 1.024e-01 1.776e-01 7.921e-01 0.000e+00
1.500e-02 9.980e-02 1.781e-01 7.454e-01 0.000e+00
1.625e-02 8.934e-02 1.804e-01 5.757e-01 0.000e+00
1.794e-02 7.758e-02 1.830e-01 4.179e-01 0.000e+00
1.980e-02 6.707e-02 1.851e-01 3.033e-01 0.000e+00
2.000e-02 6.606e-02 1.853e-01 2.936e-01 0.000e+00
2.186e-02 5.767e-02 1.869e-01 2.197e-01 0.000e+00
2.413e-02 4.937e-02 1.882e-01 1.591e-01 0.000e+00
2.664e-02 4.207e-02 1.891e-01 1.151e-01 0.000e+00
2.941e-02 3.572e-02 1.896e-01 8.317e-02 0.000e+00
3.000e-02 3.455e-02 1.896e-01 7.791e-02 0.000e+00
3.247e-02 3.022e-02 1.897e-01 6.005e-02 0.000e+00
3.584e-02 2.550e-02 1.893e-01 4.337e-02 0.000e+00
3.957e-02 2.146e-02 1.886e-01 3.128e-02 0.000e+00
4.000e-02 2.105e-02 1.885e-01 3.018e-02 0.000e+00
4.368e-02 1.801e-02 1.875e-01 2.256e-02 0.000e+00
4.822e-02 1.509e-02 1.860e-01 1.626e-02 0.000e+00
5.000e-02 1.413e-02 1.854e-01 1.442e-02 0.000e+00
5.323e-02 1.262e-02 1.842e-01 1.172e-02 0.000e+00
5.876e-02 1.053e-02 1.821e-01 8.440e-03 0.000e+00
6.000e-02 1.013e-02 1.816e-01 7.875e-03 0.000e+00
6.486e-02 8.769e-03 1.797e-01 6.081e-03 0.000e+00
7.161e-02 7.289e-03 1.770e-01 4.378e-03 0.000e+00
7.905e-02 6.050e-03 1.741e-01 3.153e-03 0.000e+00
8.000e-02 5.915e-03 1.737e-01 3.031e-03 0.000e+00
8.726e-02 5.014e-03 1.710e-01 2.272e-03 0.000e+00
9.633e-02 4.149e-03 1.676e-01 1.637e-03 0.000e+00
1.000e-01 3.861e-03 1.662e-01 1.447e-03 0.000e+00
1.063e-01 3.432e-03 1.640e-01 1.182e-03 0.000e+00
1.174e-01 2.831e-03 1.603e-01 8.518e-04 0.000e+00
1.296e-01 2.336e-03 1.564e-01 6.154e-04 0.000e+00
1.431e-01 1.924e-03 1.524e-01 4.448e-04 0.000e+00
1.500e-01 1.755e-03 1.504e-01 3.813e-04 0.000e+00
1.579e-01 1.586e-03 1.483e-01 3.226e-04 0.000e+00
1.743e-01 1.306e-03 1.441e-01 2.341e-04 0.000e+00
1.925e-01 1.073e-03 1.398e-01 1.699e-04 0.000e+00
2.000e-01 9.950e-04 1.381e-01 1.503e-04 0.000e+00
2.125e-01 8.825e-04 1.354e-01 1.239e-04 0.000e+00
2.345e-01 7.260e-04 1.311e-01 9.070e-05 0.000e+00
2.589e-01 5.965e-04 1.268e-01 6.656e-05 0.000e+00
2.858e-01 4.901e-04 1.224e-01 4.908e-05 0.000e+00
3.000e-01 4.451e-04 1.203e-01 4.233e-05 0.000e+00
3.155e-01 4.026e-04 1.181e-01 3.636e-05 0.000e+00
3.483e-01 3.306e-04 1.138e-01 2.707e-05 0.000e+00
3.845e-01 2.715e-04 1.095e-01 2.028e-05 0.000e+00
4.000e-01 2.509e-04 1.078e-01 1.810e-05 0.000e+00
4.245e-01 2.228e-04 1.053e-01 1.528e-05 0.000e+00
4.686e-01 1.830e-04 1.012e-01 1.161e-05 0.000e+00
5.000e-01 1.608e-04 9.852e-02 9.747e-06 0.000e+00
5.173e-01 1.502e-04 9.712e-02 8.911e-06 0.000e+00
5.710e-01 1.233e-04 9.312e-02 6.898e-06 0.000e+00
6.000e-01 1.117e-04 9.114e-02 6.067e-06 0.000e+00
6.304e-01 1.012e-04 8.919e-02 5.333e-06 0.000e+00
6.959e-01 8.306e-05 8.535e-02 4.147e-06 0.000e+00
7.682e-01 6.817e-05 8.160e-02 3.313e-06 0.000e+00
8.000e-01 6.286e-05 8.007e-02 3.061e-06 0.000e+00
8.480e-01 5.594e-05 7.791e-02 2.768e-06 0.000e+00
9.361e-01 4.591e-05 7.433e-02 2.291e-06 0.000e+00
1.000e+00 4.024e-05 7.201e-02 1.903e-06 0.000e+00
1.022e+00 3.853e-05 7.126e-02 1.765e-06 0.000e+00
1.033e+00 3.772e-05 7.090e-02 1.706e-06 2.803e-09
1.141e+00 3.092e-05 6.748e-02 1.367e-06 2.664e-06
1.250e+00 2.576e-05 6.439e-02 1.199e-06 1.442e-05
1.259e+00 2.539e-05 6.416e-02 1.186e-06 1.587e-05
1.390e+00 2.083e-05 6.094e-02 1.001e-06 4.501e-05
1.500e+00 1.789e-05 5.854e-02 8.700e-07 7.999e-05
1.535e+00 1.708e-05 5.782e-02 8.351e-07 9.288e-05
1.694e+00 1.403e-05 5.481e-02 7.083e-07 1.602e-04
1.870e+00 1.151e-05 5.189e-02 6.071e-07 2.479e-04
2.000e+00 1.006e-05 4.995e-02 5.480e-07 3.188e-04
2.044e+00 9.634e-06 4.933e-02 5.302e-07 3.436e-04
2.065e+00 9.438e-06 4.904e-02 5.220e-07 3.556e-04
2.279e+00 7.747e-06 4.632e-02 4.509e-07 4.809e-04
2.516e+00 6.357e-06 4.369e-02 3.911e-07 6.250e-04
2.778e+00 5.216e-06 4.118e-02 3.406e-07 7.875e-04
3.000e+00 4.473e-06 3.929e-02 3.067e-07 9.261e-04
3.066e+00 4.283e-06 3.877e-02 2.979e-07 9.674e-04
3.385e+00 3.514e-06 3.645e-02 2.613e-07 1.166e-03
3.737e+00 2.883e-06 3.424e-02 2.298e-07 1.380e-03
4.000e+00 2.516e-06 3.278e-02 2.108e-07 1.537e-03
4.125e+00 2.366e-06 3.213e-02 2.028e-07 1.610e-03
4.554e+00 1.941e-06 3.012e-02 1.793e-07 1.854e-03
5.000e+00 1.610e-06 2.831e-02 1.599e-07 2.099e-03
5.027e+00 1.593e-06 2.820e-02 1.589e-07 2.113e-03
5.549e+00 1.307e-06 2.639e-02 1.411e-07 2.388e-03
6.000e+00 1.118e-06 2.502e-02 1.286e-07 2.615e-03
6.126e+00 1.073e-06 2.466e-02 1.255e-07 2.675e-03
6.762e+00 8.803e-07 2.304e-02 1.119e-07 2.974e-03
7.000e+00 8.215e-07 2.249e-02 1.075e-07 3.080e-03
7.465e+00 7.224e-07 2.149e-02 9.986e-08 3.282e-03
8.000e+00 6.291e-07 2.047e-02 9.228e-08 3.504e-03
8.241e+00 5.928e-07 2.004e-02 8.923e-08 3.600e-03
9.000e+00 4.970e-07 1.881e-02 8.083e-08 3.892e-03
9.097e+00 4.865e-07 1.867e-02 7.986e-08 3.928e-03
1.000e+01 4.026e-07 1.743e-02 7.189e-08 4.247e-03
1.004e+01 3.994e-07 1.738e-02 7.157e-08 4.260e-03
1.100e+01 3.327e-07 1.626e-02 6.470e-08 4.571e-03
1.109e+01 3.273e-07 1.616e-02 6.413e-08 4.599e-03
1.200e+01 2.796e-07 1.525e-02 5.882e-08 4.871e-03
1.224e+01 2.687e-07 1.502e-02 5.757e-08 4.940e-03
1.300e+01 2.382e-07 1.436e-02 5.392e-08 5.152e-03
1.351e+01 2.206e-07 1.395e-02 5.172e-08 5.287e-03
1.400e+01 2.054e-07 1.359e-02 4.977e-08 5.413e-03
1.491e+01 1.811e-07 1.296e-02 4.651e-08 5.635e-03
1.500e+01 1.789e-07 1.290e-02 4.621e-08 5.657e-03
