# NITROUS OXIDE from NIST Database
1.831e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
7.000e+00 4.544e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.272e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.368e+00 1.010e-02 3.775e+03 0.000e+00
1.020e-03 1.363e+00 1.047e-02 3.578e+03 0.000e+00
1.126e-03 1.339e+00 1.251e-02 2.740e+03 0.000e+00
1.243e-03 1.313e+00 1.492e-02 2.095e+03 0.000e+00
1.372e-03 1.284e+00 1.773e-02 1.600e+03 0.000e+00
1.500e-03 1.254e+00 2.065e-02 1.251e+03 0.000e+00
1.515e-03 1.250e+00 2.100e-02 1.217e+03 0.000e+00
1.672e-03 1.211e+00 2.471e-02 9.233e+02 0.000e+00
1.846e-03 1.166e+00 2.892e-02 6.977e+02 0.000e+00
2.000e-03 1.125e+00 3.269e-02 5.551e+02 0.000e+00
2.038e-03 1.115e+00 3.362e-02 5.260e+02 0.000e+00
2.250e-03 1.059e+00 3.883e-02 3.956e+02 0.000e+00
2.483e-03 9.986e-01 4.451e-02 2.972e+02 0.000e+00
2.741e-03 9.347e-01 5.065e-02 2.226e+02 0.000e+00
3.000e-03 8.736e-01 5.659e-02 1.707e+02 0.000e+00
3.026e-03 8.677e-01 5.717e-02 1.664e+02 0.000e+00
3.341e-03 7.988e-01 6.401e-02 1.240e+02 0.000e+00
3.688e-03 7.297e-01 7.103e-02 9.233e+01 0.000e+00
4.000e-03 6.736e-01 7.687e-02 7.235e+01 0.000e+00
4.071e-03 6.616e-01 7.813e-02 6.862e+01 0.000e+00
4.494e-03 5.957e-01 8.521e-02 5.090e+01 0.000e+00
4.961e-03 5.332e-01 9.213e-02 3.770e+01 0.000e+00
5.000e-03 5.284e-01 9.267e-02 3.681e+01 0.000e+00
5.477e-03 4.749e-01 9.882e-02 2.786e+01 0.000e+00
6.000e-03 4.253e-01 1.047e-01 2.105e+01 0.000e+00
6.046e-03 4.213e-01 1.052e-01 2.056e+01 0.000e+00
6.675e-03 3.727e-01 1.112e-01 1.514e+01 0.000e+00
7.368e-03 3.290e-01 1.168e-01 1.114e+01 0.000e+00
8.000e-03 2.962e-01 1.212e-01 8.621e+00 0.000e+00
8.134e-03 2.900e-01 1.220e-01 8.185e+00 0.000e+00
8.979e-03 2.555e-01 1.268e-01 6.006e+00 0.000e+00
9.912e-03 2.250e-01 1.313e-01 4.400e+00 0.000e+00
1.000e-02 2.225e-01 1.317e-01 4.279e+00 0.000e+00
1.094e-02 1.981e-01 1.355e-01 3.220e+00 0.000e+00
1.208e-02 1.743e-01 1.395e-01 2.350e+00 0.000e+00
1.334e-02 1.530e-01 1.432e-01 1.713e+00 0.000e+00
1.472e-02 1.342e-01 1.466e-01 1.249e+00 0.000e+00
1.500e-02 1.308e-01 1.473e-01 1.176e+00 0.000e+00
1.625e-02 1.172e-01 1.498e-01 9.093e-01 0.000e+00
1.794e-02 1.020e-01 1.528e-01 6.610e-01 0.000e+00
1.980e-02 8.842e-02 1.555e-01 4.804e-01 0.000e+00
2.000e-02 8.712e-02 1.557e-01 4.650e-01 0.000e+00
2.186e-02 7.623e-02 1.578e-01 3.484e-01 0.000e+00
2.413e-02 6.542e-02 1.598e-01 2.525e-01 0.000e+00
2.664e-02 5.588e-02 1.613e-01 1.828e-01 0.000e+00
2.941e-02 4.754e-02 1.625e-01 1.322e-01 0.000e+00
3.000e-02 4.600e-02 1.626e-01 1.239e-01 0.000e+00
3.247e-02 4.028e-02 1.632e-01 9.557e-02 0.000e+00
3.584e-02 3.404e-02 1.635e-01 6.908e-02 0.000e+00
3.957e-02 2.867e-02 1.634e-01 4.986e-02 0.000e+00
4.000e-02 2.813e-02 1.633e-01 4.811e-02 0.000e+00
4.368e-02 2.410e-02 1.629e-01 3.599e-02 0.000e+00
4.822e-02 2.021e-02 1.620e-01 2.596e-02 0.000e+00
5.000e-02 1.894e-02 1.616e-01 2.303e-02 0.000e+00
5.323e-02 1.691e-02 1.607e-01 1.872e-02 0.000e+00
5.876e-02 1.413e-02 1.592e-01 1.349e-02 0.000e+00
6.000e-02 1.360e-02 1.588e-01 1.259e-02 0.000e+00
6.486e-02 1.178e-02 1.573e-01 9.728e-03 0.000e+00
7.161e-02 9.806e-03 1.552e-01 7.008e-03 0.000e+00
7.905e-02 8.147e-03 1.528e-01 5.052e-03 0.000e+00
