# OCTANE, LIQUID from NIST Database
7.026e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.576e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 7.004e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.627e-01 1.862e-02 1.860e+03 0.000e+00
1.020e-03 9.580e-01 1.927e-02 1.759e+03 0.000e+00
1.126e-03 9.344e-01 2.284e-02 1.331e+03 0.000e+00
1.243e-03 9.095e-01 2.703e-02 1.007e+03 0.000e+00
1.372e-03 8.819e-01 3.184e-02 7.603e+02 0.000e+00
1.500e-03 8.537e-01 3.675e-02 5.886e+02 0.000e+00
1.515e-03 8.503e-01 3.733e-02 5.720e+02 0.000e+00
1.672e-03 8.144e-01 4.341e-02 4.297e+02 0.000e+00
1.846e-03 7.741e-01 5.013e-02 3.215e+02 0.000e+00
2.000e-03 7.390e-01 5.600e-02 2.539e+02 0.000e+00
2.038e-03 7.304e-01 5.743e-02 2.401e+02 0.000e+00
2.250e-03 6.840e-01 6.527e-02 1.790e+02 0.000e+00
2.483e-03 6.359e-01 7.352e-02 1.334e+02 0.000e+00
2.741e-03 5.867e-01 8.213e-02 9.909e+01 0.000e+00
3.000e-03 5.416e-01 9.017e-02 7.544e+01 0.000e+00
3.026e-03 5.373e-01 9.094e-02 7.349e+01 0.000e+00
3.341e-03 4.886e-01 9.979e-02 5.439e+01 0.000e+00
3.688e-03 4.417e-01 1.085e-01 4.021e+01 0.000e+00
4.000e-03 4.050e-01 1.154e-01 3.133e+01 0.000e+00
4.071e-03 3.973e-01 1.169e-01 2.968e+01 0.000e+00
4.494e-03 3.559e-01 1.249e-01 2.187e+01 0.000e+00
4.961e-03 3.180e-01 1.323e-01 1.609e+01 0.000e+00
5.000e-03 3.151e-01 1.329e-01 1.570e+01 0.000e+00
5.477e-03 2.835e-01 1.392e-01 1.181e+01 0.000e+00
6.000e-03 2.549e-01 1.451e-01 8.872e+00 0.000e+00
6.046e-03 2.526e-01 1.456e-01 8.661e+00 0.000e+00
6.675e-03 2.250e-01 1.514e-01 6.340e+00 0.000e+00
7.368e-03 2.005e-01 1.566e-01 4.636e+00 0.000e+00
8.000e-03 1.821e-01 1.607e-01 3.569e+00 0.000e+00
8.134e-03 1.787e-01 1.615e-01 3.384e+00 0.000e+00
8.979e-03 1.592e-01 1.660e-01 2.468e+00 0.000e+00
9.912e-03 1.417e-01 1.703e-01 1.797e+00 0.000e+00
1.000e-02 1.402e-01 1.706e-01 1.746e+00 0.000e+00
