# PARAFFIN WAX from NIST Database
9.300e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.474e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 7.089e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.702e-01 1.823e-02 1.882e+03 0.000e+00
1.020e-03 9.654e-01 1.887e-02 1.780e+03 0.000e+00
1.126e-03 9.417e-01 2.237e-02 1.347e+03 0.000e+00
1.243e-03 9.166e-01 2.647e-02 1.019e+03 0.000e+00
1.372e-03 8.889e-01 3.119e-02 7.695e+02 0.000e+00
1.500e-03 8.604e-01 3.600e-02 5.958e+02 0.000e+00
1.515e-03 8.571e-01 3.657e-02 5.789e+02 0.000e+00
1.672e-03 8.209e-01 4.253e-02 4.349e+02 0.000e+00
1.846e-03 7.804e-01 4.912e-02 3.254e+02 0.000e+00
2.000e-03 7.450e-01 5.488e-02 2.570e+02 0.000e+00
2.038e-03 7.363e-01 5.629e-02 2.430e+02 0.000e+00
2.250e-03 6.896e-01 6.398e-02 1.812e+02 0.000e+00
2.483e-03 6.412e-01 7.209e-02 1.350e+02 0.000e+00
2.741e-03 5.916e-01 8.057e-02 1.003e+02 0.000e+00
3.000e-03 5.462e-01 8.849e-02 7.635e+01 0.000e+00
3.026e-03 5.419e-01 8.925e-02 7.438e+01 0.000e+00
3.341e-03 4.928e-01 9.798e-02 5.505e+01 0.000e+00
3.688e-03 4.455e-01 1.066e-01 4.070e+01 0.000e+00
4.000e-03 4.085e-01 1.134e-01 3.171e+01 0.000e+00
4.071e-03 4.008e-01 1.149e-01 3.004e+01 0.000e+00
4.494e-03 3.591e-01 1.228e-01 2.213e+01 0.000e+00
4.961e-03 3.209e-01 1.302e-01 1.628e+01 0.000e+00
5.000e-03 3.180e-01 1.307e-01 1.589e+01 0.000e+00
5.477e-03 2.861e-01 1.370e-01 1.195e+01 0.000e+00
6.000e-03 2.573e-01 1.429e-01 8.980e+00 0.000e+00
6.046e-03 2.550e-01 1.433e-01 8.766e+00 0.000e+00
6.675e-03 2.272e-01 1.491e-01 6.417e+00 0.000e+00
7.368e-03 2.024e-01 1.544e-01 4.693e+00 0.000e+00
8.000e-03 1.839e-01 1.584e-01 3.612e+00 0.000e+00
8.134e-03 1.804e-01 1.592e-01 3.425e+00 0.000e+00
8.979e-03 1.608e-01 1.638e-01 2.498e+00 0.000e+00
9.912e-03 1.431e-01 1.680e-01 1.819e+00 0.000e+00
1.000e-02 1.416e-01 1.683e-01 1.768e+00 0.000e+00
1.094e-02 1.272e-01 1.719e-01 1.324e+00 0.000e+00
1.208e-02 1.126e-01 1.756e-01 9.609e-01 0.000e+00
1.334e-02 9.932e-02 1.790e-01 6.967e-01 0.000e+00
1.472e-02 8.724e-02 1.821e-01 5.058e-01 0.000e+00
1.500e-02 8.505e-02 1.827e-01 4.756e-01 0.000e+00
1.625e-02 7.615e-02 1.850e-01 3.662e-01 0.000e+00
1.794e-02 6.606e-02 1.874e-01 2.649e-01 0.000e+00
1.980e-02 5.701e-02 1.895e-01 1.916e-01 0.000e+00
2.000e-02 5.615e-02 1.897e-01 1.853e-01 0.000e+00
2.186e-02 4.891e-02 1.912e-01 1.383e-01 0.000e+00
2.413e-02 4.177e-02 1.924e-01 9.986e-02 0.000e+00
2.664e-02 3.552e-02 1.931e-01 7.201e-02 0.000e+00
2.941e-02 3.009e-02 1.935e-01 5.189e-02 0.000e+00
3.000e-02 2.910e-02 1.935e-01 4.859e-02 0.000e+00
3.247e-02 2.542e-02 1.934e-01 3.737e-02 0.000e+00
3.584e-02 2.143e-02 1.928e-01 2.691e-02 0.000e+00
3.957e-02 1.801e-02 1.920e-01 1.936e-02 0.000e+00
4.000e-02 1.767e-02 1.918e-01 1.867e-02 0.000e+00
4.368e-02 1.510e-02 1.907e-01 1.393e-02 0.000e+00
4.822e-02 1.264e-02 1.891e-01 1.002e-02 0.000e+00
5.000e-02 1.183e-02 1.884e-01 8.876e-03 0.000e+00
5.323e-02 1.056e-02 1.872e-01 7.203e-03 0.000e+00
