# PHOTOGRAPHIC EMULSION from NIST Database
3.815e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.399e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 6.017e-03 3.500e+00 0.000e+00 0.000e+00
7.000e+00 1.379e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.131e-03 3.500e+00 0.000e+00 0.000e+00
1.600e+01 5.893e-05 3.500e+00 0.000e+00 0.000e+00
3.500e+01 4.369e-03 3.500e+00 0.000e+00 0.000e+00
4.700e+01 4.395e-03 3.500e+00 0.000e+00 0.000e+00
5.300e+01 2.459e-05 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 5.989e+00 6.599e-03 4.806e+03 0.000e+00
1.020e-03 5.976e+00 6.821e-03 4.588e+03 0.000e+00
1.072e-03 5.943e+00 7.412e-03 4.081e+03 0.000e+00
1.072e-03 5.943e+00 7.412e-03 4.082e+03 0.000e+00
1.126e-03 5.910e+00 8.041e-03 3.638e+03 0.000e+00
1.243e-03 5.840e+00 9.461e-03 2.884e+03 0.000e+00
1.372e-03 5.760e+00 1.109e-02 2.287e+03 0.000e+00
1.500e-03 5.676e+00 1.273e-02 1.855e+03 0.000e+00
1.515e-03 5.666e+00 1.293e-02 1.810e+03 0.000e+00
1.550e-03 5.642e+00 1.338e-02 1.712e+03 0.000e+00
1.550e-03 5.642e+00 1.338e-02 2.894e+03 0.000e+00
1.573e-03 5.626e+00 1.368e-02 2.714e+03 0.000e+00
1.596e-03 5.609e+00 1.398e-02 2.547e+03 0.000e+00
1.596e-03 5.609e+00 1.398e-02 3.074e+03 0.000e+00
1.672e-03 5.556e+00 1.497e-02 2.755e+03 0.000e+00
1.782e-03 5.479e+00 1.641e-02 2.372e+03 0.000e+00
1.782e-03 5.479e+00 1.641e-02 2.555e+03 0.000e+00
1.846e-03 5.432e+00 1.724e-02 2.346e+03 0.000e+00
2.000e-03 5.319e+00 1.925e-02 1.932e+03 0.000e+00
2.038e-03 5.291e+00 1.974e-02 1.843e+03 0.000e+00
2.250e-03 5.134e+00 2.247e-02 1.436e+03 0.000e+00
2.472e-03 4.972e+00 2.527e-02 1.132e+03 0.000e+00
2.472e-03 4.972e+00 2.527e-02 1.136e+03 0.000e+00
2.483e-03 4.964e+00 2.541e-02 1.123e+03 0.000e+00
2.741e-03 4.780e+00 2.856e-02 8.753e+02 0.000e+00
3.000e-03 4.600e+00 3.162e-02 6.971e+02 0.000e+00
3.026e-03 4.583e+00 3.191e-02 6.816e+02 0.000e+00
3.341e-03 4.373e+00 3.544e-02 5.267e+02 0.000e+00
3.351e-03 4.367e+00 3.555e-02 5.226e+02 0.000e+00
3.351e-03 4.367e+00 3.555e-02 9.424e+02 0.000e+00
3.436e-03 4.311e+00 3.647e-02 8.843e+02 0.000e+00
3.524e-03 4.256e+00 3.740e-02 8.297e+02 0.000e+00
3.524e-03 4.256e+00 3.740e-02 1.029e+03 0.000e+00
3.688e-03 4.153e+00 3.911e-02 9.184e+02 0.000e+00
3.806e-03 4.081e+00 4.031e-02 8.490e+02 0.000e+00
3.806e-03 4.081e+00 4.031e-02 9.371e+02 0.000e+00
4.000e-03 3.966e+00 4.222e-02 8.301e+02 0.000e+00
4.071e-03 3.925e+00 4.291e-02 7.931e+02 0.000e+00
4.494e-03 3.693e+00 4.680e-02 6.137e+02 0.000e+00
4.557e-03 3.659e+00 4.735e-02 5.919e+02 0.000e+00
4.557e-03 3.659e+00 4.735e-02 5.935e+02 0.000e+00
