# PLUTONIUM DIOXIDE from NIST Database
1.146e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 7.378e-03 3.500e+00 0.000e+00 0.000e+00
9.400e+01 3.614e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.266e+01 4.920e-03 6.874e+03 0.000e+00
1.020e-03 1.264e+01 5.061e-03 6.628e+03 0.000e+00
1.115e-03 1.254e+01 5.737e-03 5.632e+03 0.000e+00
1.115e-03 1.254e+01 5.737e-03 5.965e+03 0.000e+00
1.126e-03 1.253e+01 5.817e-03 5.850e+03 0.000e+00
1.243e-03 1.241e+01 6.654e-03 4.827e+03 0.000e+00
1.372e-03 1.226e+01 7.592e-03 3.984e+03 0.000e+00
1.372e-03 1.226e+01 7.593e-03 3.983e+03 0.000e+00
1.372e-03 1.226e+01 7.593e-03 4.034e+03 0.000e+00
1.500e-03 1.211e+01 8.550e-03 3.364e+03 0.000e+00
1.515e-03 1.210e+01 8.663e-03 3.296e+03 0.000e+00
1.559e-03 1.204e+01 8.993e-03 3.111e+03 0.000e+00
1.559e-03 1.204e+01 8.993e-03 3.166e+03 0.000e+00
1.672e-03 1.191e+01 9.853e-03 2.728e+03 0.000e+00
1.846e-03 1.171e+01 1.118e-02 2.212e+03 0.000e+00
2.000e-03 1.152e+01 1.237e-02 1.867e+03 0.000e+00
2.038e-03 1.148e+01 1.266e-02 1.790e+03 0.000e+00
2.250e-03 1.123e+01 1.429e-02 1.435e+03 0.000e+00
2.483e-03 1.095e+01 1.606e-02 1.152e+03 0.000e+00
2.741e-03 1.064e+01 1.800e-02 9.240e+02 0.000e+00
3.000e-03 1.033e+01 1.991e-02 7.556e+02 0.000e+00
3.026e-03 1.030e+01 2.010e-02 7.406e+02 0.000e+00
3.341e-03 9.940e+00 2.236e-02 5.890e+02 0.000e+00
3.688e-03 9.555e+00 2.474e-02 4.687e+02 0.000e+00
3.778e-03 9.458e+00 2.534e-02 4.433e+02 0.000e+00
3.778e-03 9.458e+00 2.534e-02 1.045e+03 0.000e+00
3.874e-03 9.356e+00 2.597e-02 9.764e+02 0.000e+00
3.973e-03 9.251e+00 2.662e-02 9.125e+02 0.000e+00
3.973e-03 9.251e+00 2.662e-02 1.233e+03 0.000e+00
4.000e-03 9.222e+00 2.680e-02 1.260e+03 0.000e+00
4.071e-03 9.146e+00 2.726e-02 1.207e+03 0.000e+00
4.494e-03 8.724e+00 2.990e-02 9.503e+02 0.000e+00
4.557e-03 8.664e+00 3.027e-02 9.190e+02 0.000e+00
4.557e-03 8.664e+00 3.027e-02 1.070e+03 0.000e+00
4.961e-03 8.284e+00 3.263e-02 8.651e+02 0.000e+00
5.000e-03 8.249e+00 3.285e-02 8.483e+02 0.000e+00
5.477e-03 7.834e+00 3.545e-02 6.715e+02 0.000e+00
5.541e-03 7.781e+00 3.579e-02 6.517e+02 0.000e+00
5.541e-03 7.781e+00 3.579e-02 6.913e+02 0.000e+00
5.734e-03 7.624e+00 3.677e-02 6.353e+02 0.000e+00
5.933e-03 7.467e+00 3.777e-02 5.839e+02 0.000e+00
5.933e-03 7.467e+00 3.777e-02 6.087e+02 0.000e+00
6.000e-03 7.415e+00 3.810e-02 5.920e+02 0.000e+00
6.046e-03 7.380e+00 3.833e-02 5.809e+02 0.000e+00
6.675e-03 6.923e+00 4.130e-02 4.549e+02 0.000e+00
7.368e-03 6.468e+00 4.429e-02 3.564e+02 0.000e+00
8.000e-03 6.091e+00 4.683e-02 2.908e+02 0.000e+00
8.134e-03 6.015e+00 4.735e-02 2.790e+02 0.000e+00
8.979e-03 5.568e+00 5.048e-02 2.177e+02 0.000e+00
9.912e-03 5.132e+00 5.369e-02 1.699e+02 0.000e+00
1.000e-02 5.094e+00 5.398e-02 1.662e+02 0.000e+00
1.094e-02 4.710e+00 5.698e-02 1.321e+02 0.000e+00
1.208e-02 4.302e+00 6.034e-02 1.026e+02 0.000e+00
1.334e-02 3.908e+00 6.374e-02 7.960e+01 0.000e+00
1.472e-02 3.535e+00 6.710e-02 6.190e+01 0.000e+00
1.500e-02 3.466e+00 6.774e-02 5.899e+01 0.000e+00
1.625e-02 3.178e+00 7.042e-02 4.796e+01 0.000e+00
1.794e-02 2.843e+00 7.368e-02 3.713e+01 0.000e+00
