# POLYTETRAFLUOROETHYLENE (TEFLON) from NIST Database
2.200e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 2.000e-02 3.500e+00 0.000e+00 0.000e+00
9.000e+00 3.999e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.490e+00 7.920e-03 4.823e+03 0.000e+00
1.020e-03 1.486e+00 8.210e-03 4.582e+03 0.000e+00
1.126e-03 1.464e+00 9.821e-03 3.549e+03 0.000e+00
1.243e-03 1.441e+00 1.173e-02 2.744e+03 0.000e+00
1.372e-03 1.414e+00 1.397e-02 2.118e+03 0.000e+00
1.500e-03 1.387e+00 1.631e-02 1.670e+03 0.000e+00
1.515e-03 1.383e+00 1.659e-02 1.626e+03 0.000e+00
1.672e-03 1.347e+00 1.958e-02 1.245e+03 0.000e+00
1.846e-03 1.304e+00 2.300e-02 9.481e+02 0.000e+00
2.000e-03 1.266e+00 2.610e-02 7.589e+02 0.000e+00
2.038e-03 1.256e+00 2.688e-02 7.200e+02 0.000e+00
2.250e-03 1.203e+00 3.122e-02 5.454e+02 0.000e+00
2.483e-03 1.145e+00 3.603e-02 4.127e+02 0.000e+00
2.741e-03 1.082e+00 4.132e-02 3.112e+02 0.000e+00
3.000e-03 1.020e+00 4.653e-02 2.401e+02 0.000e+00
3.026e-03 1.014e+00 4.705e-02 2.341e+02 0.000e+00
3.341e-03 9.431e-01 5.318e-02 1.757e+02 0.000e+00
3.688e-03 8.701e-01 5.963e-02 1.316e+02 0.000e+00
4.000e-03 8.095e-01 6.511e-02 1.036e+02 0.000e+00
4.071e-03 7.963e-01 6.632e-02 9.837e+01 0.000e+00
4.494e-03 7.231e-01 7.316e-02 7.337e+01 0.000e+00
4.961e-03 6.518e-01 8.004e-02 5.461e+01 0.000e+00
5.000e-03 6.463e-01 8.059e-02 5.335e+01 0.000e+00
5.477e-03 5.836e-01 8.688e-02 4.058e+01 0.000e+00
6.000e-03 5.243e-01 9.304e-02 3.081e+01 0.000e+00
6.046e-03 5.195e-01 9.355e-02 3.010e+01 0.000e+00
6.675e-03 4.602e-01 9.996e-02 2.228e+01 0.000e+00
7.368e-03 4.062e-01 1.060e-01 1.647e+01 0.000e+00
8.000e-03 3.651e-01 1.108e-01 1.279e+01 0.000e+00
8.134e-03 3.573e-01 1.118e-01 1.215e+01 0.000e+00
8.979e-03 3.135e-01 1.171e-01 8.956e+00 0.000e+00
9.912e-03 2.745e-01 1.220e-01 6.590e+00 0.000e+00
1.000e-02 2.713e-01 1.224e-01 6.411e+00 0.000e+00
1.094e-02 2.402e-01 1.266e-01 4.845e+00 0.000e+00
1.208e-02 2.097e-01 1.308e-01 3.551e+00 0.000e+00
1.334e-02 1.829e-01 1.346e-01 2.599e+00 0.000e+00
1.472e-02 1.594e-01 1.382e-01 1.904e+00 0.000e+00
1.500e-02 1.553e-01 1.388e-01 1.794e+00 0.000e+00
1.625e-02 1.386e-01 1.414e-01 1.391e+00 0.000e+00
1.794e-02 1.203e-01 1.444e-01 1.015e+00 0.000e+00
1.980e-02 1.041e-01 1.470e-01 7.405e-01 0.000e+00
2.000e-02 1.025e-01 1.473e-01 7.170e-01 0.000e+00
2.186e-02 8.969e-02 1.494e-01 5.390e-01 0.000e+00
2.413e-02 7.703e-02 1.513e-01 3.921e-01 0.000e+00
2.664e-02 6.589e-02 1.530e-01 2.848e-01 0.000e+00
2.941e-02 5.615e-02 1.542e-01 2.067e-01 0.000e+00
3.000e-02 5.435e-02 1.544e-01 1.938e-01 0.000e+00
3.247e-02 4.766e-02 1.550e-01 1.498e-01 0.000e+00
3.584e-02 4.032e-02 1.555e-01 1.086e-01 0.000e+00
3.957e-02 3.399e-02 1.555e-01 7.864e-02 0.000e+00
4.000e-02 3.336e-02 1.555e-01 7.591e-02 0.000e+00
4.368e-02 2.859e-02 1.552e-01 5.693e-02 0.000e+00
4.822e-02 2.399e-02 1.545e-01 4.118e-02 0.000e+00
5.000e-02 2.248e-02 1.541e-01 3.656e-02 0.000e+00
5.323e-02 2.008e-02 1.534e-01 2.976e-02 0.000e+00
5.876e-02 1.679e-02 1.521e-01 2.150e-02 0.000e+00
6.000e-02 1.616e-02 1.517e-01 2.007e-02 0.000e+00
6.486e-02 1.401e-02 1.504e-01 1.553e-02 0.000e+00
7.161e-02 1.167e-02 1.484e-01 1.121e-02 0.000e+00
7.905e-02 9.703e-03 1.462e-01 8.100e-03 0.000e+00
8.000e-02 9.488e-03 1.460e-01 7.787e-03 0.000e+00
8.726e-02 8.057e-03 1.438e-01 5.851e-03 0.000e+00
9.633e-02 6.680e-03 1.411e-01 4.226e-03 0.000e+00
1.000e-01 6.221e-03 1.401e-01 3.738e-03 0.000e+00
1.063e-01 5.535e-03 1.383e-01 3.058e-03 0.000e+00
1.174e-01 4.574e-03 1.352e-01 2.208e-03 0.000e+00
1.296e-01 3.779e-03 1.321e-01 1.599e-03 0.000e+00
1.431e-01 3.118e-03 1.287e-01 1.157e-03 0.000e+00
1.500e-01 2.844e-03 1.271e-01 9.932e-04 0.000e+00
1.579e-01 2.573e-03 1.253e-01 8.409e-04 0.000e+00
1.743e-01 2.120e-03 1.218e-01 6.111e-04 0.000e+00
1.925e-01 1.744e-03 1.183e-01 4.443e-04 0.000e+00
2.000e-01 1.617e-03 1.169e-01 3.933e-04 0.000e+00
2.125e-01 1.435e-03 1.146e-01 3.244e-04 0.000e+00
2.345e-01 1.181e-03 1.110e-01 2.379e-04 0.000e+00
2.589e-01 9.711e-04 1.074e-01 1.748e-04 0.000e+00
2.858e-01 7.982e-04 1.037e-01 1.291e-04 0.000e+00
3.000e-01 7.250e-04 1.019e-01 1.114e-04 0.000e+00
3.155e-01 6.560e-04 1.000e-01 9.577e-05 0.000e+00
3.483e-01 5.389e-04 9.643e-02 7.141e-05 0.000e+00
3.845e-01 4.426e-04 9.284e-02 5.355e-05 0.000e+00
4.000e-01 4.091e-04 9.141e-02 4.780e-05 0.000e+00
4.245e-01 3.634e-04 8.929e-02 4.038e-05 0.000e+00
4.686e-01 2.984e-04 8.578e-02 3.070e-05 0.000e+00
5.000e-01 2.621e-04 8.351e-02 2.578e-05 0.000e+00
5.173e-01 2.449e-04 8.233e-02 2.356e-05 0.000e+00
5.710e-01 2.011e-04 7.895e-02 1.825e-05 0.000e+00
6.000e-01 1.822e-04 7.728e-02 1.606e-05 0.000e+00
6.304e-01 1.651e-04 7.563e-02 1.414e-05 0.000e+00
6.959e-01 1.355e-04 7.238e-02 1.103e-05 0.000e+00
7.682e-01 1.112e-04 6.921e-02 8.803e-06 0.000e+00
8.000e-01 1.026e-04 6.792e-02 8.109e-06 0.000e+00
8.480e-01 9.129e-05 6.609e-02 7.282e-06 0.000e+00
9.361e-01 7.493e-05 6.305e-02 5.997e-06 0.000e+00
1.000e+00 6.566e-05 6.108e-02 5.041e-06 0.000e+00
1.022e+00 6.286e-05 6.044e-02 4.712e-06 0.000e+00
1.033e+00 6.152e-05 6.013e-02 4.567e-06 3.726e-09
1.141e+00 5.043e-05 5.723e-02 3.683e-06 3.536e-06
1.250e+00 4.202e-05 5.462e-02 3.197e-06 1.913e-05
1.259e+00 4.143e-05 5.442e-02 3.160e-06 2.105e-05
1.390e+00 3.399e-05 5.170e-02 2.663e-06 5.963e-05
1.500e+00 2.918e-05 4.965e-02 2.320e-06 1.059e-04
1.535e+00 2.787e-05 4.904e-02 2.228e-06 1.230e-04
1.694e+00 2.288e-05 4.647e-02 1.889e-06 2.120e-04
1.870e+00 1.878e-05 4.399e-02 1.616e-06 3.280e-04
2.000e+00 1.642e-05 4.236e-02 1.457e-06 4.219e-04
2.044e+00 1.572e-05 4.184e-02 1.409e-06 4.549e-04
2.065e+00 1.541e-05 4.160e-02 1.388e-06 4.707e-04
2.279e+00 1.265e-05 3.931e-02 1.197e-06 6.367e-04
2.516e+00 1.038e-05 3.709e-02 1.038e-06 8.263e-04
2.778e+00 8.514e-06 3.494e-02 9.029e-07 1.038e-03
3.000e+00 7.300e-06 3.333e-02 8.126e-07 1.219e-03
3.066e+00 6.989e-06 3.289e-02 7.891e-07 1.271e-03
3.385e+00 5.734e-06 3.092e-02 6.915e-07 1.528e-03
3.737e+00 4.705e-06 2.904e-02 6.078e-07 1.805e-03
4.000e+00 4.107e-06 2.780e-02 5.572e-07 2.006e-03
4.125e+00 3.862e-06 2.726e-02 5.359e-07 2.099e-03
4.554e+00 3.168e-06 2.555e-02 4.735e-07 2.411e-03
5.000e+00 2.628e-06 2.401e-02 4.222e-07 2.722e-03
5.027e+00 2.600e-06 2.393e-02 4.194e-07 2.740e-03
5.549e+00 2.134e-06 2.238e-02 3.724e-07 3.087e-03
6.000e+00 1.825e-06 2.122e-02 3.394e-07 3.373e-03
6.126e+00 1.751e-06 2.092e-02 3.312e-07 3.450e-03
6.762e+00 1.437e-06 1.954e-02 2.949e-07 3.826e-03
7.000e+00 1.341e-06 1.908e-02 2.833e-07 3.959e-03
7.465e+00 1.179e-06 1.823e-02 2.631e-07 4.213e-03
8.000e+00 1.027e-06 1.736e-02 2.430e-07 4.489e-03
8.241e+00 9.674e-07 1.700e-02 2.350e-07 4.609e-03
9.000e+00 8.110e-07 1.596e-02 2.127e-07 4.973e-03
9.097e+00 7.938e-07 1.583e-02 2.102e-07 5.018e-03
1.000e+01 6.571e-07 1.478e-02 1.891e-07 5.416e-03
1.004e+01 6.519e-07 1.474e-02 1.883e-07 5.433e-03
1.100e+01 5.430e-07 1.379e-02 1.702e-07 5.821e-03
1.109e+01 5.342e-07 1.371e-02 1.687e-07 5.856e-03
1.200e+01 4.561e-07 1.293e-02 1.547e-07 6.192e-03
1.224e+01 4.384e-07 1.274e-02 1.514e-07 6.276e-03
1.300e+01 3.888e-07 1.218e-02 1.418e-07 6.537e-03
1.351e+01 3.600e-07 1.184e-02 1.360e-07 6.704e-03
1.400e+01 3.353e-07 1.153e-02 1.308e-07 6.860e-03
1.491e+01 2.956e-07 1.099e-02 1.222e-07 7.136e-03
1.500e+01 2.921e-07 1.094e-02 1.214e-07 7.163e-03
1.600e+01 2.566e-07 1.042e-02 1.133e-07 7.446e-03
1.646e+01 2.425e-07 1.020e-02 1.099e-07 7.572e-03
1.800e+01 2.028e-07 9.524e-03 9.993e-08 7.971e-03
1.818e+01 1.988e-07 9.452e-03 9.888e-08 8.015e-03
2.000e+01 1.642e-07 8.783e-03 8.936e-08 8.440e-03
