# POLYVINYL ACETATE from NIST Database
1.190e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 6.969e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.647e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.323e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.185e+00 1.375e-02 2.939e+03 0.000e+00
1.020e-03 1.180e+00 1.423e-02 2.785e+03 0.000e+00
1.126e-03 1.156e+00 1.692e-02 2.128e+03 0.000e+00
1.243e-03 1.131e+00 2.008e-02 1.624e+03 0.000e+00
1.372e-03 1.103e+00 2.374e-02 1.237e+03 0.000e+00
1.500e-03 1.073e+00 2.749e-02 9.656e+02 0.000e+00
1.515e-03 1.070e+00 2.793e-02 9.391e+02 0.000e+00
1.672e-03 1.032e+00 3.263e-02 7.113e+02 0.000e+00
1.846e-03 9.891e-01 3.788e-02 5.365e+02 0.000e+00
2.000e-03 9.511e-01 4.253e-02 4.262e+02 0.000e+00
2.038e-03 9.418e-01 4.367e-02 4.037e+02 0.000e+00
2.250e-03 8.905e-01 4.997e-02 3.032e+02 0.000e+00
2.483e-03 8.363e-01 5.672e-02 2.275e+02 0.000e+00
2.741e-03 7.795e-01 6.389e-02 1.702e+02 0.000e+00
3.000e-03 7.261e-01 7.071e-02 1.303e+02 0.000e+00
3.026e-03 7.209e-01 7.138e-02 1.270e+02 0.000e+00
3.341e-03 6.616e-01 7.907e-02 9.460e+01 0.000e+00
3.688e-03 6.030e-01 8.682e-02 7.036e+01 0.000e+00
4.000e-03 5.559e-01 9.315e-02 5.509e+01 0.000e+00
4.071e-03 5.459e-01 9.451e-02 5.224e+01 0.000e+00
4.494e-03 4.912e-01 1.020e-01 3.871e+01 0.000e+00
4.961e-03 4.399e-01 1.092e-01 2.864e+01 0.000e+00
5.000e-03 4.360e-01 1.098e-01 2.796e+01 0.000e+00
5.477e-03 3.923e-01 1.161e-01 2.114e+01 0.000e+00
6.000e-03 3.521e-01 1.220e-01 1.596e+01 0.000e+00
6.046e-03 3.489e-01 1.225e-01 1.558e+01 0.000e+00
6.675e-03 3.095e-01 1.285e-01 1.147e+01 0.000e+00
7.368e-03 2.742e-01 1.340e-01 8.431e+00 0.000e+00
8.000e-03 2.477e-01 1.383e-01 6.518e+00 0.000e+00
8.134e-03 2.426e-01 1.391e-01 6.187e+00 0.000e+00
8.979e-03 2.146e-01 1.439e-01 4.535e+00 0.000e+00
9.912e-03 1.896e-01 1.483e-01 3.319e+00 0.000e+00
1.000e-02 1.875e-01 1.487e-01 3.228e+00 0.000e+00
1.094e-02 1.674e-01 1.525e-01 2.427e+00 0.000e+00
1.208e-02 1.474e-01 1.564e-01 1.770e+00 0.000e+00
1.334e-02 1.295e-01 1.600e-01 1.289e+00 0.000e+00
1.472e-02 1.135e-01 1.633e-01 9.401e-01 0.000e+00
1.500e-02 1.107e-01 1.639e-01 8.848e-01 0.000e+00
1.625e-02 9.909e-02 1.664e-01 6.837e-01 0.000e+00
1.794e-02 8.609e-02 1.691e-01 4.966e-01 0.000e+00
1.980e-02 7.448e-02 1.715e-01 3.607e-01 0.000e+00
2.000e-02 7.337e-02 1.717e-01 3.491e-01 0.000e+00
2.186e-02 6.410e-02 1.735e-01 2.614e-01 0.000e+00
2.413e-02 5.491e-02 1.751e-01 1.894e-01 0.000e+00
2.664e-02 4.683e-02 1.763e-01 1.371e-01 0.000e+00
2.941e-02 3.979e-02 1.771e-01 9.910e-02 0.000e+00
3.000e-02 3.849e-02 1.772e-01 9.284e-02 0.000e+00
3.247e-02 3.368e-02 1.774e-01 7.159e-02 0.000e+00
3.584e-02 2.844e-02 1.773e-01 5.172e-02 0.000e+00
3.957e-02 2.393e-02 1.768e-01 3.732e-02 0.000e+00
4.000e-02 2.348e-02 1.768e-01 3.601e-02 0.000e+00
4.368e-02 2.010e-02 1.760e-01 2.693e-02 0.000e+00
4.822e-02 1.684e-02 1.748e-01 1.942e-02 0.000e+00
5.000e-02 1.578e-02 1.742e-01 1.722e-02 0.000e+00
5.323e-02 1.409e-02 1.732e-01 1.400e-02 0.000e+00
5.876e-02 1.176e-02 1.713e-01 1.009e-02 0.000e+00
6.000e-02 1.132e-02 1.709e-01 9.412e-03 0.000e+00
6.486e-02 9.799e-03 1.692e-01 7.269e-03 0.000e+00
7.161e-02 8.148e-03 1.667e-01 5.235e-03 0.000e+00
7.905e-02 6.765e-03 1.641e-01 3.772e-03 0.000e+00
8.000e-02 6.614e-03 1.637e-01 3.626e-03 0.000e+00
8.726e-02 5.609e-03 1.611e-01 2.719e-03 0.000e+00
9.633e-02 4.643e-03 1.580e-01 1.960e-03 0.000e+00
1.000e-01 4.321e-03 1.568e-01 1.732e-03 0.000e+00
1.063e-01 3.841e-03 1.547e-01 1.415e-03 0.000e+00
1.174e-01 3.170e-03 1.512e-01 1.020e-03 0.000e+00
1.296e-01 2.615e-03 1.475e-01 7.371e-04 0.000e+00
1.431e-01 2.155e-03 1.438e-01 5.328e-04 0.000e+00
