# POLYVINYL ALCOHOL from NIST Database
1.300e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.079e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.540e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.270e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.165e+00 1.459e-02 2.872e+03 0.000e+00
1.020e-03 1.161e+00 1.510e-02 2.721e+03 0.000e+00
1.126e-03 1.137e+00 1.795e-02 2.079e+03 0.000e+00
1.243e-03 1.112e+00 2.129e-02 1.587e+03 0.000e+00
1.372e-03 1.084e+00 2.515e-02 1.209e+03 0.000e+00
1.500e-03 1.056e+00 2.912e-02 9.435e+02 0.000e+00
1.515e-03 1.052e+00 2.959e-02 9.176e+02 0.000e+00
1.672e-03 1.015e+00 3.454e-02 6.951e+02 0.000e+00
1.846e-03 9.725e-01 4.007e-02 5.243e+02 0.000e+00
2.000e-03 9.350e-01 4.494e-02 4.165e+02 0.000e+00
2.038e-03 9.258e-01 4.614e-02 3.945e+02 0.000e+00
2.250e-03 8.753e-01 5.274e-02 2.963e+02 0.000e+00
2.483e-03 8.218e-01 5.978e-02 2.223e+02 0.000e+00
2.741e-03 7.658e-01 6.724e-02 1.663e+02 0.000e+00
3.000e-03 7.133e-01 7.432e-02 1.274e+02 0.000e+00
3.026e-03 7.082e-01 7.501e-02 1.241e+02 0.000e+00
3.341e-03 6.498e-01 8.295e-02 9.244e+01 0.000e+00
3.688e-03 5.920e-01 9.092e-02 6.875e+01 0.000e+00
4.000e-03 5.457e-01 9.741e-02 5.383e+01 0.000e+00
4.071e-03 5.359e-01 9.880e-02 5.104e+01 0.000e+00
4.494e-03 4.821e-01 1.065e-01 3.783e+01 0.000e+00
4.961e-03 4.317e-01 1.138e-01 2.798e+01 0.000e+00
5.000e-03 4.278e-01 1.144e-01 2.732e+01 0.000e+00
5.477e-03 3.849e-01 1.207e-01 2.066e+01 0.000e+00
6.000e-03 3.454e-01 1.267e-01 1.559e+01 0.000e+00
6.046e-03 3.423e-01 1.272e-01 1.523e+01 0.000e+00
6.675e-03 3.036e-01 1.332e-01 1.121e+01 0.000e+00
7.368e-03 2.689e-01 1.388e-01 8.239e+00 0.000e+00
8.000e-03 2.428e-01 1.431e-01 6.369e+00 0.000e+00
8.134e-03 2.379e-01 1.439e-01 6.046e+00 0.000e+00
8.979e-03 2.103e-01 1.487e-01 4.432e+00 0.000e+00
9.912e-03 1.858e-01 1.531e-01 3.243e+00 0.000e+00
1.000e-02 1.838e-01 1.535e-01 3.154e+00 0.000e+00
1.094e-02 1.640e-01 1.573e-01 2.372e+00 0.000e+00
1.208e-02 1.445e-01 1.611e-01 1.730e+00 0.000e+00
1.334e-02 1.269e-01 1.647e-01 1.260e+00 0.000e+00
1.472e-02 1.112e-01 1.679e-01 9.186e-01 0.000e+00
1.500e-02 1.084e-01 1.685e-01 8.646e-01 0.000e+00
1.625e-02 9.705e-02 1.709e-01 6.681e-01 0.000e+00
1.794e-02 8.431e-02 1.736e-01 4.853e-01 0.000e+00
1.980e-02 7.294e-02 1.759e-01 3.524e-01 0.000e+00
2.000e-02 7.185e-02 1.761e-01 3.411e-01 0.000e+00
2.186e-02 6.276e-02 1.778e-01 2.554e-01 0.000e+00
2.413e-02 5.376e-02 1.793e-01 1.851e-01 0.000e+00
2.664e-02 4.585e-02 1.804e-01 1.339e-01 0.000e+00
2.941e-02 3.895e-02 1.811e-01 9.683e-02 0.000e+00
3.000e-02 3.768e-02 1.812e-01 9.072e-02 0.000e+00
3.247e-02 3.297e-02 1.814e-01 6.995e-02 0.000e+00
3.584e-02 2.784e-02 1.812e-01 5.054e-02 0.000e+00
3.957e-02 2.343e-02 1.807e-01 3.646e-02 0.000e+00
4.000e-02 2.298e-02 1.806e-01 3.519e-02 0.000e+00
4.368e-02 1.967e-02 1.797e-01 2.631e-02 0.000e+00
4.822e-02 1.649e-02 1.785e-01 1.897e-02 0.000e+00
5.000e-02 1.544e-02 1.779e-01 1.683e-02 0.000e+00
