# POLYVINYL BUTYRAL from NIST Database
1.120e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.207e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 5.667e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 1.416e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.107e+00 1.520e-02 2.544e+03 0.000e+00
1.020e-03 1.102e+00 1.573e-02 2.410e+03 0.000e+00
1.126e-03 1.078e+00 1.868e-02 1.836e+03 0.000e+00
1.243e-03 1.053e+00 2.214e-02 1.397e+03 0.000e+00
1.372e-03 1.025e+00 2.613e-02 1.062e+03 0.000e+00
1.500e-03 9.955e-01 3.022e-02 8.269e+02 0.000e+00
1.515e-03 9.920e-01 3.070e-02 8.040e+02 0.000e+00
1.672e-03 9.547e-01 3.580e-02 6.075e+02 0.000e+00
1.846e-03 9.125e-01 4.148e-02 4.572e+02 0.000e+00
2.000e-03 8.753e-01 4.647e-02 3.626e+02 0.000e+00
2.038e-03 8.662e-01 4.769e-02 3.433e+02 0.000e+00
2.250e-03 8.165e-01 5.443e-02 2.573e+02 0.000e+00
2.483e-03 7.643e-01 6.160e-02 1.927e+02 0.000e+00
2.741e-03 7.100e-01 6.917e-02 1.439e+02 0.000e+00
3.000e-03 6.595e-01 7.633e-02 1.100e+02 0.000e+00
3.026e-03 6.546e-01 7.703e-02 1.072e+02 0.000e+00
3.341e-03 5.990e-01 8.503e-02 7.969e+01 0.000e+00
3.688e-03 5.445e-01 9.303e-02 5.917e+01 0.000e+00
4.000e-03 5.012e-01 9.951e-02 4.627e+01 0.000e+00
4.071e-03 4.920e-01 1.009e-01 4.386e+01 0.000e+00
4.494e-03 4.422e-01 1.085e-01 3.245e+01 0.000e+00
4.961e-03 3.957e-01 1.157e-01 2.397e+01 0.000e+00
5.000e-03 3.922e-01 1.163e-01 2.340e+01 0.000e+00
5.477e-03 3.529e-01 1.225e-01 1.767e+01 0.000e+00
6.000e-03 3.170e-01 1.284e-01 1.332e+01 0.000e+00
6.046e-03 3.141e-01 1.289e-01 1.301e+01 0.000e+00
