# POLYVINYL CHLORIDE from NIST Database
1.300e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 4.800e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 3.200e-02 3.500e+00 0.000e+00 0.000e+00
1.700e+01 1.600e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.152e+00 1.214e-02 2.454e+03 0.000e+00
1.020e-03 2.145e+00 1.257e-02 2.327e+03 0.000e+00
1.126e-03 2.105e+00 1.490e-02 1.783e+03 0.000e+00
1.243e-03 2.064e+00 1.764e-02 1.366e+03 0.000e+00
1.372e-03 2.017e+00 2.079e-02 1.046e+03 0.000e+00
1.500e-03 1.969e+00 2.400e-02 8.216e+02 0.000e+00
1.515e-03 1.963e+00 2.438e-02 7.994e+02 0.000e+00
1.672e-03 1.901e+00 2.837e-02 6.091e+02 0.000e+00
1.846e-03 1.830e+00 3.279e-02 4.632e+02 0.000e+00
2.000e-03 1.767e+00 3.667e-02 3.709e+02 0.000e+00
2.038e-03 1.752e+00 3.762e-02 3.519e+02 0.000e+00
2.250e-03 1.667e+00 4.284e-02 2.666e+02 0.000e+00
2.483e-03 1.578e+00 4.839e-02 2.021e+02 0.000e+00
2.741e-03 1.485e+00 5.424e-02 1.530e+02 0.000e+00
2.822e-03 1.458e+00 5.602e-02 1.409e+02 0.000e+00
2.822e-03 1.458e+00 5.602e-02 9.686e+02 0.000e+00
3.000e-03 1.400e+00 5.978e-02 8.687e+02 0.000e+00
3.026e-03 1.392e+00 6.031e-02 8.541e+02 0.000e+00
3.341e-03 1.296e+00 6.653e-02 6.789e+02 0.000e+00
3.688e-03 1.201e+00 7.277e-02 5.186e+02 0.000e+00
4.000e-03 1.125e+00 7.787e-02 4.126e+02 0.000e+00
4.071e-03 1.109e+00 7.896e-02 3.930e+02 0.000e+00
4.494e-03 1.021e+00 8.501e-02 3.016e+02 0.000e+00
4.961e-03 9.381e-01 9.084e-02 2.324e+02 0.000e+00
5.000e-03 9.318e-01 9.129e-02 2.276e+02 0.000e+00
5.477e-03 8.605e-01 9.642e-02 1.780e+02 0.000e+00
6.000e-03 7.937e-01 1.013e-01 1.386e+02 0.000e+00
6.046e-03 7.883e-01 1.017e-01 1.357e+02 0.000e+00
6.675e-03 7.210e-01 1.068e-01 1.031e+02 0.000e+00
7.368e-03 6.581e-01 1.117e-01 7.823e+01 0.000e+00
8.000e-03 6.085e-01 1.157e-01 6.204e+01 0.000e+00
8.134e-03 5.987e-01 1.165e-01 5.919e+01 0.000e+00
8.979e-03 5.425e-01 1.211e-01 4.468e+01 0.000e+00
9.912e-03 4.888e-01 1.256e-01 3.364e+01 0.000e+00
1.000e-02 4.841e-01 1.260e-01 3.280e+01 0.000e+00
1.094e-02 4.374e-01 1.300e-01 2.529e+01 0.000e+00
1.208e-02 3.883e-01 1.344e-01 1.895e+01 0.000e+00
1.334e-02 3.424e-01 1.385e-01 1.416e+01 0.000e+00
1.472e-02 3.003e-01 1.425e-01 1.059e+01 0.000e+00
1.500e-02 2.927e-01 1.432e-01 1.001e+01 0.000e+00
1.625e-02 2.616e-01 1.462e-01 7.892e+00 0.000e+00
1.794e-02 2.267e-01 1.496e-01 5.871e+00 0.000e+00
1.980e-02 1.958e-01 1.526e-01 4.363e+00 0.000e+00
2.000e-02 1.929e-01 1.529e-01 4.233e+00 0.000e+00
2.186e-02 1.686e-01 1.552e-01 3.234e+00 0.000e+00
2.413e-02 1.448e-01 1.574e-01 2.395e+00 0.000e+00
2.664e-02 1.241e-01 1.592e-01 1.770e+00 0.000e+00
2.941e-02 1.062e-01 1.605e-01 1.306e+00 0.000e+00
3.000e-02 1.029e-01 1.607e-01 1.228e+00 0.000e+00
3.247e-02 9.070e-02 1.615e-01 9.619e-01 0.000e+00
3.584e-02 7.738e-02 1.620e-01 7.081e-01 0.000e+00
3.957e-02 6.586e-02 1.622e-01 5.203e-01 0.000e+00
4.000e-02 6.470e-02 1.622e-01 5.030e-01 0.000e+00
4.368e-02 5.593e-02 1.621e-01 3.821e-01 0.000e+00
4.822e-02 4.736e-02 1.616e-01 2.803e-01 0.000e+00
5.000e-02 4.453e-02 1.613e-01 2.501e-01 0.000e+00
5.323e-02 3.999e-02 1.607e-01 2.054e-01 0.000e+00
5.876e-02 3.368e-02 1.595e-01 1.503e-01 0.000e+00
6.000e-02 3.246e-02 1.592e-01 1.407e-01 0.000e+00
6.486e-02 2.828e-02 1.580e-01 1.100e-01 0.000e+00
7.161e-02 2.368e-02 1.562e-01 8.040e-02 0.000e+00
7.905e-02 1.979e-02 1.541e-01 5.875e-02 0.000e+00
8.000e-02 1.936e-02 1.539e-01 5.657e-02 0.000e+00
8.726e-02 1.650e-02 1.518e-01 4.292e-02 0.000e+00
9.633e-02 1.374e-02 1.491e-01 3.133e-02 0.000e+00
1.000e-01 1.281e-02 1.481e-01 2.782e-02 0.000e+00
1.063e-01 1.143e-02 1.463e-01 2.291e-02 0.000e+00
1.174e-01 9.483e-03 1.432e-01 1.670e-02 0.000e+00
1.296e-01 7.866e-03 1.400e-01 1.220e-02 0.000e+00
1.431e-01 6.514e-03 1.366e-01 8.916e-03 0.000e+00
1.500e-01 5.954e-03 1.349e-01 7.683e-03 0.000e+00
1.579e-01 5.397e-03 1.331e-01 6.534e-03 0.000e+00
1.743e-01 4.463e-03 1.295e-01 4.788e-03 0.000e+00
1.925e-01 3.684e-03 1.257e-01 3.509e-03 0.000e+00
2.000e-01 3.421e-03 1.243e-01 3.115e-03 0.000e+00
2.125e-01 3.041e-03 1.219e-01 2.580e-03 0.000e+00
2.345e-01 2.510e-03 1.181e-01 1.905e-03 0.000e+00
2.589e-01 2.068e-03 1.143e-01 1.408e-03 0.000e+00
2.858e-01 1.703e-03 1.104e-01 1.046e-03 0.000e+00
3.000e-01 1.548e-03 1.085e-01 9.049e-04 0.000e+00
3.155e-01 1.402e-03 1.066e-01 7.797e-04 0.000e+00
3.483e-01 1.153e-03 1.027e-01 5.842e-04 0.000e+00
3.845e-01 9.484e-04 9.891e-02 4.401e-04 0.000e+00
4.000e-01 8.770e-04 9.740e-02 3.936e-04 0.000e+00
4.245e-01 7.795e-04 9.515e-02 3.334e-04 0.000e+00
4.686e-01 6.406e-04 9.144e-02 2.544e-04 0.000e+00
5.000e-01 5.632e-04 8.903e-02 2.140e-04 0.000e+00
5.173e-01 5.263e-04 8.778e-02 1.958e-04 0.000e+00
5.710e-01 4.324e-04 8.418e-02 1.519e-04 0.000e+00
6.000e-01 3.918e-04 8.240e-02 1.340e-04 0.000e+00
6.304e-01 3.551e-04 8.065e-02 1.184e-04 0.000e+00
6.959e-01 2.916e-04 7.719e-02 9.288e-05 0.000e+00
7.682e-01 2.395e-04 7.380e-02 7.404e-05 0.000e+00
8.000e-01 2.209e-04 7.242e-02 6.792e-05 0.000e+00
8.480e-01 1.966e-04 7.047e-02 6.041e-05 0.000e+00
9.361e-01 1.614e-04 6.724e-02 4.937e-05 0.000e+00
1.000e+00 1.415e-04 6.514e-02 4.224e-05 0.000e+00
1.022e+00 1.354e-04 6.446e-02 3.993e-05 0.000e+00
1.033e+00 1.326e-04 6.412e-02 3.888e-05 6.062e-09
1.141e+00 1.087e-04 6.103e-02 3.164e-05 5.620e-06
1.250e+00 9.060e-05 5.826e-02 2.705e-05 2.982e-05
1.259e+00 8.931e-05 5.804e-02 2.672e-05 3.277e-05
1.390e+00 7.328e-05 5.514e-02 2.242e-05 9.135e-05
1.500e+00 6.293e-05 5.296e-02 1.956e-05 1.608e-04
1.535e+00 6.010e-05 5.231e-02 1.879e-05 1.863e-04
