# POLYVINYL PYRROLIDONE from NIST Database
1.250e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 8.097e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 5.399e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 8.998e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 8.997e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.107e+00 1.491e-02 2.511e+03 0.000e+00
1.020e-03 1.102e+00 1.543e-02 2.377e+03 0.000e+00
1.126e-03 1.078e+00 1.833e-02 1.810e+03 0.000e+00
1.243e-03 1.052e+00 2.173e-02 1.376e+03 0.000e+00
1.372e-03 1.024e+00 2.565e-02 1.045e+03 0.000e+00
1.500e-03 9.944e-01 2.967e-02 8.127e+02 0.000e+00
1.515e-03 9.909e-01 3.014e-02 7.901e+02 0.000e+00
1.672e-03 9.532e-01 3.515e-02 5.965e+02 0.000e+00
1.846e-03 9.107e-01 4.073e-02 4.486e+02 0.000e+00
2.000e-03 8.732e-01 4.564e-02 3.555e+02 0.000e+00
2.038e-03 8.640e-01 4.685e-02 3.365e+02 0.000e+00
2.250e-03 8.138e-01 5.348e-02 2.520e+02 0.000e+00
2.483e-03 7.612e-01 6.054e-02 1.886e+02 0.000e+00
2.741e-03 7.066e-01 6.800e-02 1.407e+02 0.000e+00
3.000e-03 6.559e-01 7.505e-02 1.075e+02 0.000e+00
3.026e-03 6.510e-01 7.574e-02 1.047e+02 0.000e+00
3.341e-03 5.952e-01 8.363e-02 7.781e+01 0.000e+00
3.688e-03 5.407e-01 9.152e-02 5.773e+01 0.000e+00
4.000e-03 4.973e-01 9.791e-02 4.512e+01 0.000e+00
4.071e-03 4.882e-01 9.927e-02 4.277e+01 0.000e+00
4.494e-03 4.385e-01 1.068e-01 3.162e+01 0.000e+00
4.961e-03 3.923e-01 1.139e-01 2.334e+01 0.000e+00
5.000e-03 3.888e-01 1.144e-01 2.278e+01 0.000e+00
5.477e-03 3.498e-01 1.206e-01 1.720e+01 0.000e+00
6.000e-03 3.141e-01 1.264e-01 1.296e+01 0.000e+00
6.046e-03 3.113e-01 1.268e-01 1.265e+01 0.000e+00
6.675e-03 2.766e-01 1.326e-01 9.291e+00 0.000e+00
7.368e-03 2.456e-01 1.380e-01 6.817e+00 0.000e+00
8.000e-03 2.224e-01 1.421e-01 5.261e+00 0.000e+00
8.134e-03 2.180e-01 1.430e-01 4.993e+00 0.000e+00
8.979e-03 1.934e-01 1.476e-01 3.652e+00 0.000e+00
9.912e-03 1.714e-01 1.519e-01 2.668e+00 0.000e+00
1.000e-02 1.696e-01 1.523e-01 2.594e+00 0.000e+00
1.094e-02 1.518e-01 1.560e-01 1.948e+00 0.000e+00
1.208e-02 1.341e-01 1.598e-01 1.418e+00 0.000e+00
1.334e-02 1.180e-01 1.634e-01 1.031e+00 0.000e+00
1.472e-02 1.036e-01 1.667e-01 7.504e-01 0.000e+00
1.500e-02 1.010e-01 1.673e-01 7.061e-01 0.000e+00
1.625e-02 9.046e-02 1.697e-01 5.449e-01 0.000e+00
1.794e-02 7.858e-02 1.724e-01 3.951e-01 0.000e+00
1.980e-02 6.793e-02 1.747e-01 2.865e-01 0.000e+00
2.000e-02 6.692e-02 1.750e-01 2.773e-01 0.000e+00
2.186e-02 5.840e-02 1.767e-01 2.074e-01 0.000e+00
2.413e-02 4.998e-02 1.782e-01 1.501e-01 0.000e+00
2.664e-02 4.257e-02 1.793e-01 1.084e-01 0.000e+00
2.941e-02 3.613e-02 1.799e-01 7.831e-02 0.000e+00
3.000e-02 3.495e-02 1.800e-01 7.335e-02 0.000e+00
3.247e-02 3.056e-02 1.801e-01 5.650e-02 0.000e+00
3.584e-02 2.579e-02 1.799e-01 4.077e-02 0.000e+00
3.957e-02 2.169e-02 1.794e-01 2.938e-02 0.000e+00
4.000e-02 2.128e-02 1.793e-01 2.835e-02 0.000e+00
4.368e-02 1.821e-02 1.784e-01 2.118e-02 0.000e+00
4.822e-02 1.525e-02 1.771e-01 1.526e-02 0.000e+00
5.000e-02 1.429e-02 1.765e-01 1.353e-02 0.000e+00
5.323e-02 1.275e-02 1.754e-01 1.099e-02 0.000e+00
5.876e-02 1.064e-02 1.735e-01 7.911e-03 0.000e+00
6.000e-02 1.024e-02 1.730e-01 7.380e-03 0.000e+00
6.486e-02 8.859e-03 1.712e-01 5.696e-03 0.000e+00
7.161e-02 7.363e-03 1.687e-01 4.099e-03 0.000e+00
7.905e-02 6.110e-03 1.660e-01 2.951e-03 0.000e+00
8.000e-02 5.973e-03 1.656e-01 2.836e-03 0.000e+00
8.726e-02 5.063e-03 1.630e-01 2.125e-03 0.000e+00
9.633e-02 4.188e-03 1.598e-01 1.531e-03 0.000e+00
1.000e-01 3.897e-03 1.585e-01 1.352e-03 0.000e+00
1.063e-01 3.463e-03 1.564e-01 1.105e-03 0.000e+00
1.174e-01 2.857e-03 1.529e-01 7.956e-04 0.000e+00
1.296e-01 2.356e-03 1.492e-01 5.746e-04 0.000e+00
1.431e-01 1.941e-03 1.453e-01 4.151e-04 0.000e+00
1.500e-01 1.769e-03 1.435e-01 3.559e-04 0.000e+00
1.579e-01 1.600e-03 1.414e-01 3.010e-04 0.000e+00
1.743e-01 1.316e-03 1.374e-01 2.184e-04 0.000e+00
1.925e-01 1.082e-03 1.333e-01 1.585e-04 0.000e+00
2.000e-01 1.003e-03 1.317e-01 1.402e-04 0.000e+00
2.125e-01 8.896e-04 1.292e-01 1.155e-04 0.000e+00
2.345e-01 7.318e-04 1.251e-01 8.457e-05 0.000e+00
2.589e-01 6.013e-04 1.209e-01 6.203e-05 0.000e+00
2.858e-01 4.940e-04 1.168e-01 4.572e-05 0.000e+00
3.000e-01 4.486e-04 1.148e-01 3.943e-05 0.000e+00
3.155e-01 4.058e-04 1.127e-01 3.386e-05 0.000e+00
3.483e-01 3.332e-04 1.086e-01 2.521e-05 0.000e+00
3.845e-01 2.736e-04 1.045e-01 1.888e-05 0.000e+00
4.000e-01 2.528e-04 1.029e-01 1.685e-05 0.000e+00
4.245e-01 2.246e-04 1.005e-01 1.422e-05 0.000e+00
4.686e-01 1.844e-04 9.656e-02 1.080e-05 0.000e+00
5.000e-01 1.620e-04 9.400e-02 9.071e-06 0.000e+00
5.173e-01 1.514e-04 9.267e-02 8.293e-06 0.000e+00
5.710e-01 1.243e-04 8.885e-02 6.419e-06 0.000e+00
6.000e-01 1.126e-04 8.696e-02 5.645e-06 0.000e+00
6.304e-01 1.020e-04 8.510e-02 4.960e-06 0.000e+00
6.959e-01 8.370e-05 8.144e-02 3.855e-06 0.000e+00
7.682e-01 6.869e-05 7.786e-02 3.080e-06 0.000e+00
8.000e-01 6.334e-05 7.640e-02 2.847e-06 0.000e+00
8.480e-01 5.637e-05 7.433e-02 2.578e-06 0.000e+00
9.361e-01 4.626e-05 7.091e-02 2.137e-06 0.000e+00
1.000e+00 4.054e-05 6.871e-02 1.770e-06 0.000e+00
1.022e+00 3.882e-05 6.800e-02 1.640e-06 0.000e+00
1.033e+00 3.800e-05 6.765e-02 1.584e-06 2.843e-09
1.141e+00 3.115e-05 6.439e-02 1.268e-06 2.703e-06
1.250e+00 2.596e-05 6.144e-02 1.113e-06 1.464e-05
1.259e+00 2.559e-05 6.122e-02 1.102e-06 1.611e-05
1.390e+00 2.099e-05 5.814e-02 9.300e-07 4.568e-05
1.500e+00 1.802e-05 5.585e-02 8.083e-07 8.120e-05
1.535e+00 1.721e-05 5.517e-02 7.758e-07 9.427e-05
1.694e+00 1.414e-05 5.230e-02 6.579e-07 1.626e-04
1.870e+00 1.160e-05 4.951e-02 5.641e-07 2.516e-04
2.000e+00 1.014e-05 4.766e-02 5.094e-07 3.236e-04
2.044e+00 9.707e-06 4.707e-02 4.929e-07 3.488e-04
2.065e+00 9.510e-06 4.679e-02 4.853e-07 3.610e-04
2.279e+00 7.806e-06 4.419e-02 4.193e-07 4.883e-04
2.516e+00 6.405e-06 4.169e-02 3.637e-07 6.344e-04
2.778e+00 5.255e-06 3.929e-02 3.168e-07 7.990e-04
3.000e+00 4.507e-06 3.749e-02 2.853e-07 9.393e-04
3.066e+00 4.315e-06 3.699e-02 2.771e-07 9.811e-04
3.385e+00 3.540e-06 3.478e-02 2.430e-07 1.181e-03
3.737e+00 2.905e-06 3.267e-02 2.138e-07 1.398e-03
4.000e+00 2.535e-06 3.127e-02 1.961e-07 1.557e-03
4.125e+00 2.384e-06 3.066e-02 1.887e-07 1.631e-03
4.554e+00 1.956e-06 2.874e-02 1.669e-07 1.878e-03
5.000e+00 1.622e-06 2.701e-02 1.489e-07 2.125e-03
5.027e+00 1.605e-06 2.691e-02 1.479e-07 2.139e-03
5.549e+00 1.317e-06 2.518e-02 1.314e-07 2.416e-03
6.000e+00 1.127e-06 2.387e-02 1.198e-07 2.644e-03
6.126e+00 1.081e-06 2.353e-02 1.169e-07 2.706e-03
6.762e+00 8.870e-07 2.198e-02 1.042e-07 3.006e-03
7.000e+00 8.277e-07 2.146e-02 1.001e-07 3.113e-03
7.465e+00 7.279e-07 2.051e-02 9.299e-08 3.317e-03
8.000e+00 6.339e-07 1.953e-02 8.594e-08 3.540e-03
8.241e+00 5.974e-07 1.912e-02 8.310e-08 3.637e-03
9.000e+00 5.008e-07 1.795e-02 7.528e-08 3.931e-03
9.097e+00 4.902e-07 1.781e-02 7.439e-08 3.967e-03
1.000e+01 4.057e-07 1.663e-02 6.696e-08 4.288e-03
1.004e+01 4.024e-07 1.658e-02 6.666e-08 4.301e-03
1.100e+01 3.353e-07 1.551e-02 6.027e-08 4.615e-03
1.109e+01 3.298e-07 1.542e-02 5.973e-08 4.644e-03
1.200e+01 2.817e-07 1.455e-02 5.480e-08 4.917e-03
1.224e+01 2.708e-07 1.433e-02 5.363e-08 4.986e-03
1.300e+01 2.400e-07 1.370e-02 5.023e-08 5.199e-03
1.351e+01 2.223e-07 1.332e-02 4.818e-08 5.335e-03
1.400e+01 2.070e-07 1.297e-02 4.636e-08 5.461e-03
1.491e+01 1.825e-07 1.237e-02 4.333e-08 5.685e-03
1.500e+01 1.803e-07 1.231e-02 4.305e-08 5.707e-03
1.600e+01 1.585e-07 1.172e-02 4.018e-08 5.941e-03
1.646e+01 1.497e-07 1.147e-02 3.899e-08 6.044e-03
1.800e+01 1.252e-07 1.071e-02 3.545e-08 6.366e-03
1.818e+01 1.227e-07 1.063e-02 3.508e-08 6.402e-03
2.000e+01 1.014e-07 9.878e-03 3.171e-08 6.750e-03
