# POLYVINYLIDENE FLUORIDE from NIST Database
1.760e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 3.123e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 3.124e-02 3.500e+00 0.000e+00 0.000e+00
9.000e+00 3.123e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.377e+00 1.014e-02 4.181e+03 0.000e+00
1.020e-03 1.373e+00 1.050e-02 3.971e+03 0.000e+00
1.126e-03 1.350e+00 1.252e-02 3.068e+03 0.000e+00
1.243e-03 1.327e+00 1.490e-02 2.368e+03 0.000e+00
1.372e-03 1.300e+00 1.767e-02 1.823e+03 0.000e+00
1.500e-03 1.272e+00 2.054e-02 1.436e+03 0.000e+00
1.515e-03 1.269e+00 2.088e-02 1.397e+03 0.000e+00
1.672e-03 1.232e+00 2.451e-02 1.068e+03 0.000e+00
1.846e-03 1.190e+00 2.862e-02 8.121e+02 0.000e+00
2.000e-03 1.153e+00 3.229e-02 6.493e+02 0.000e+00
2.038e-03 1.143e+00 3.320e-02 6.158e+02 0.000e+00
2.250e-03 1.091e+00 3.826e-02 4.659e+02 0.000e+00
2.483e-03 1.035e+00 4.378e-02 3.520e+02 0.000e+00
2.741e-03 9.749e-01 4.975e-02 2.652e+02 0.000e+00
3.000e-03 9.169e-01 5.555e-02 2.043e+02 0.000e+00
3.026e-03 9.112e-01 5.612e-02 1.992e+02 0.000e+00
3.341e-03 8.449e-01 6.280e-02 1.493e+02 0.000e+00
3.688e-03 7.775e-01 6.971e-02 1.117e+02 0.000e+00
4.000e-03 7.220e-01 7.549e-02 8.791e+01 0.000e+00
4.071e-03 7.101e-01 7.675e-02 8.344e+01 0.000e+00
4.494e-03 6.437e-01 8.381e-02 6.217e+01 0.000e+00
4.961e-03 5.796e-01 9.080e-02 4.624e+01 0.000e+00
5.000e-03 5.747e-01 9.135e-02 4.516e+01 0.000e+00
5.477e-03 5.187e-01 9.764e-02 3.432e+01 0.000e+00
6.000e-03 4.661e-01 1.037e-01 2.604e+01 0.000e+00
6.046e-03 4.618e-01 1.042e-01 2.544e+01 0.000e+00
6.675e-03 4.094e-01 1.105e-01 1.881e+01 0.000e+00
7.368e-03 3.618e-01 1.164e-01 1.390e+01 0.000e+00
8.000e-03 3.256e-01 1.210e-01 1.079e+01 0.000e+00
8.134e-03 3.187e-01 1.219e-01 1.025e+01 0.000e+00
8.979e-03 2.802e-01 1.271e-01 7.545e+00 0.000e+00
9.912e-03 2.459e-01 1.318e-01 5.547e+00 0.000e+00
1.000e-02 2.430e-01 1.323e-01 5.396e+00 0.000e+00
1.094e-02 2.156e-01 1.363e-01 4.075e+00 0.000e+00
1.208e-02 1.886e-01 1.404e-01 2.985e+00 0.000e+00
1.334e-02 1.647e-01 1.441e-01 2.183e+00 0.000e+00
1.472e-02 1.437e-01 1.476e-01 1.598e+00 0.000e+00
1.500e-02 1.400e-01 1.482e-01 1.505e+00 0.000e+00
1.625e-02 1.250e-01 1.507e-01 1.167e+00 0.000e+00
1.794e-02 1.085e-01 1.536e-01 8.511e-01 0.000e+00
1.980e-02 9.383e-02 1.561e-01 6.205e-01 0.000e+00
2.000e-02 9.243e-02 1.564e-01 6.008e-01 0.000e+00
2.186e-02 8.082e-02 1.583e-01 4.514e-01 0.000e+00
2.413e-02 6.936e-02 1.601e-01 3.282e-01 0.000e+00
2.664e-02 5.928e-02 1.615e-01 2.383e-01 0.000e+00
2.941e-02 5.048e-02 1.626e-01 1.728e-01 0.000e+00
3.000e-02 4.885e-02 1.627e-01 1.620e-01 0.000e+00
3.247e-02 4.281e-02 1.632e-01 1.252e-01 0.000e+00
3.584e-02 3.620e-02 1.635e-01 9.076e-02 0.000e+00
3.957e-02 3.051e-02 1.633e-01 6.568e-02 0.000e+00
4.000e-02 2.994e-02 1.633e-01 6.339e-02 0.000e+00
4.368e-02 2.565e-02 1.628e-01 4.753e-02 0.000e+00
4.822e-02 2.151e-02 1.619e-01 3.436e-02 0.000e+00
5.000e-02 2.016e-02 1.615e-01 3.051e-02 0.000e+00
5.323e-02 1.801e-02 1.606e-01 2.483e-02 0.000e+00
5.876e-02 1.505e-02 1.591e-01 1.793e-02 0.000e+00
6.000e-02 1.448e-02 1.587e-01 1.674e-02 0.000e+00
6.486e-02 1.255e-02 1.572e-01 1.295e-02 0.000e+00
7.161e-02 1.045e-02 1.551e-01 9.347e-03 0.000e+00
7.905e-02 8.687e-03 1.527e-01 6.749e-03 0.000e+00
8.000e-02 8.495e-03 1.524e-01 6.489e-03 0.000e+00
8.726e-02 7.211e-03 1.501e-01 4.874e-03 0.000e+00
9.633e-02 5.976e-03 1.473e-01 3.520e-03 0.000e+00
1.000e-01 5.564e-03 1.462e-01 3.112e-03 0.000e+00
1.063e-01 4.950e-03 1.443e-01 2.546e-03 0.000e+00
1.174e-01 4.089e-03 1.410e-01 1.838e-03 0.000e+00
1.296e-01 3.378e-03 1.377e-01 1.330e-03 0.000e+00
1.431e-01 2.786e-03 1.342e-01 9.632e-04 0.000e+00
1.500e-01 2.541e-03 1.325e-01 8.264e-04 0.000e+00
1.579e-01 2.299e-03 1.306e-01 6.996e-04 0.000e+00
1.743e-01 1.893e-03 1.270e-01 5.084e-04 0.000e+00
1.925e-01 1.557e-03 1.232e-01 3.696e-04 0.000e+00
2.000e-01 1.444e-03 1.218e-01 3.271e-04 0.000e+00
2.125e-01 1.281e-03 1.195e-01 2.698e-04 0.000e+00
2.345e-01 1.055e-03 1.157e-01 1.978e-04 0.000e+00
2.589e-01 8.669e-04 1.118e-01 1.454e-04 0.000e+00
2.858e-01 7.125e-04 1.080e-01 1.073e-04 0.000e+00
3.000e-01 6.471e-04 1.061e-01 9.262e-05 0.000e+00
3.155e-01 5.855e-04 1.042e-01 7.959e-05 0.000e+00
3.483e-01 4.810e-04 1.004e-01 5.934e-05 0.000e+00
3.845e-01 3.950e-04 9.669e-02 4.449e-05 0.000e+00
4.000e-01 3.651e-04 9.521e-02 3.972e-05 0.000e+00
4.245e-01 3.243e-04 9.299e-02 3.355e-05 0.000e+00
4.686e-01 2.663e-04 8.934e-02 2.550e-05 0.000e+00
5.000e-01 2.339e-04 8.698e-02 2.141e-05 0.000e+00
5.173e-01 2.186e-04 8.575e-02 1.957e-05 0.000e+00
5.710e-01 1.795e-04 8.222e-02 1.516e-05 0.000e+00
6.000e-01 1.626e-04 8.048e-02 1.334e-05 0.000e+00
