# POTASSIUM IODIDE from NIST Database
3.130e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.900e+01 6.024e-03 3.500e+00 0.000e+00 0.000e+00
5.300e+01 6.024e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.224e+00 6.446e-03 7.902e+03 0.000e+00
1.020e-03 7.208e+00 6.637e-03 7.572e+03 0.000e+00
1.072e-03 7.167e+00 7.141e-03 6.804e+03 0.000e+00
1.072e-03 7.167e+00 7.141e-03 7.062e+03 0.000e+00
1.126e-03 7.124e+00 7.669e-03 6.325e+03 0.000e+00
1.243e-03 7.029e+00 8.838e-03 5.066e+03 0.000e+00
1.372e-03 6.920e+00 1.015e-02 4.059e+03 0.000e+00
1.500e-03 6.809e+00 1.147e-02 3.323e+03 0.000e+00
1.515e-03 6.796e+00 1.162e-02 3.245e+03 0.000e+00
1.672e-03 6.655e+00 1.324e-02 2.566e+03 0.000e+00
1.846e-03 6.496e+00 1.504e-02 2.027e+03 0.000e+00
2.000e-03 6.355e+00 1.663e-02 1.675e+03 0.000e+00
2.038e-03 6.321e+00 1.702e-02 1.599e+03 0.000e+00
2.250e-03 6.129e+00 1.918e-02 1.251e+03 0.000e+00
2.483e-03 5.924e+00 2.153e-02 9.802e+02 0.000e+00
2.741e-03 5.703e+00 2.407e-02 7.673e+02 0.000e+00
3.000e-03 5.489e+00 2.654e-02 6.135e+02 0.000e+00
3.026e-03 5.468e+00 2.678e-02 6.002e+02 0.000e+00
3.341e-03 5.222e+00 2.967e-02 4.662e+02 0.000e+00
3.607e-03 5.025e+00 3.201e-02 3.834e+02 0.000e+00
3.607e-03 5.025e+00 3.201e-02 6.349e+02 0.000e+00
3.688e-03 4.968e+00 3.270e-02 6.005e+02 0.000e+00
4.000e-03 4.754e+00 3.528e-02 4.890e+02 0.000e+00
4.071e-03 4.707e+00 3.585e-02 4.674e+02 0.000e+00
4.494e-03 4.442e+00 3.911e-02 3.623e+02 0.000e+00
4.557e-03 4.405e+00 3.958e-02 3.494e+02 0.000e+00
4.557e-03 4.405e+00 3.958e-02 7.285e+02 0.000e+00
4.702e-03 4.320e+00 4.065e-02 6.803e+02 0.000e+00
4.852e-03 4.235e+00 4.172e-02 6.354e+02 0.000e+00
4.852e-03 4.235e+00 4.172e-02 8.109e+02 0.000e+00
4.961e-03 4.175e+00 4.249e-02 7.748e+02 0.000e+00
5.000e-03 4.153e+00 4.277e-02 7.625e+02 0.000e+00
5.188e-03 4.050e+00 4.406e-02 6.928e+02 0.000e+00
5.188e-03 4.050e+00 4.406e-02 7.824e+02 0.000e+00
