# POTASSIUM OXIDE from NIST Database
2.320e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.062e-02 3.500e+00 0.000e+00 0.000e+00
1.900e+01 2.123e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 3.034e+00 1.154e-02 4.145e+03 0.000e+00
1.020e-03 3.023e+00 1.183e-02 3.936e+03 0.000e+00
1.126e-03 2.969e+00 1.342e-02 3.042e+03 0.000e+00
1.243e-03 2.913e+00 1.521e-02 2.350e+03 0.000e+00
1.372e-03 2.853e+00 1.723e-02 1.816e+03 0.000e+00
1.500e-03 2.792e+00 1.925e-02 1.437e+03 0.000e+00
1.515e-03 2.785e+00 1.949e-02 1.400e+03 0.000e+00
1.672e-03 2.710e+00 2.200e-02 1.074e+03 0.000e+00
1.846e-03 2.627e+00 2.479e-02 8.226e+02 0.000e+00
2.000e-03 2.553e+00 2.727e-02 6.628e+02 0.000e+00
2.038e-03 2.535e+00 2.789e-02 6.294e+02 0.000e+00
2.250e-03 2.436e+00 3.132e-02 4.796e+02 0.000e+00
2.483e-03 2.329e+00 3.507e-02 3.658e+02 0.000e+00
2.741e-03 2.214e+00 3.917e-02 2.786e+02 0.000e+00
3.000e-03 2.102e+00 4.319e-02 2.172e+02 0.000e+00
3.026e-03 2.091e+00 4.359e-02 2.121e+02 0.000e+00
3.341e-03 1.963e+00 4.829e-02 1.608e+02 0.000e+00
3.607e-03 1.861e+00 5.210e-02 1.297e+02 0.000e+00
3.607e-03 1.861e+00 5.210e-02 1.016e+03 0.000e+00
3.688e-03 1.832e+00 5.322e-02 9.612e+02 0.000e+00
4.000e-03 1.724e+00 5.741e-02 7.823e+02 0.000e+00
4.071e-03 1.700e+00 5.834e-02 7.479e+02 0.000e+00
4.494e-03 1.570e+00 6.363e-02 5.789e+02 0.000e+00
4.961e-03 1.442e+00 6.902e-02 4.465e+02 0.000e+00
5.000e-03 1.432e+00 6.945e-02 4.374e+02 0.000e+00
5.477e-03 1.320e+00 7.443e-02 3.437e+02 0.000e+00
6.000e-03 1.214e+00 7.936e-02 2.694e+02 0.000e+00
6.046e-03 1.205e+00 7.977e-02 2.639e+02 0.000e+00
6.675e-03 1.098e+00 8.501e-02 2.020e+02 0.000e+00
7.368e-03 9.997e-01 9.010e-02 1.542e+02 0.000e+00
8.000e-03 9.232e-01 9.422e-02 1.229e+02 0.000e+00
8.134e-03 9.083e-01 9.503e-02 1.174e+02 0.000e+00
8.979e-03 8.238e-01 9.981e-02 8.911e+01 0.000e+00
9.912e-03 7.446e-01 1.045e-01 6.748e+01 0.000e+00
1.000e-02 7.377e-01 1.049e-01 6.581e+01 0.000e+00
1.094e-02 6.700e-01 1.090e-01 5.099e+01 0.000e+00
1.208e-02 5.992e-01 1.135e-01 3.839e+01 0.000e+00
1.334e-02 5.326e-01 1.178e-01 2.884e+01 0.000e+00
1.472e-02 4.705e-01 1.220e-01 2.166e+01 0.000e+00
1.500e-02 4.591e-01 1.228e-01 2.050e+01 0.000e+00
1.625e-02 4.124e-01 1.261e-01 1.622e+01 0.000e+00
1.794e-02 3.590e-01 1.300e-01 1.212e+01 0.000e+00
1.980e-02 3.111e-01 1.335e-01 9.049e+00 0.000e+00
2.000e-02 3.065e-01 1.339e-01 8.782e+00 0.000e+00
2.186e-02 2.684e-01 1.367e-01 6.734e+00 0.000e+00
2.413e-02 2.309e-01 1.396e-01 5.005e+00 0.000e+00
2.664e-02 1.981e-01 1.420e-01 3.712e+00 0.000e+00
2.941e-02 1.696e-01 1.441e-01 2.749e+00 0.000e+00
3.000e-02 1.644e-01 1.444e-01 2.588e+00 0.000e+00
3.247e-02 1.450e-01 1.457e-01 2.033e+00 0.000e+00
3.584e-02 1.239e-01 1.469e-01 1.502e+00 0.000e+00
3.957e-02 1.056e-01 1.478e-01 1.108e+00 0.000e+00
4.000e-02 1.038e-01 1.479e-01 1.071e+00 0.000e+00
4.368e-02 8.991e-02 1.483e-01 8.161e-01 0.000e+00
4.822e-02 7.635e-02 1.484e-01 6.004e-01 0.000e+00
5.000e-02 7.187e-02 1.484e-01 5.364e-01 0.000e+00
5.323e-02 6.468e-02 1.482e-01 4.413e-01 0.000e+00
5.876e-02 5.464e-02 1.477e-01 3.241e-01 0.000e+00
6.000e-02 5.270e-02 1.475e-01 3.036e-01 0.000e+00
6.486e-02 4.602e-02 1.468e-01 2.378e-01 0.000e+00
7.161e-02 3.864e-02 1.455e-01 1.743e-01 0.000e+00
7.905e-02 3.237e-02 1.440e-01 1.277e-01 0.000e+00
8.000e-02 3.168e-02 1.438e-01 1.230e-01 0.000e+00
8.726e-02 2.705e-02 1.421e-01 9.351e-02 0.000e+00
9.633e-02 2.256e-02 1.400e-01 6.845e-02 0.000e+00
1.000e-01 2.105e-02 1.391e-01 6.083e-02 0.000e+00
1.063e-01 1.880e-02 1.376e-01 5.016e-02 0.000e+00
1.174e-01 1.562e-02 1.350e-01 3.667e-02 0.000e+00
1.296e-01 1.297e-02 1.321e-01 2.685e-02 0.000e+00
1.431e-01 1.076e-02 1.291e-01 1.966e-02 0.000e+00
1.500e-01 9.837e-03 1.276e-01 1.695e-02 0.000e+00
1.579e-01 8.921e-03 1.260e-01 1.443e-02 0.000e+00
1.743e-01 7.385e-03 1.227e-01 1.059e-02 0.000e+00
1.925e-01 6.102e-03 1.192e-01 7.777e-03 0.000e+00
2.000e-01 5.669e-03 1.179e-01 6.909e-03 0.000e+00
2.125e-01 5.042e-03 1.157e-01 5.730e-03 0.000e+00
2.345e-01 4.165e-03 1.122e-01 4.236e-03 0.000e+00
2.589e-01 3.435e-03 1.086e-01 3.138e-03 0.000e+00
2.858e-01 2.831e-03 1.050e-01 2.333e-03 0.000e+00
3.000e-01 2.574e-03 1.032e-01 2.021e-03 0.000e+00
3.155e-01 2.332e-03 1.014e-01 1.742e-03 0.000e+00
3.483e-01 1.919e-03 9.774e-02 1.307e-03 0.000e+00
3.845e-01 1.579e-03 9.415e-02 9.854e-04 0.000e+00
4.000e-01 1.460e-03 9.273e-02 8.818e-04 0.000e+00
4.245e-01 1.298e-03 9.059e-02 7.474e-04 0.000e+00
4.686e-01 1.068e-03 8.708e-02 5.711e-04 0.000e+00
5.000e-01 9.388e-04 8.480e-02 4.807e-04 0.000e+00
5.173e-01 8.775e-04 8.361e-02 4.398e-04 0.000e+00
5.710e-01 7.212e-04 8.020e-02 3.413e-04 0.000e+00
6.000e-01 6.535e-04 7.851e-02 3.012e-04 0.000e+00
6.304e-01 5.923e-04 7.685e-02 2.661e-04 0.000e+00
6.959e-01 4.865e-04 7.356e-02 2.091e-04 0.000e+00
7.682e-01 3.995e-04 7.034e-02 1.668e-04 0.000e+00
8.000e-01 3.685e-04 6.903e-02 1.529e-04 0.000e+00
8.480e-01 3.281e-04 6.718e-02 1.358e-04 0.000e+00
9.361e-01 2.694e-04 6.410e-02 1.109e-04 0.000e+00
1.000e+00 2.361e-04 6.210e-02 9.508e-05 0.000e+00
1.022e+00 2.261e-04 6.145e-02 8.999e-05 0.000e+00
1.033e+00 2.213e-04 6.113e-02 8.768e-05 9.153e-09
1.141e+00 1.814e-04 5.818e-02 7.141e-05 8.382e-06
1.250e+00 1.512e-04 5.554e-02 6.094e-05 4.402e-05
