# PROPANE, LIQUID from NIST Database
4.300e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.814e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 6.804e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.451e-01 1.952e-02 1.807e+03 0.000e+00
1.020e-03 9.405e-01 2.020e-02 1.709e+03 0.000e+00
1.126e-03 9.172e-01 2.395e-02 1.293e+03 0.000e+00
1.243e-03 8.927e-01 2.833e-02 9.781e+02 0.000e+00
1.372e-03 8.656e-01 3.338e-02 7.386e+02 0.000e+00
1.500e-03 8.378e-01 3.852e-02 5.719e+02 0.000e+00
1.515e-03 8.345e-01 3.912e-02 5.557e+02 0.000e+00
1.672e-03 7.991e-01 4.548e-02 4.174e+02 0.000e+00
1.846e-03 7.595e-01 5.250e-02 3.124e+02 0.000e+00
2.000e-03 7.249e-01 5.863e-02 2.466e+02 0.000e+00
2.038e-03 7.165e-01 6.012e-02 2.333e+02 0.000e+00
2.250e-03 6.708e-01 6.828e-02 1.739e+02 0.000e+00
2.483e-03 6.236e-01 7.686e-02 1.296e+02 0.000e+00
2.741e-03 5.752e-01 8.580e-02 9.627e+01 0.000e+00
3.000e-03 5.309e-01 9.412e-02 7.329e+01 0.000e+00
3.026e-03 5.266e-01 9.491e-02 7.139e+01 0.000e+00
3.341e-03 4.787e-01 1.040e-01 5.284e+01 0.000e+00
3.688e-03 4.327e-01 1.130e-01 3.907e+01 0.000e+00
4.000e-03 3.966e-01 1.201e-01 3.044e+01 0.000e+00
4.071e-03 3.891e-01 1.216e-01 2.883e+01 0.000e+00
4.494e-03 3.485e-01 1.298e-01 2.124e+01 0.000e+00
4.961e-03 3.112e-01 1.374e-01 1.563e+01 0.000e+00
5.000e-03 3.084e-01 1.380e-01 1.525e+01 0.000e+00
5.477e-03 2.774e-01 1.444e-01 1.147e+01 0.000e+00
6.000e-03 2.493e-01 1.503e-01 8.619e+00 0.000e+00
6.046e-03 2.471e-01 1.508e-01 8.414e+00 0.000e+00
6.675e-03 2.200e-01 1.567e-01 6.159e+00 0.000e+00
7.368e-03 1.960e-01 1.620e-01 4.504e+00 0.000e+00
8.000e-03 1.780e-01 1.661e-01 3.467e+00 0.000e+00
8.134e-03 1.746e-01 1.669e-01 3.288e+00 0.000e+00
8.979e-03 1.555e-01 1.714e-01 2.397e+00 0.000e+00
9.912e-03 1.384e-01 1.756e-01 1.746e+00 0.000e+00
1.000e-02 1.369e-01 1.760e-01 1.697e+00 0.000e+00
1.094e-02 1.229e-01 1.795e-01 1.270e+00 0.000e+00
1.208e-02 1.088e-01 1.831e-01 9.223e-01 0.000e+00
1.334e-02 9.591e-02 1.864e-01 6.687e-01 0.000e+00
1.472e-02 8.422e-02 1.895e-01 4.855e-01 0.000e+00
1.500e-02 8.210e-02 1.900e-01 4.565e-01 0.000e+00
1.625e-02 7.348e-02 1.922e-01 3.515e-01 0.000e+00
1.794e-02 6.374e-02 1.945e-01 2.542e-01 0.000e+00
1.980e-02 5.499e-02 1.965e-01 1.839e-01 0.000e+00
2.000e-02 5.416e-02 1.967e-01 1.779e-01 0.000e+00
2.186e-02 4.717e-02 1.980e-01 1.328e-01 0.000e+00
2.413e-02 4.028e-02 1.991e-01 9.585e-02 0.000e+00
2.664e-02 3.424e-02 1.997e-01 6.911e-02 0.000e+00
2.941e-02 2.901e-02 1.999e-01 4.981e-02 0.000e+00
3.000e-02 2.805e-02 1.999e-01 4.664e-02 0.000e+00
3.247e-02 2.450e-02 1.997e-01 3.587e-02 0.000e+00
3.584e-02 2.065e-02 1.991e-01 2.583e-02 0.000e+00
3.957e-02 1.735e-02 1.981e-01 1.858e-02 0.000e+00
4.000e-02 1.702e-02 1.980e-01 1.792e-02 0.000e+00
4.368e-02 1.455e-02 1.967e-01 1.337e-02 0.000e+00
4.822e-02 1.218e-02 1.950e-01 9.615e-03 0.000e+00
5.000e-02 1.140e-02 1.943e-01 8.520e-03 0.000e+00
5.323e-02 1.017e-02 1.930e-01 6.913e-03 0.000e+00
5.876e-02 8.476e-03 1.906e-01 4.970e-03 0.000e+00
6.000e-02 8.154e-03 1.901e-01 4.635e-03 0.000e+00
6.486e-02 7.052e-03 1.880e-01 3.573e-03 0.000e+00
7.161e-02 5.855e-03 1.851e-01 2.567e-03 0.000e+00
7.905e-02 4.855e-03 1.820e-01 1.845e-03 0.000e+00
8.000e-02 4.745e-03 1.816e-01 1.773e-03 0.000e+00
8.726e-02 4.019e-03 1.786e-01 1.327e-03 0.000e+00
9.633e-02 3.321e-03 1.750e-01 9.546e-04 0.000e+00
1.000e-01 3.090e-03 1.736e-01 8.429e-04 0.000e+00
1.063e-01 2.744e-03 1.712e-01 6.882e-04 0.000e+00
1.174e-01 2.262e-03 1.673e-01 4.953e-04 0.000e+00
1.296e-01 1.864e-03 1.632e-01 3.574e-04 0.000e+00
1.431e-01 1.535e-03 1.589e-01 2.581e-04 0.000e+00
1.500e-01 1.399e-03 1.569e-01 2.212e-04 0.000e+00
1.579e-01 1.264e-03 1.546e-01 1.870e-04 0.000e+00
1.743e-01 1.040e-03 1.502e-01 1.355e-04 0.000e+00
1.925e-01 8.546e-04 1.457e-01 9.829e-05 0.000e+00
2.000e-01 7.923e-04 1.440e-01 8.692e-05 0.000e+00
2.125e-01 7.026e-04 1.412e-01 7.157e-05 0.000e+00
2.345e-01 5.778e-04 1.367e-01 5.234e-05 0.000e+00
2.589e-01 4.746e-04 1.322e-01 3.836e-05 0.000e+00
2.858e-01 3.899e-04 1.276e-01 2.825e-05 0.000e+00
3.000e-01 3.540e-04 1.254e-01 2.436e-05 0.000e+00
3.155e-01 3.202e-04 1.231e-01 2.091e-05 0.000e+00
3.483e-01 2.629e-04 1.186e-01 1.556e-05 0.000e+00
3.845e-01 2.159e-04 1.142e-01 1.165e-05 0.000e+00
4.000e-01 1.995e-04 1.124e-01 1.039e-05 0.000e+00
4.245e-01 1.772e-04 1.098e-01 8.770e-06 0.000e+00
4.686e-01 1.455e-04 1.055e-01 6.658e-06 0.000e+00
5.000e-01 1.278e-04 1.027e-01 5.589e-06 0.000e+00
5.173e-01 1.194e-04 1.012e-01 5.110e-06 0.000e+00
5.710e-01 9.803e-05 9.706e-02 3.954e-06 0.000e+00
6.000e-01 8.879e-05 9.499e-02 3.476e-06 0.000e+00
6.304e-01 8.044e-05 9.296e-02 3.051e-06 0.000e+00
6.959e-01 6.601e-05 8.896e-02 2.366e-06 0.000e+00
7.682e-01 5.417e-05 8.504e-02 1.892e-06 0.000e+00
8.000e-01 4.995e-05 8.345e-02 1.753e-06 0.000e+00
8.480e-01 4.446e-05 8.119e-02 1.594e-06 0.000e+00
9.361e-01 3.649e-05 7.745e-02 1.325e-06 0.000e+00
1.000e+00 3.198e-05 7.505e-02 1.090e-06 0.000e+00
1.022e+00 3.062e-05 7.427e-02 1.005e-06 0.000e+00
1.033e+00 2.997e-05 7.389e-02 9.683e-07 2.442e-09
1.141e+00 2.457e-05 7.033e-02 7.721e-07 2.325e-06
1.250e+00 2.047e-05 6.711e-02 6.823e-07 1.261e-05
1.259e+00 2.018e-05 6.686e-02 6.753e-07 1.388e-05
1.390e+00 1.655e-05 6.351e-02 5.707e-07 3.941e-05
1.500e+00 1.422e-05 6.101e-02 4.954e-07 7.010e-05
1.535e+00 1.358e-05 6.026e-02 4.754e-07 8.140e-05
1.694e+00 1.115e-05 5.712e-02 4.033e-07 1.405e-04
1.870e+00 9.149e-06 5.406e-02 3.461e-07 2.174e-04
2.000e+00 7.997e-06 5.205e-02 3.127e-07 2.796e-04
2.044e+00 7.655e-06 5.141e-02 3.026e-07 3.014e-04
2.065e+00 7.500e-06 5.111e-02 2.980e-07 3.119e-04
2.279e+00 6.157e-06 4.829e-02 2.575e-07 4.221e-04
2.516e+00 5.052e-06 4.555e-02 2.235e-07 5.490e-04
2.778e+00 4.145e-06 4.292e-02 1.948e-07 6.924e-04
3.000e+00 3.555e-06 4.095e-02 1.755e-07 8.151e-04
