# Pyrex Glass from NIST Database
2.230e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.000e+00 3.706e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.372e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 1.226e-03 3.500e+00 0.000e+00 0.000e+00
1.300e+01 4.315e-04 3.500e+00 0.000e+00 0.000e+00
1.400e+01 1.343e-02 3.500e+00 0.000e+00 0.000e+00
1.900e+01 8.494e-05 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.888e+00 1.077e-02 3.162e+03 0.000e+00
1.020e-03 1.881e+00 1.113e-02 3.000e+03 0.000e+00
1.072e-03 1.863e+00 1.209e-02 2.628e+03 0.000e+00
1.072e-03 1.863e+00 1.209e-02 2.794e+03 0.000e+00
1.126e-03 1.846e+00 1.311e-02 2.457e+03 0.000e+00
1.243e-03 1.808e+00 1.542e-02 1.896e+03 0.000e+00
1.372e-03 1.767e+00 1.805e-02 1.461e+03 0.000e+00
1.500e-03 1.725e+00 2.072e-02 1.150e+03 0.000e+00
1.515e-03 1.720e+00 2.103e-02 1.120e+03 0.000e+00
1.560e-03 1.705e+00 2.197e-02 1.035e+03 0.000e+00
1.560e-03 1.705e+00 2.197e-02 1.077e+03 0.000e+00
1.672e-03 1.666e+00 2.432e-02 8.915e+02 0.000e+00
1.839e-03 1.609e+00 2.782e-02 6.867e+02 0.000e+00
1.839e-03 1.609e+00 2.782e-02 1.774e+03 0.000e+00
1.846e-03 1.607e+00 2.797e-02 1.761e+03 0.000e+00
2.000e-03 1.555e+00 3.119e-02 1.499e+03 0.000e+00
2.038e-03 1.542e+00 3.198e-02 1.439e+03 0.000e+00
2.250e-03 1.473e+00 3.633e-02 1.136e+03 0.000e+00
2.483e-03 1.400e+00 4.100e-02 8.735e+02 0.000e+00
2.741e-03 1.324e+00 4.599e-02 6.607e+02 0.000e+00
3.000e-03 1.252e+00 5.080e-02 5.110e+02 0.000e+00
3.026e-03 1.245e+00 5.127e-02 4.987e+02 0.000e+00
3.341e-03 1.165e+00 5.678e-02 3.790e+02 0.000e+00
3.607e-03 1.103e+00 6.119e-02 3.074e+02 0.000e+00
3.607e-03 1.103e+00 6.119e-02 3.110e+02 0.000e+00
3.688e-03 1.085e+00 6.248e-02 2.928e+02 0.000e+00
4.000e-03 1.020e+00 6.729e-02 2.344e+02 0.000e+00
4.071e-03 1.006e+00 6.834e-02 2.233e+02 0.000e+00
4.494e-03 9.276e-01 7.431e-02 1.693e+02 0.000e+00
4.961e-03 8.515e-01 8.034e-02 1.279e+02 0.000e+00
5.000e-03 8.456e-01 8.081e-02 1.251e+02 0.000e+00
5.477e-03 7.780e-01 8.635e-02 9.643e+01 0.000e+00
6.000e-03 7.127e-01 9.185e-02 7.419e+01 0.000e+00
6.046e-03 7.074e-01 9.231e-02 7.258e+01 0.000e+00
