# RUBBER, NATURAL from NIST Database
9.200e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.174e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 7.341e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 9.923e-01 1.709e-02 1.949e+03 0.000e+00
1.020e-03 9.875e-01 1.769e-02 1.843e+03 0.000e+00
1.126e-03 9.633e-01 2.098e-02 1.395e+03 0.000e+00
1.243e-03 9.377e-01 2.482e-02 1.055e+03 0.000e+00
1.372e-03 9.094e-01 2.926e-02 7.967e+02 0.000e+00
1.500e-03 8.804e-01 3.378e-02 6.168e+02 0.000e+00
1.515e-03 8.770e-01 3.431e-02 5.994e+02 0.000e+00
1.672e-03 8.401e-01 3.992e-02 4.503e+02 0.000e+00
1.846e-03 7.987e-01 4.613e-02 3.370e+02 0.000e+00
2.000e-03 7.626e-01 5.157e-02 2.661e+02 0.000e+00
2.038e-03 7.538e-01 5.290e-02 2.516e+02 0.000e+00
2.250e-03 7.061e-01 6.019e-02 1.876e+02 0.000e+00
2.483e-03 6.567e-01 6.789e-02 1.398e+02 0.000e+00
2.741e-03 6.061e-01 7.596e-02 1.038e+02 0.000e+00
3.000e-03 5.597e-01 8.352e-02 7.906e+01 0.000e+00
3.026e-03 5.553e-01 8.425e-02 7.702e+01 0.000e+00
3.341e-03 5.051e-01 9.263e-02 5.700e+01 0.000e+00
3.688e-03 4.568e-01 1.009e-01 4.214e+01 0.000e+00
4.000e-03 4.190e-01 1.075e-01 3.284e+01 0.000e+00
4.071e-03 4.111e-01 1.090e-01 3.111e+01 0.000e+00
4.494e-03 3.685e-01 1.166e-01 2.292e+01 0.000e+00
4.961e-03 3.294e-01 1.238e-01 1.686e+01 0.000e+00
5.000e-03 3.264e-01 1.244e-01 1.645e+01 0.000e+00
5.477e-03 2.938e-01 1.305e-01 1.238e+01 0.000e+00
6.000e-03 2.643e-01 1.363e-01 9.298e+00 0.000e+00
6.046e-03 2.619e-01 1.367e-01 9.077e+00 0.000e+00
6.675e-03 2.335e-01 1.424e-01 6.644e+00 0.000e+00
7.368e-03 2.081e-01 1.476e-01 4.859e+00 0.000e+00
8.000e-03 1.891e-01 1.517e-01 3.740e+00 0.000e+00
8.134e-03 1.855e-01 1.525e-01 3.547e+00 0.000e+00
8.979e-03 1.654e-01 1.570e-01 2.586e+00 0.000e+00
9.912e-03 1.473e-01 1.612e-01 1.883e+00 0.000e+00
1.000e-02 1.458e-01 1.616e-01 1.830e+00 0.000e+00
1.094e-02 1.310e-01 1.652e-01 1.371e+00 0.000e+00
1.208e-02 1.160e-01 1.690e-01 9.950e-01 0.000e+00
1.334e-02 1.023e-01 1.725e-01 7.214e-01 0.000e+00
1.472e-02 8.992e-02 1.757e-01 5.237e-01 0.000e+00
1.500e-02 8.766e-02 1.762e-01 4.925e-01 0.000e+00
1.625e-02 7.850e-02 1.786e-01 3.792e-01 0.000e+00
1.794e-02 6.812e-02 1.812e-01 2.743e-01 0.000e+00
1.980e-02 5.880e-02 1.834e-01 1.984e-01 0.000e+00
2.000e-02 5.790e-02 1.836e-01 1.919e-01 0.000e+00
2.186e-02 5.045e-02 1.851e-01 1.432e-01 0.000e+00
2.413e-02 4.309e-02 1.864e-01 1.034e-01 0.000e+00
2.664e-02 3.664e-02 1.873e-01 7.456e-02 0.000e+00
2.941e-02 3.105e-02 1.877e-01 5.374e-02 0.000e+00
3.000e-02 3.002e-02 1.878e-01 5.031e-02 0.000e+00
3.247e-02 2.623e-02 1.877e-01 3.869e-02 0.000e+00
3.584e-02 2.211e-02 1.873e-01 2.787e-02 0.000e+00
3.957e-02 1.859e-02 1.865e-01 2.005e-02 0.000e+00
4.000e-02 1.823e-02 1.864e-01 1.934e-02 0.000e+00
4.368e-02 1.559e-02 1.854e-01 1.442e-02 0.000e+00
4.822e-02 1.305e-02 1.839e-01 1.037e-02 0.000e+00
5.000e-02 1.222e-02 1.832e-01 9.191e-03 0.000e+00
5.323e-02 1.090e-02 1.820e-01 7.458e-03 0.000e+00
5.876e-02 9.082e-03 1.799e-01 5.361e-03 0.000e+00
6.000e-02 8.737e-03 1.794e-01 5.000e-03 0.000e+00
6.486e-02 7.557e-03 1.775e-01 3.855e-03 0.000e+00
7.161e-02 6.275e-03 1.748e-01 2.769e-03 0.000e+00
7.905e-02 5.203e-03 1.719e-01 1.991e-03 0.000e+00
8.000e-02 5.086e-03 1.715e-01 1.913e-03 0.000e+00
8.726e-02 4.307e-03 1.688e-01 1.432e-03 0.000e+00
9.633e-02 3.560e-03 1.654e-01 1.030e-03 0.000e+00
1.000e-01 3.312e-03 1.641e-01 9.094e-04 0.000e+00
1.063e-01 2.942e-03 1.619e-01 7.424e-04 0.000e+00
1.174e-01 2.425e-03 1.581e-01 5.343e-04 0.000e+00
1.296e-01 1.999e-03 1.543e-01 3.856e-04 0.000e+00
1.431e-01 1.645e-03 1.503e-01 2.784e-04 0.000e+00
1.500e-01 1.500e-03 1.484e-01 2.386e-04 0.000e+00
1.579e-01 1.355e-03 1.462e-01 2.017e-04 0.000e+00
1.743e-01 1.115e-03 1.421e-01 1.462e-04 0.000e+00
1.925e-01 9.162e-04 1.378e-01 1.060e-04 0.000e+00
2.000e-01 8.494e-04 1.362e-01 9.377e-05 0.000e+00
2.125e-01 7.532e-04 1.336e-01 7.721e-05 0.000e+00
2.345e-01 6.194e-04 1.293e-01 5.646e-05 0.000e+00
2.589e-01 5.088e-04 1.250e-01 4.138e-05 0.000e+00
2.858e-01 4.180e-04 1.207e-01 3.048e-05 0.000e+00
3.000e-01 3.795e-04 1.186e-01 2.628e-05 0.000e+00
3.155e-01 3.433e-04 1.164e-01 2.256e-05 0.000e+00
3.483e-01 2.819e-04 1.122e-01 1.679e-05 0.000e+00
3.845e-01 2.314e-04 1.080e-01 1.257e-05 0.000e+00
4.000e-01 2.139e-04 1.063e-01 1.121e-05 0.000e+00
4.245e-01 1.899e-04 1.039e-01 9.462e-06 0.000e+00
4.686e-01 1.559e-04 9.980e-02 7.183e-06 0.000e+00
5.000e-01 1.370e-04 9.715e-02 6.030e-06 0.000e+00
5.173e-01 1.280e-04 9.578e-02 5.513e-06 0.000e+00
5.710e-01 1.051e-04 9.182e-02 4.266e-06 0.000e+00
6.000e-01 9.519e-05 8.987e-02 3.750e-06 0.000e+00
6.304e-01 8.624e-05 8.795e-02 3.292e-06 0.000e+00
6.959e-01 7.077e-05 8.417e-02 2.553e-06 0.000e+00
7.682e-01 5.808e-05 8.046e-02 2.042e-06 0.000e+00
8.000e-01 5.356e-05 7.895e-02 1.891e-06 0.000e+00
8.480e-01 4.767e-05 7.681e-02 1.719e-06 0.000e+00
9.361e-01 3.912e-05 7.327e-02 1.429e-06 0.000e+00
1.000e+00 3.428e-05 7.100e-02 1.176e-06 0.000e+00
1.022e+00 3.282e-05 7.027e-02 1.084e-06 0.000e+00
1.033e+00 3.213e-05 6.991e-02 1.045e-06 2.565e-09
1.141e+00 2.634e-05 6.654e-02 8.330e-07 2.442e-06
1.250e+00 2.194e-05 6.349e-02 7.361e-07 1.324e-05
1.259e+00 2.163e-05 6.326e-02 7.285e-07 1.457e-05
1.390e+00 1.775e-05 6.009e-02 6.157e-07 4.136e-05
1.500e+00 1.524e-05 5.772e-02 5.345e-07 7.356e-05
1.535e+00 1.455e-05 5.702e-02 5.129e-07 8.542e-05
1.694e+00 1.195e-05 5.404e-02 4.350e-07 1.474e-04
1.870e+00 9.808e-06 5.115e-02 3.734e-07 2.281e-04
2.000e+00 8.573e-06 4.925e-02 3.374e-07 2.934e-04
2.044e+00 8.207e-06 4.864e-02 3.264e-07 3.163e-04
2.065e+00 8.041e-06 4.836e-02 3.215e-07 3.273e-04
2.279e+00 6.601e-06 4.569e-02 2.778e-07 4.429e-04
2.516e+00 5.416e-06 4.310e-02 2.411e-07 5.758e-04
2.778e+00 4.444e-06 4.061e-02 2.101e-07 7.257e-04
3.000e+00 3.811e-06 3.874e-02 1.893e-07 8.538e-04
3.066e+00 3.649e-06 3.823e-02 1.839e-07 8.919e-04
3.385e+00 2.993e-06 3.594e-02 1.613e-07 1.075e-03
3.737e+00 2.456e-06 3.376e-02 1.420e-07 1.275e-03
4.000e+00 2.144e-06 3.232e-02 1.303e-07 1.419e-03
4.125e+00 2.016e-06 3.168e-02 1.254e-07 1.488e-03
4.554e+00 1.654e-06 2.970e-02 1.109e-07 1.714e-03
5.000e+00 1.372e-06 2.791e-02 9.898e-08 1.941e-03
5.027e+00 1.357e-06 2.781e-02 9.834e-08 1.955e-03
5.549e+00 1.114e-06 2.602e-02 8.737e-08 2.210e-03
6.000e+00 9.528e-07 2.467e-02 7.967e-08 2.420e-03
6.126e+00 9.140e-07 2.432e-02 7.775e-08 2.478e-03
6.762e+00 7.499e-07 2.271e-02 6.933e-08 2.755e-03
7.000e+00 6.998e-07 2.217e-02 6.662e-08 2.854e-03
7.465e+00 6.154e-07 2.119e-02 6.189e-08 3.042e-03
8.000e+00 5.360e-07 2.018e-02 5.721e-08 3.249e-03
8.241e+00 5.051e-07 1.976e-02 5.532e-08 3.339e-03
9.000e+00 4.234e-07 1.855e-02 5.013e-08 3.611e-03
9.097e+00 4.145e-07 1.841e-02 4.954e-08 3.644e-03
1.000e+01 3.430e-07 1.718e-02 4.461e-08 3.942e-03
1.004e+01 3.402e-07 1.713e-02 4.441e-08 3.954e-03
1.100e+01 2.835e-07 1.603e-02 4.015e-08 4.245e-03
1.109e+01 2.789e-07 1.593e-02 3.979e-08 4.271e-03
1.200e+01 2.382e-07 1.503e-02 3.651e-08 4.525e-03
1.224e+01 2.289e-07 1.481e-02 3.573e-08 4.588e-03
1.300e+01 2.030e-07 1.416e-02 3.347e-08 4.786e-03
1.351e+01 1.879e-07 1.376e-02 3.211e-08 4.913e-03
1.400e+01 1.750e-07 1.340e-02 3.090e-08 5.031e-03
1.491e+01 1.543e-07 1.278e-02 2.888e-08 5.237e-03
1.500e+01 1.525e-07 1.272e-02 2.869e-08 5.258e-03
1.600e+01 1.340e-07 1.211e-02 2.678e-08 5.476e-03
1.646e+01 1.266e-07 1.185e-02 2.599e-08 5.571e-03
1.800e+01 1.059e-07 1.107e-02 2.363e-08 5.871e-03
1.818e+01 1.038e-07 1.099e-02 2.338e-08 5.905e-03
2.000e+01 8.573e-08 1.021e-02 2.114e-08 6.228e-03
