# RUBBER, NEOPRENE from NIST Database
1.230e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 5.647e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 4.518e-02 3.500e+00 0.000e+00 0.000e+00
1.700e+01 1.130e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.820e+00 1.314e-02 2.332e+03 0.000e+00
1.020e-03 1.813e+00 1.360e-02 2.209e+03 0.000e+00
1.126e-03 1.778e+00 1.613e-02 1.688e+03 0.000e+00
1.243e-03 1.741e+00 1.909e-02 1.289e+03 0.000e+00
1.372e-03 1.699e+00 2.251e-02 9.836e+02 0.000e+00
1.500e-03 1.657e+00 2.599e-02 7.698e+02 0.000e+00
1.515e-03 1.652e+00 2.640e-02 7.488e+02 0.000e+00
1.672e-03 1.597e+00 3.073e-02 5.685e+02 0.000e+00
1.846e-03 1.534e+00 3.552e-02 4.306e+02 0.000e+00
2.000e-03 1.479e+00 3.973e-02 3.437e+02 0.000e+00
2.038e-03 1.465e+00 4.077e-02 3.258e+02 0.000e+00
2.250e-03 1.391e+00 4.643e-02 2.459e+02 0.000e+00
2.483e-03 1.313e+00 5.244e-02 1.857e+02 0.000e+00
2.741e-03 1.233e+00 5.879e-02 1.400e+02 0.000e+00
2.822e-03 1.208e+00 6.071e-02 1.287e+02 0.000e+00
2.822e-03 1.208e+00 6.071e-02 7.130e+02 0.000e+00
3.000e-03 1.158e+00 6.478e-02 6.376e+02 0.000e+00
3.026e-03 1.151e+00 6.536e-02 6.266e+02 0.000e+00
3.341e-03 1.068e+00 7.207e-02 4.968e+02 0.000e+00
3.688e-03 9.866e-01 7.879e-02 3.790e+02 0.000e+00
4.000e-03 9.215e-01 8.425e-02 3.013e+02 0.000e+00
4.071e-03 9.077e-01 8.542e-02 2.870e+02 0.000e+00
4.494e-03 8.328e-01 9.185e-02 2.199e+02 0.000e+00
4.961e-03 7.625e-01 9.801e-02 1.693e+02 0.000e+00
5.000e-03 7.571e-01 9.849e-02 1.658e+02 0.000e+00
5.477e-03 6.969e-01 1.039e-01 1.295e+02 0.000e+00
6.000e-03 6.408e-01 1.090e-01 1.007e+02 0.000e+00
6.046e-03 6.363e-01 1.094e-01 9.857e+01 0.000e+00
6.675e-03 5.801e-01 1.146e-01 7.483e+01 0.000e+00
7.368e-03 5.280e-01 1.196e-01 5.672e+01 0.000e+00
8.000e-03 4.872e-01 1.236e-01 4.494e+01 0.000e+00
8.134e-03 4.793e-01 1.244e-01 4.287e+01 0.000e+00
8.979e-03 4.335e-01 1.290e-01 3.233e+01 0.000e+00
9.912e-03 3.900e-01 1.334e-01 2.433e+01 0.000e+00
1.000e-02 3.862e-01 1.338e-01 2.372e+01 0.000e+00
1.094e-02 3.487e-01 1.377e-01 1.828e+01 0.000e+00
1.208e-02 3.096e-01 1.419e-01 1.368e+01 0.000e+00
1.334e-02 2.730e-01 1.459e-01 1.022e+01 0.000e+00
1.472e-02 2.395e-01 1.497e-01 7.637e+00 0.000e+00
1.500e-02 2.334e-01 1.504e-01 7.221e+00 0.000e+00
1.625e-02 2.087e-01 1.532e-01 5.688e+00 0.000e+00
1.794e-02 1.809e-01 1.564e-01 4.229e+00 0.000e+00
1.980e-02 1.562e-01 1.592e-01 3.141e+00 0.000e+00
2.000e-02 1.539e-01 1.595e-01 3.047e+00 0.000e+00
2.186e-02 1.344e-01 1.616e-01 2.327e+00 0.000e+00
2.413e-02 1.154e-01 1.636e-01 1.722e+00 0.000e+00
2.664e-02 9.882e-02 1.651e-01 1.272e+00 0.000e+00
2.941e-02 8.446e-02 1.662e-01 9.384e-01 0.000e+00
3.000e-02 8.183e-02 1.664e-01 8.826e-01 0.000e+00
3.247e-02 7.207e-02 1.669e-01 6.910e-01 0.000e+00
3.584e-02 6.140e-02 1.673e-01 5.085e-01 0.000e+00
3.957e-02 5.218e-02 1.672e-01 3.734e-01 0.000e+00
4.000e-02 5.126e-02 1.672e-01 3.610e-01 0.000e+00
4.368e-02 4.426e-02 1.668e-01 2.742e-01 0.000e+00
4.822e-02 3.743e-02 1.660e-01 2.010e-01 0.000e+00
5.000e-02 3.518e-02 1.657e-01 1.794e-01 0.000e+00
5.323e-02 3.157e-02 1.649e-01 1.473e-01 0.000e+00
5.876e-02 2.656e-02 1.635e-01 1.078e-01 0.000e+00
6.000e-02 2.559e-02 1.632e-01 1.009e-01 0.000e+00
6.486e-02 2.228e-02 1.618e-01 7.885e-02 0.000e+00
7.161e-02 1.864e-02 1.598e-01 5.761e-02 0.000e+00
7.905e-02 1.556e-02 1.575e-01 4.209e-02 0.000e+00
8.000e-02 1.522e-02 1.572e-01 4.052e-02 0.000e+00
8.726e-02 1.297e-02 1.549e-01 3.074e-02 0.000e+00
9.633e-02 1.079e-02 1.521e-01 2.244e-02 0.000e+00
1.000e-01 1.006e-02 1.510e-01 1.992e-02 0.000e+00
1.063e-01 8.970e-03 1.491e-01 1.640e-02 0.000e+00
1.174e-01 7.438e-03 1.459e-01 1.196e-02 0.000e+00
1.296e-01 6.165e-03 1.425e-01 8.733e-03 0.000e+00
1.431e-01 5.103e-03 1.390e-01 6.379e-03 0.000e+00
1.500e-01 4.663e-03 1.373e-01 5.497e-03 0.000e+00
1.579e-01 4.225e-03 1.354e-01 4.674e-03 0.000e+00
1.743e-01 3.492e-03 1.317e-01 3.425e-03 0.000e+00
1.925e-01 2.881e-03 1.278e-01 2.509e-03 0.000e+00
2.000e-01 2.675e-03 1.263e-01 2.228e-03 0.000e+00
2.125e-01 2.377e-03 1.239e-01 1.845e-03 0.000e+00
2.345e-01 1.961e-03 1.200e-01 1.362e-03 0.000e+00
2.589e-01 1.616e-03 1.161e-01 1.007e-03 0.000e+00
2.858e-01 1.330e-03 1.122e-01 7.474e-04 0.000e+00
3.000e-01 1.209e-03 1.102e-01 6.468e-04 0.000e+00
3.155e-01 1.095e-03 1.082e-01 5.573e-04 0.000e+00
3.483e-01 9.005e-04 1.043e-01 4.175e-04 0.000e+00
3.845e-01 7.404e-04 1.004e-01 3.145e-04 0.000e+00
4.000e-01 6.846e-04 9.890e-02 2.813e-04 0.000e+00
4.245e-01 6.085e-04 9.661e-02 2.382e-04 0.000e+00
4.686e-01 5.000e-04 9.283e-02 1.818e-04 0.000e+00
5.000e-01 4.396e-04 9.039e-02 1.529e-04 0.000e+00
5.173e-01 4.108e-04 8.911e-02 1.399e-04 0.000e+00
5.710e-01 3.375e-04 8.545e-02 1.086e-04 0.000e+00
6.000e-01 3.058e-04 8.364e-02 9.577e-05 0.000e+00
6.304e-01 2.771e-04 8.186e-02 8.457e-05 0.000e+00
6.959e-01 2.276e-04 7.834e-02 6.635e-05 0.000e+00
