# SILICON DIOXIDE from NIST Database
2.320e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 3.329e-02 3.500e+00 0.000e+00 0.000e+00
1.400e+01 1.664e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.981e+00 1.069e-02 3.176e+03 0.000e+00
1.020e-03 1.974e+00 1.105e-02 3.014e+03 0.000e+00
1.126e-03 1.937e+00 1.302e-02 2.318e+03 0.000e+00
1.243e-03 1.898e+00 1.532e-02 1.781e+03 0.000e+00
1.372e-03 1.854e+00 1.795e-02 1.366e+03 0.000e+00
1.500e-03 1.810e+00 2.060e-02 1.073e+03 0.000e+00
1.515e-03 1.804e+00 2.091e-02 1.045e+03 0.000e+00
1.672e-03 1.748e+00 2.418e-02 7.965e+02 0.000e+00
1.839e-03 1.687e+00 2.766e-02 6.117e+02 0.000e+00
1.839e-03 1.687e+00 2.766e-02 1.960e+03 0.000e+00
1.846e-03 1.685e+00 2.780e-02 1.945e+03 0.000e+00
2.000e-03 1.630e+00 3.099e-02 1.666e+03 0.000e+00
2.038e-03 1.617e+00 3.177e-02 1.602e+03 0.000e+00
2.250e-03 1.544e+00 3.607e-02 1.270e+03 0.000e+00
2.483e-03 1.468e+00 4.067e-02 9.774e+02 0.000e+00
2.741e-03 1.388e+00 4.558e-02 7.392e+02 0.000e+00
3.000e-03 1.314e+00 5.029e-02 5.716e+02 0.000e+00
3.026e-03 1.307e+00 5.076e-02 5.579e+02 0.000e+00
3.341e-03 1.224e+00 5.617e-02 4.244e+02 0.000e+00
3.688e-03 1.141e+00 6.176e-02 3.246e+02 0.000e+00
4.000e-03 1.073e+00 6.648e-02 2.601e+02 0.000e+00
4.071e-03 1.059e+00 6.752e-02 2.478e+02 0.000e+00
4.494e-03 9.784e-01 7.339e-02 1.881e+02 0.000e+00
4.961e-03 9.000e-01 7.933e-02 1.422e+02 0.000e+00
5.000e-03 8.939e-01 7.980e-02 1.391e+02 0.000e+00
5.477e-03 8.242e-01 8.528e-02 1.073e+02 0.000e+00
6.000e-03 7.565e-01 9.074e-02 8.261e+01 0.000e+00
6.046e-03 7.510e-01 9.119e-02 8.081e+01 0.000e+00
6.675e-03 6.804e-01 9.703e-02 6.071e+01 0.000e+00
7.368e-03 6.129e-01 1.027e-01 4.553e+01 0.000e+00
8.000e-03 5.593e-01 1.074e-01 3.577e+01 0.000e+00
8.134e-03 5.488e-01 1.083e-01 3.406e+01 0.000e+00
8.979e-03 4.884e-01 1.136e-01 2.543e+01 0.000e+00
9.912e-03 4.323e-01 1.188e-01 1.895e+01 0.000e+00
1.000e-02 4.275e-01 1.193e-01 1.846e+01 0.000e+00
1.094e-02 3.807e-01 1.237e-01 1.411e+01 0.000e+00
1.208e-02 3.335e-01 1.284e-01 1.047e+01 0.000e+00
1.334e-02 2.910e-01 1.329e-01 7.753e+00 0.000e+00
1.472e-02 2.534e-01 1.369e-01 5.746e+00 0.000e+00
1.500e-02 2.467e-01 1.377e-01 5.425e+00 0.000e+00
1.625e-02 2.200e-01 1.407e-01 4.245e+00 0.000e+00
1.794e-02 1.904e-01 1.442e-01 3.131e+00 0.000e+00
1.980e-02 1.646e-01 1.473e-01 2.308e+00 0.000e+00
2.000e-02 1.621e-01 1.476e-01 2.237e+00 0.000e+00
2.186e-02 1.418e-01 1.500e-01 1.698e+00 0.000e+00
2.413e-02 1.219e-01 1.523e-01 1.248e+00 0.000e+00
2.664e-02 1.045e-01 1.543e-01 9.152e-01 0.000e+00
2.941e-02 8.939e-02 1.558e-01 6.706e-01 0.000e+00
3.000e-02 8.660e-02 1.561e-01 6.299e-01 0.000e+00
3.247e-02 7.623e-02 1.570e-01 4.907e-01 0.000e+00
3.584e-02 6.485e-02 1.578e-01 3.589e-01 0.000e+00
3.957e-02 5.498e-02 1.582e-01 2.620e-01 0.000e+00
