# SILVER BROMIDE from NIST Database
6.473e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.500e+01 5.325e-03 3.500e+00 0.000e+00 0.000e+00
4.700e+01 5.326e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 6.982e+00 5.063e-03 5.152e+03 0.000e+00
1.020e-03 6.967e+00 5.228e-03 4.922e+03 0.000e+00
1.126e-03 6.893e+00 6.132e-03 3.919e+03 0.000e+00
1.243e-03 6.813e+00 7.177e-03 3.120e+03 0.000e+00
1.372e-03 6.722e+00 8.364e-03 2.485e+03 0.000e+00
1.500e-03 6.627e+00 9.557e-03 2.023e+03 0.000e+00
1.515e-03 6.615e+00 9.697e-03 1.975e+03 0.000e+00
1.550e-03 6.588e+00 1.002e-02 1.869e+03 0.000e+00
1.550e-03 6.588e+00 1.002e-02 3.310e+03 0.000e+00
1.573e-03 6.570e+00 1.024e-02 3.099e+03 0.000e+00
1.596e-03 6.552e+00 1.046e-02 2.904e+03 0.000e+00
1.596e-03 6.552e+00 1.046e-02 3.546e+03 0.000e+00
1.672e-03 6.491e+00 1.117e-02 3.182e+03 0.000e+00
1.782e-03 6.403e+00 1.220e-02 2.743e+03 0.000e+00
1.782e-03 6.403e+00 1.220e-02 2.967e+03 0.000e+00
1.846e-03 6.351e+00 1.280e-02 2.726e+03 0.000e+00
2.000e-03 6.222e+00 1.423e-02 2.248e+03 0.000e+00
2.038e-03 6.190e+00 1.459e-02 2.145e+03 0.000e+00
2.250e-03 6.011e+00 1.654e-02 1.673e+03 0.000e+00
2.483e-03 5.817e+00 1.866e-02 1.307e+03 0.000e+00
2.741e-03 5.606e+00 2.095e-02 1.020e+03 0.000e+00
3.000e-03 5.401e+00 2.319e-02 8.133e+02 0.000e+00
3.026e-03 5.381e+00 2.342e-02 7.953e+02 0.000e+00
3.341e-03 5.140e+00 2.605e-02 6.153e+02 0.000e+00
3.351e-03 5.133e+00 2.613e-02 6.105e+02 0.000e+00
3.351e-03 5.133e+00 2.613e-02 1.119e+03 0.000e+00
3.436e-03 5.069e+00 2.682e-02 1.050e+03 0.000e+00
3.524e-03 5.005e+00 2.753e-02 9.859e+02 0.000e+00
3.524e-03 5.005e+00 2.753e-02 1.228e+03 0.000e+00
3.688e-03 4.887e+00 2.884e-02 1.096e+03 0.000e+00
3.806e-03 4.804e+00 2.977e-02 1.013e+03 0.000e+00
3.806e-03 4.804e+00 2.977e-02 1.120e+03 0.000e+00
4.000e-03 4.672e+00 3.127e-02 9.924e+02 0.000e+00
4.071e-03 4.624e+00 3.181e-02 9.482e+02 0.000e+00
4.494e-03 4.355e+00 3.492e-02 7.342e+02 0.000e+00
4.961e-03 4.081e+00 3.820e-02 5.684e+02 0.000e+00
5.000e-03 4.060e+00 3.846e-02 5.570e+02 0.000e+00
5.477e-03 3.807e+00 4.165e-02 4.384e+02 0.000e+00
6.000e-03 3.555e+00 4.499e-02 3.450e+02 0.000e+00
6.046e-03 3.534e+00 4.527e-02 3.381e+02 0.000e+00
6.675e-03 3.266e+00 4.909e-02 2.594e+02 0.000e+00
7.368e-03 3.004e+00 5.305e-02 1.992e+02 0.000e+00
8.000e-03 2.793e+00 5.647e-02 1.599e+02 0.000e+00
8.134e-03 2.752e+00 5.717e-02 1.528e+02 0.000e+00
8.979e-03 2.509e+00 6.139e-02 1.168e+02 0.000e+00
9.912e-03 2.278e+00 6.569e-02 8.920e+01 0.000e+00
1.000e-02 2.258e+00 6.608e-02 8.708e+01 0.000e+00
1.094e-02 2.058e+00 7.002e-02 6.792e+01 0.000e+00
1.208e-02 1.850e+00 7.438e-02 5.164e+01 0.000e+00
1.334e-02 1.655e+00 7.869e-02 3.924e+01 0.000e+00
1.347e-02 1.636e+00 7.912e-02 3.818e+01 0.000e+00
1.347e-02 1.636e+00 7.912e-02 9.149e+01 0.000e+00
1.472e-02 1.475e+00 8.288e-02 7.255e+01 0.000e+00
1.500e-02 1.442e+00 8.367e-02 6.904e+01 0.000e+00
1.625e-02 1.306e+00 8.700e-02 5.579e+01 0.000e+00
1.794e-02 1.150e+00 9.101e-02 4.278e+01 0.000e+00
1.980e-02 1.008e+00 9.487e-02 3.275e+01 0.000e+00
2.000e-02 9.945e-01 9.525e-02 3.186e+01 0.000e+00
2.186e-02 8.801e-01 9.856e-02 2.497e+01 0.000e+00
2.413e-02 7.661e-01 1.020e-01 1.902e+01 0.000e+00
2.551e-02 7.076e-01 1.039e-01 1.629e+01 0.000e+00
2.551e-02 7.076e-01 1.039e-01 4.264e+01 0.000e+00
2.664e-02 6.652e-01 1.053e-01 3.809e+01 0.000e+00
2.941e-02 5.765e-01 1.082e-01 2.937e+01 0.000e+00
3.000e-02 5.600e-01 1.088e-01 2.786e+01 0.000e+00
3.247e-02 4.984e-01 1.109e-01 2.255e+01 0.000e+00
3.584e-02 4.298e-01 1.133e-01 1.725e+01 0.000e+00
3.957e-02 3.694e-01 1.154e-01 1.315e+01 0.000e+00
4.000e-02 3.633e-01 1.156e-01 1.276e+01 0.000e+00
4.368e-02 3.165e-01 1.171e-01 1.001e+01 0.000e+00
4.822e-02 2.701e-01 1.185e-01 7.600e+00 0.000e+00
5.000e-02 2.547e-01 1.189e-01 6.867e+00 0.000e+00
5.323e-02 2.298e-01 1.195e-01 5.759e+00 0.000e+00
5.876e-02 1.949e-01 1.201e-01 4.354e+00 0.000e+00
6.000e-02 1.881e-01 1.202e-01 4.103e+00 0.000e+00
6.486e-02 1.649e-01 1.204e-01 3.286e+00 0.000e+00
7.161e-02 1.391e-01 1.203e-01 2.474e+00 0.000e+00
7.905e-02 1.173e-01 1.198e-01 1.861e+00 0.000e+00
8.000e-02 1.148e-01 1.198e-01 1.798e+00 0.000e+00
8.726e-02 9.872e-02 1.191e-01 1.398e+00 0.000e+00
9.633e-02 8.301e-02 1.180e-01 1.049e+00 0.000e+00
1.000e-01 7.772e-02 1.175e-01 9.409e-01 0.000e+00
1.063e-01 6.976e-02 1.166e-01 7.874e-01 0.000e+00
1.174e-01 5.847e-02 1.150e-01 5.891e-01 0.000e+00
1.296e-01 4.897e-02 1.131e-01 4.411e-01 0.000e+00
1.431e-01 4.093e-02 1.110e-01 3.301e-01 0.000e+00
1.500e-01 3.757e-02 1.100e-01 2.876e-01 0.000e+00
1.579e-01 3.420e-02 1.088e-01 2.475e-01 0.000e+00
1.743e-01 2.850e-02 1.063e-01 1.854e-01 0.000e+00
1.925e-01 2.369e-02 1.037e-01 1.388e-01 0.000e+00
2.000e-01 2.205e-02 1.027e-01 1.242e-01 0.000e+00
2.125e-01 1.968e-02 1.010e-01 1.042e-01 0.000e+00
2.345e-01 1.633e-02 9.821e-02 7.845e-02 0.000e+00
2.589e-01 1.353e-02 9.531e-02 5.911e-02 0.000e+00
2.858e-01 1.120e-02 9.236e-02 4.468e-02 0.000e+00
3.000e-01 1.021e-02 9.089e-02 3.900e-02 0.000e+00
3.155e-01 9.264e-03 8.936e-02 3.388e-02 0.000e+00
3.483e-01 7.656e-03 8.633e-02 2.579e-02 0.000e+00
3.845e-01 6.323e-03 8.329e-02 1.972e-02 0.000e+00
4.000e-01 5.856e-03 8.207e-02 1.774e-02 0.000e+00
4.245e-01 5.217e-03 8.025e-02 1.515e-02 0.000e+00
4.686e-01 4.303e-03 7.723e-02 1.171e-02 0.000e+00
5.000e-01 3.791e-03 7.527e-02 9.920e-03 0.000e+00
5.173e-01 3.547e-03 7.425e-02 9.105e-03 0.000e+00
