# SILVER CHLORIDE from NIST Database
5.560e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.700e+01 6.978e-03 3.500e+00 0.000e+00 0.000e+00
4.700e+01 6.977e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 6.646e+00 5.865e-03 5.990e+03 0.000e+00
1.020e-03 6.631e+00 6.056e-03 5.720e+03 0.000e+00
1.126e-03 6.558e+00 7.101e-03 4.546e+03 0.000e+00
1.243e-03 6.480e+00 8.311e-03 3.613e+03 0.000e+00
1.372e-03 6.392e+00 9.690e-03 2.873e+03 0.000e+00
1.500e-03 6.301e+00 1.108e-02 2.336e+03 0.000e+00
1.515e-03 6.290e+00 1.125e-02 2.280e+03 0.000e+00
1.672e-03 6.171e+00 1.296e-02 1.793e+03 0.000e+00
1.846e-03 6.033e+00 1.485e-02 1.410e+03 0.000e+00
2.000e-03 5.908e+00 1.652e-02 1.160e+03 0.000e+00
2.038e-03 5.877e+00 1.693e-02 1.106e+03 0.000e+00
2.250e-03 5.703e+00 1.920e-02 8.627e+02 0.000e+00
2.483e-03 5.512e+00 2.165e-02 6.734e+02 0.000e+00
2.741e-03 5.306e+00 2.430e-02 5.253e+02 0.000e+00
2.822e-03 5.242e+00 2.511e-02 4.880e+02 0.000e+00
2.822e-03 5.242e+00 2.511e-02 8.490e+02 0.000e+00
3.000e-03 5.105e+00 2.686e-02 7.457e+02 0.000e+00
3.026e-03 5.085e+00 2.711e-02 7.314e+02 0.000e+00
3.341e-03 4.850e+00 3.010e-02 5.756e+02 0.000e+00
3.351e-03 4.842e+00 3.019e-02 5.712e+02 0.000e+00
3.351e-03 4.842e+00 3.019e-02 1.238e+03 0.000e+00
3.436e-03 4.780e+00 3.098e-02 1.162e+03 0.000e+00
3.524e-03 4.717e+00 3.178e-02 1.090e+03 0.000e+00
3.524e-03 4.717e+00 3.178e-02 1.407e+03 0.000e+00
3.688e-03 4.600e+00 3.325e-02 1.255e+03 0.000e+00
3.806e-03 4.519e+00 3.428e-02 1.160e+03 0.000e+00
3.806e-03 4.519e+00 3.428e-02 1.300e+03 0.000e+00
4.000e-03 4.388e+00 3.596e-02 1.152e+03 0.000e+00
4.071e-03 4.342e+00 3.655e-02 1.101e+03 0.000e+00
4.494e-03 4.077e+00 4.000e-02 8.532e+02 0.000e+00
4.961e-03 3.811e+00 4.357e-02 6.619e+02 0.000e+00
5.000e-03 3.789e+00 4.386e-02 6.487e+02 0.000e+00
5.477e-03 3.545e+00 4.730e-02 5.113e+02 0.000e+00
6.000e-03 3.304e+00 5.087e-02 4.026e+02 0.000e+00
6.046e-03 3.284e+00 5.117e-02 3.945e+02 0.000e+00
6.675e-03 3.030e+00 5.521e-02 3.030e+02 0.000e+00
7.368e-03 2.788e+00 5.937e-02 2.328e+02 0.000e+00
8.000e-03 2.594e+00 6.292e-02 1.868e+02 0.000e+00
