# SILVER IODIDE from NIST Database
6.010e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.700e+01 4.259e-03 3.500e+00 0.000e+00 0.000e+00
5.300e+01 4.260e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 8.149e+00 4.822e-03 8.142e+03 0.000e+00
1.020e-03 8.133e+00 4.980e-03 7.800e+03 0.000e+00
1.072e-03 8.090e+00 5.399e-03 7.002e+03 0.000e+00
1.072e-03 8.090e+00 5.399e-03 7.184e+03 0.000e+00
1.126e-03 8.047e+00 5.841e-03 6.439e+03 0.000e+00
1.243e-03 7.950e+00 6.826e-03 5.163e+03 0.000e+00
1.372e-03 7.840e+00 7.940e-03 4.141e+03 0.000e+00
1.500e-03 7.726e+00 9.060e-03 3.393e+03 0.000e+00
1.515e-03 7.712e+00 9.192e-03 3.314e+03 0.000e+00
1.672e-03 7.566e+00 1.057e-02 2.623e+03 0.000e+00
1.846e-03 7.399e+00 1.210e-02 2.074e+03 0.000e+00
2.000e-03 7.249e+00 1.344e-02 1.716e+03 0.000e+00
2.038e-03 7.212e+00 1.377e-02 1.638e+03 0.000e+00
2.250e-03 7.005e+00 1.560e-02 1.283e+03 0.000e+00
2.483e-03 6.781e+00 1.758e-02 1.006e+03 0.000e+00
2.741e-03 6.538e+00 1.973e-02 7.882e+02 0.000e+00
3.000e-03 6.302e+00 2.182e-02 6.308e+02 0.000e+00
3.026e-03 6.279e+00 2.203e-02 6.171e+02 0.000e+00
3.341e-03 6.004e+00 2.448e-02 4.800e+02 0.000e+00
3.351e-03 5.996e+00 2.455e-02 4.764e+02 0.000e+00
3.351e-03 5.996e+00 2.455e-02 8.832e+02 0.000e+00
3.436e-03 5.923e+00 2.520e-02 8.295e+02 0.000e+00
3.524e-03 5.850e+00 2.586e-02 7.791e+02 0.000e+00
3.524e-03 5.850e+00 2.586e-02 9.725e+02 0.000e+00
3.688e-03 5.715e+00 2.707e-02 8.690e+02 0.000e+00
3.806e-03 5.621e+00 2.793e-02 8.041e+02 0.000e+00
3.806e-03 5.621e+00 2.793e-02 8.895e+02 0.000e+00
4.000e-03 5.470e+00 2.931e-02 7.891e+02 0.000e+00
4.071e-03 5.416e+00 2.981e-02 7.543e+02 0.000e+00
4.494e-03 5.110e+00 3.267e-02 5.855e+02 0.000e+00
4.557e-03 5.066e+00 3.308e-02 5.649e+02 0.000e+00
4.557e-03 5.066e+00 3.308e-02 8.330e+02 0.000e+00
4.702e-03 4.968e+00 3.403e-02 7.745e+02 0.000e+00
4.852e-03 4.869e+00 3.499e-02 7.203e+02 0.000e+00
4.852e-03 4.869e+00 3.499e-02 8.444e+02 0.000e+00
4.961e-03 4.798e+00 3.568e-02 8.041e+02 0.000e+00
5.000e-03 4.773e+00 3.593e-02 7.903e+02 0.000e+00
5.188e-03 4.655e+00 3.710e-02 7.181e+02 0.000e+00
5.188e-03 4.655e+00 3.710e-02 7.815e+02 0.000e+00
5.477e-03 4.481e+00 3.886e-02 6.816e+02 0.000e+00
6.000e-03 4.191e+00 4.192e-02 5.414e+02 0.000e+00
6.046e-03 4.167e+00 4.219e-02 5.306e+02 0.000e+00
6.675e-03 3.855e+00 4.569e-02 4.090e+02 0.000e+00
7.368e-03 3.552e+00 4.935e-02 3.154e+02 0.000e+00
8.000e-03 3.306e+00 5.252e-02 2.540e+02 0.000e+00
8.134e-03 3.258e+00 5.317e-02 2.429e+02 0.000e+00
8.979e-03 2.978e+00 5.712e-02 1.866e+02 0.000e+00
9.912e-03 2.713e+00 6.117e-02 1.433e+02 0.000e+00
1.000e-02 2.690e+00 6.154e-02 1.399e+02 0.000e+00
1.094e-02 2.465e+00 6.526e-02 1.095e+02 0.000e+00
1.208e-02 2.231e+00 6.937e-02 8.358e+01 0.000e+00
1.334e-02 2.011e+00 7.345e-02 6.377e+01 0.000e+00
1.472e-02 1.805e+00 7.743e-02 4.876e+01 0.000e+00
1.500e-02 1.767e+00 7.818e-02 4.632e+01 0.000e+00
1.625e-02 1.611e+00 8.133e-02 3.709e+01 0.000e+00
1.794e-02 1.429e+00 8.510e-02 2.819e+01 0.000e+00
1.980e-02 1.261e+00 8.872e-02 2.144e+01 0.000e+00
2.000e-02 1.244e+00 8.909e-02 2.085e+01 0.000e+00
2.186e-02 1.104e+00 9.222e-02 1.624e+01 0.000e+00
2.413e-02 9.627e-01 9.554e-02 1.230e+01 0.000e+00
2.551e-02 8.894e-01 9.733e-02 1.052e+01 0.000e+00
2.551e-02 8.894e-01 9.733e-02 3.159e+01 0.000e+00
2.664e-02 8.359e-01 9.866e-02 2.823e+01 0.000e+00
2.941e-02 7.243e-01 1.015e-01 2.179e+01 0.000e+00
3.000e-02 7.036e-01 1.021e-01 2.067e+01 0.000e+00
3.247e-02 6.266e-01 1.042e-01 1.674e+01 0.000e+00
3.317e-02 6.072e-01 1.047e-01 1.581e+01 0.000e+00
3.317e-02 6.072e-01 1.047e-01 3.163e+01 0.000e+00
3.584e-02 5.414e-01 1.066e-01 2.580e+01 0.000e+00
3.957e-02 4.666e-01 1.087e-01 1.984e+01 0.000e+00
4.000e-02 4.591e-01 1.089e-01 1.928e+01 0.000e+00
4.368e-02 4.015e-01 1.105e-01 1.523e+01 0.000e+00
4.822e-02 3.443e-01 1.120e-01 1.166e+01 0.000e+00
5.000e-02 3.252e-01 1.125e-01 1.056e+01 0.000e+00
5.323e-02 2.942e-01 1.132e-01 8.897e+00 0.000e+00
5.876e-02 2.504e-01 1.141e-01 6.770e+00 0.000e+00
6.000e-02 2.419e-01 1.142e-01 6.389e+00 0.000e+00
6.486e-02 2.124e-01 1.146e-01 5.143e+00 0.000e+00
7.161e-02 1.795e-01 1.147e-01 3.898e+00 0.000e+00
7.905e-02 1.514e-01 1.145e-01 2.950e+00 0.000e+00
8.000e-02 1.483e-01 1.145e-01 2.852e+00 0.000e+00
8.726e-02 1.275e-01 1.140e-01 2.230e+00 0.000e+00
9.633e-02 1.073e-01 1.132e-01 1.682e+00 0.000e+00
1.000e-01 1.004e-01 1.128e-01 1.512e+00 0.000e+00
1.063e-01 9.020e-02 1.120e-01 1.269e+00 0.000e+00
1.174e-01 7.567e-02 1.106e-01 9.546e-01 0.000e+00
1.296e-01 6.346e-02 1.089e-01 7.184e-01 0.000e+00
1.431e-01 5.313e-02 1.070e-01 5.401e-01 0.000e+00
1.500e-01 4.880e-02 1.061e-01 4.716e-01 0.000e+00
1.579e-01 4.447e-02 1.050e-01 4.068e-01 0.000e+00
1.743e-01 3.713e-02 1.027e-01 3.062e-01 0.000e+00
1.925e-01 3.092e-02 1.003e-01 2.303e-01 0.000e+00
2.000e-01 2.881e-02 9.929e-02 2.064e-01 0.000e+00
2.125e-01 2.573e-02 9.772e-02 1.736e-01 0.000e+00
2.345e-01 2.139e-02 9.509e-02 1.313e-01 0.000e+00
2.589e-01 1.775e-02 9.235e-02 9.930e-02 0.000e+00
2.858e-01 1.471e-02 8.956e-02 7.535e-02 0.000e+00
3.000e-01 1.341e-02 8.816e-02 6.588e-02 0.000e+00
3.155e-01 1.218e-02 8.670e-02 5.735e-02 0.000e+00
3.483e-01 1.008e-02 8.381e-02 4.381e-02 0.000e+00
3.845e-01 8.328e-03 8.091e-02 3.360e-02 0.000e+00
4.000e-01 7.716e-03 7.975e-02 3.026e-02 0.000e+00
4.245e-01 6.877e-03 7.800e-02 2.589e-02 0.000e+00
4.686e-01 5.676e-03 7.512e-02 2.006e-02 0.000e+00
5.000e-01 5.003e-03 7.323e-02 1.703e-02 0.000e+00
5.173e-01 4.682e-03 7.225e-02 1.564e-02 0.000e+00
5.710e-01 3.861e-03 6.942e-02 1.228e-02 0.000e+00
6.000e-01 3.504e-03 6.800e-02 1.089e-02 0.000e+00
6.304e-01 3.181e-03 6.659e-02 9.676e-03 0.000e+00
6.959e-01 2.620e-03 6.380e-02 7.674e-03 0.000e+00
7.682e-01 2.156e-03 6.106e-02 6.146e-03 0.000e+00
8.000e-01 1.990e-03 5.995e-02 5.633e-03 0.000e+00
8.480e-01 1.774e-03 5.837e-02 4.988e-03 0.000e+00
9.361e-01 1.459e-03 5.573e-02 4.063e-03 0.000e+00
1.000e+00 1.280e-03 5.398e-02 3.517e-03 0.000e+00
1.022e+00 1.226e-03 5.341e-02 3.347e-03 0.000e+00
1.033e+00 1.201e-03 5.312e-02 3.268e-03 4.382e-08
1.141e+00 9.859e-04 5.058e-02 2.671e-03 3.635e-05
1.250e+00 8.224e-04 4.833e-02 2.258e-03 1.755e-04
1.259e+00 8.107e-04 4.815e-02 2.228e-03 1.915e-04
1.390e+00 6.657e-04 4.576e-02 1.857e-03 4.897e-04
1.500e+00 5.721e-04 4.396e-02 1.617e-03 8.157e-04
1.535e+00 5.464e-04 4.342e-02 1.551e-03 9.309e-04
1.694e+00 4.490e-04 4.117e-02 1.304e-03 1.509e-03
1.870e+00 3.687e-04 3.899e-02 1.102e-03 2.225e-03
2.000e+00 3.225e-04 3.754e-02 9.847e-04 2.784e-03
2.044e+00 3.088e-04 3.708e-02 9.499e-04 2.976e-03
2.065e+00 3.026e-04 3.687e-02 9.340e-04 3.068e-03
2.279e+00 2.485e-04 3.483e-02 7.963e-04 4.010e-03
2.516e+00 2.040e-04 3.286e-02 6.820e-04 5.051e-03
