# SKIN (ICRP) from NIST Database
1.100e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.979e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 1.900e-02 3.500e+00 0.000e+00 0.000e+00
7.000e+00 3.314e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.869e-02 3.500e+00 0.000e+00 0.000e+00
1.500e+01 1.065e-05 3.500e+00 0.000e+00 0.000e+00
1.600e+01 4.958e-05 3.500e+00 0.000e+00 0.000e+00
1.700e+01 7.532e-05 3.500e+00 0.000e+00 0.000e+00
1.900e+01 2.174e-05 3.500e+00 0.000e+00 0.000e+00
2.000e+01 3.743e-06 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.288e+00 1.378e-02 3.516e+03 0.000e+00
1.020e-03 1.283e+00 1.428e-02 3.334e+03 0.000e+00
1.126e-03 1.261e+00 1.700e-02 2.557e+03 0.000e+00
1.243e-03 1.236e+00 2.020e-02 1.960e+03 0.000e+00
1.372e-03 1.209e+00 2.391e-02 1.499e+03 0.000e+00
1.500e-03 1.181e+00 2.773e-02 1.174e+03 0.000e+00
1.515e-03 1.177e+00 2.818e-02 1.142e+03 0.000e+00
1.672e-03 1.140e+00 3.298e-02 8.678e+02 0.000e+00
1.846e-03 1.098e+00 3.835e-02 6.567e+02 0.000e+00
2.000e-03 1.060e+00 4.311e-02 5.231e+02 0.000e+00
2.038e-03 1.050e+00 4.428e-02 4.958e+02 0.000e+00
2.145e-03 1.024e+00 4.758e-02 4.280e+02 0.000e+00
2.145e-03 1.024e+00 4.758e-02 4.287e+02 0.000e+00
2.250e-03 9.980e-01 5.075e-02 3.740e+02 0.000e+00
2.472e-03 9.446e-01 5.737e-02 2.851e+02 0.000e+00
2.472e-03 9.446e-01 5.737e-02 2.881e+02 0.000e+00
2.483e-03 9.420e-01 5.769e-02 2.844e+02 0.000e+00
2.741e-03 8.824e-01 6.509e-02 2.136e+02 0.000e+00
2.822e-03 8.642e-01 6.734e-02 1.961e+02 0.000e+00
2.822e-03 8.642e-01 6.734e-02 2.000e+02 0.000e+00
3.000e-03 8.256e-01 7.213e-02 1.676e+02 0.000e+00
3.026e-03 8.201e-01 7.281e-02 1.634e+02 0.000e+00
3.341e-03 7.560e-01 8.076e-02 1.223e+02 0.000e+00
3.607e-03 7.059e-01 8.699e-02 9.744e+01 0.000e+00
3.607e-03 7.059e-01 8.699e-02 9.835e+01 0.000e+00
3.688e-03 6.915e-01 8.879e-02 9.211e+01 0.000e+00
4.000e-03 6.391e-01 9.538e-02 7.233e+01 0.000e+00
4.038e-03 6.330e-01 9.614e-02 7.031e+01 0.000e+00
4.038e-03 6.330e-01 9.614e-02 7.045e+01 0.000e+00
4.071e-03 6.278e-01 9.680e-02 6.877e+01 0.000e+00
4.494e-03 5.660e-01 1.047e-01 5.117e+01 0.000e+00
4.961e-03 5.073e-01 1.123e-01 3.802e+01 0.000e+00
5.000e-03 5.028e-01 1.128e-01 3.713e+01 0.000e+00
5.477e-03 4.524e-01 1.195e-01 2.818e+01 0.000e+00
6.000e-03 4.055e-01 1.258e-01 2.135e+01 0.000e+00
6.046e-03 4.018e-01 1.263e-01 2.086e+01 0.000e+00
6.675e-03 3.556e-01 1.327e-01 1.541e+01 0.000e+00
7.368e-03 3.139e-01 1.385e-01 1.138e+01 0.000e+00
8.000e-03 2.826e-01 1.430e-01 8.823e+00 0.000e+00
8.134e-03 2.767e-01 1.439e-01 8.381e+00 0.000e+00
8.979e-03 2.436e-01 1.489e-01 6.167e+00 0.000e+00
9.912e-03 2.143e-01 1.534e-01 4.531e+00 0.000e+00
1.000e-02 2.119e-01 1.538e-01 4.407e+00 0.000e+00
1.094e-02 1.885e-01 1.575e-01 3.326e+00 0.000e+00
1.208e-02 1.654e-01 1.614e-01 2.434e+00 0.000e+00
1.334e-02 1.450e-01 1.649e-01 1.779e+00 0.000e+00
1.472e-02 1.269e-01 1.681e-01 1.302e+00 0.000e+00
1.500e-02 1.236e-01 1.687e-01 1.226e+00 0.000e+00
1.625e-02 1.107e-01 1.711e-01 9.499e-01 0.000e+00
1.794e-02 9.620e-02 1.737e-01 6.923e-01 0.000e+00
1.980e-02 8.332e-02 1.760e-01 5.045e-01 0.000e+00
2.000e-02 8.208e-02 1.763e-01 4.885e-01 0.000e+00
2.186e-02 7.180e-02 1.780e-01 3.668e-01 0.000e+00
2.413e-02 6.161e-02 1.796e-01 2.666e-01 0.000e+00
2.664e-02 5.263e-02 1.808e-01 1.935e-01 0.000e+00
2.941e-02 4.478e-02 1.815e-01 1.403e-01 0.000e+00
3.000e-02 4.333e-02 1.816e-01 1.315e-01 0.000e+00
3.247e-02 3.795e-02 1.819e-01 1.017e-01 0.000e+00
