# SODIUM CARBONATE from NIST Database
2.532e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 9.436e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.830e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 1.887e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.635e+00 1.080e-02 2.611e+03 0.000e+00
1.020e-03 1.630e+00 1.113e-02 2.477e+03 0.000e+00
1.072e-03 1.616e+00 1.200e-02 2.168e+03 0.000e+00
1.072e-03 1.616e+00 1.200e-02 4.724e+03 0.000e+00
1.126e-03 1.603e+00 1.292e-02 4.231e+03 0.000e+00
1.243e-03 1.574e+00 1.494e-02 3.384e+03 0.000e+00
1.372e-03 1.541e+00 1.721e-02 2.690e+03 0.000e+00
1.500e-03 1.509e+00 1.950e-02 2.165e+03 0.000e+00
1.515e-03 1.505e+00 1.977e-02 2.112e+03 0.000e+00
1.672e-03 1.464e+00 2.262e-02 1.637e+03 0.000e+00
1.846e-03 1.419e+00 2.583e-02 1.254e+03 0.000e+00
2.000e-03 1.378e+00 2.871e-02 1.007e+03 0.000e+00
2.038e-03 1.369e+00 2.942e-02 9.566e+02 0.000e+00
2.250e-03 1.314e+00 3.342e-02 7.288e+02 0.000e+00
2.483e-03 1.256e+00 3.782e-02 5.551e+02 0.000e+00
2.741e-03 1.193e+00 4.265e-02 4.217e+02 0.000e+00
3.000e-03 1.132e+00 4.743e-02 3.273e+02 0.000e+00
3.026e-03 1.126e+00 4.791e-02 3.194e+02 0.000e+00
3.341e-03 1.055e+00 5.355e-02 2.411e+02 0.000e+00
3.688e-03 9.824e-01 5.952e-02 1.816e+02 0.000e+00
4.000e-03 9.210e-01 6.464e-02 1.436e+02 0.000e+00
4.071e-03 9.076e-01 6.577e-02 1.364e+02 0.000e+00
4.494e-03 8.320e-01 7.222e-02 1.023e+02 0.000e+00
4.961e-03 7.571e-01 7.879e-02 7.655e+01 0.000e+00
5.000e-03 7.512e-01 7.931e-02 7.481e+01 0.000e+00
5.477e-03 6.839e-01 8.539e-02 5.715e+01 0.000e+00
6.000e-03 6.189e-01 9.142e-02 4.357e+01 0.000e+00
