# SODIUM IODIDE from NIST Database
3.667e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.100e+01 6.671e-03 3.500e+00 0.000e+00 0.000e+00
5.300e+01 6.672e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.422e+00 5.916e-03 7.794e+03 0.000e+00
1.020e-03 7.406e+00 6.100e-03 7.477e+03 0.000e+00
1.072e-03 7.366e+00 6.586e-03 6.736e+03 0.000e+00
1.072e-03 7.366e+00 6.586e-03 7.021e+03 0.000e+00
1.072e-03 7.366e+00 6.586e-03 7.925e+03 0.000e+00
1.072e-03 7.366e+00 6.587e-03 7.021e+03 0.000e+00
1.072e-03 7.366e+00 6.587e-03 7.924e+03 0.000e+00
1.126e-03 7.324e+00 7.093e-03 7.124e+03 0.000e+00
1.243e-03 7.230e+00 8.201e-03 5.746e+03 0.000e+00
1.372e-03 7.121e+00 9.430e-03 4.629e+03 0.000e+00
1.500e-03 7.010e+00 1.065e-02 3.801e+03 0.000e+00
1.515e-03 6.996e+00 1.080e-02 3.713e+03 0.000e+00
1.672e-03 6.855e+00 1.229e-02 2.940e+03 0.000e+00
1.846e-03 6.696e+00 1.395e-02 2.322e+03 0.000e+00
2.000e-03 6.555e+00 1.541e-02 1.917e+03 0.000e+00
2.038e-03 6.521e+00 1.577e-02 1.830e+03 0.000e+00
2.250e-03 6.329e+00 1.776e-02 1.431e+03 0.000e+00
2.483e-03 6.123e+00 1.993e-02 1.121e+03 0.000e+00
2.741e-03 5.901e+00 2.228e-02 8.766e+02 0.000e+00
3.000e-03 5.687e+00 2.459e-02 7.003e+02 0.000e+00
3.026e-03 5.666e+00 2.482e-02 6.850e+02 0.000e+00
3.341e-03 5.419e+00 2.755e-02 5.316e+02 0.000e+00
3.688e-03 5.163e+00 3.044e-02 4.127e+02 0.000e+00
4.000e-03 4.947e+00 3.292e-02 3.351e+02 0.000e+00
4.071e-03 4.899e+00 3.348e-02 3.201e+02 0.000e+00
4.494e-03 4.630e+00 3.665e-02 2.475e+02 0.000e+00
4.557e-03 4.592e+00 3.712e-02 2.387e+02 0.000e+00
4.557e-03 4.592e+00 3.712e-02 6.585e+02 0.000e+00
4.702e-03 4.506e+00 3.816e-02 6.166e+02 0.000e+00
4.852e-03 4.419e+00 3.923e-02 5.774e+02 0.000e+00
4.852e-03 4.419e+00 3.923e-02 7.719e+02 0.000e+00
4.961e-03 4.357e+00 3.999e-02 7.389e+02 0.000e+00
5.000e-03 4.335e+00 4.026e-02 7.277e+02 0.000e+00
5.188e-03 4.229e+00 4.155e-02 6.611e+02 0.000e+00
5.188e-03 4.229e+00 4.155e-02 7.604e+02 0.000e+00
5.477e-03 4.075e+00 4.348e-02 6.645e+02 0.000e+00
6.000e-03 3.816e+00 4.679e-02 5.297e+02 0.000e+00
6.046e-03 3.794e+00 4.708e-02 5.192e+02 0.000e+00
6.675e-03 3.512e+00 5.081e-02 4.004e+02 0.000e+00
7.368e-03 3.235e+00 5.468e-02 3.089e+02 0.000e+00
8.000e-03 3.009e+00 5.799e-02 2.489e+02 0.000e+00
8.134e-03 2.964e+00 5.867e-02 2.381e+02 0.000e+00
8.979e-03 2.704e+00 6.277e-02 1.831e+02 0.000e+00
9.912e-03 2.458e+00 6.693e-02 1.408e+02 0.000e+00
1.000e-02 2.437e+00 6.731e-02 1.375e+02 0.000e+00
1.094e-02 2.229e+00 7.111e-02 1.077e+02 0.000e+00
1.208e-02 2.015e+00 7.528e-02 8.230e+01 0.000e+00
1.334e-02 1.816e+00 7.939e-02 6.285e+01 0.000e+00
1.472e-02 1.632e+00 8.336e-02 4.810e+01 0.000e+00
1.500e-02 1.598e+00 8.410e-02 4.570e+01 0.000e+00
1.625e-02 1.460e+00 8.718e-02 3.662e+01 0.000e+00
