# SODIUM MONOXIDE from NIST Database
2.270e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 1.613e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 3.227e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.811e+00 1.162e-02 1.668e+03 0.000e+00
1.020e-03 1.806e+00 1.194e-02 1.583e+03 0.000e+00
1.072e-03 1.791e+00 1.277e-02 1.386e+03 0.000e+00
1.072e-03 1.791e+00 1.277e-02 5.757e+03 0.000e+00
1.126e-03 1.777e+00 1.362e-02 5.201e+03 0.000e+00
1.243e-03 1.745e+00 1.544e-02 4.226e+03 0.000e+00
1.372e-03 1.710e+00 1.742e-02 3.406e+03 0.000e+00
1.500e-03 1.676e+00 1.936e-02 2.768e+03 0.000e+00
1.515e-03 1.672e+00 1.958e-02 2.702e+03 0.000e+00
1.672e-03 1.630e+00 2.195e-02 2.108e+03 0.000e+00
1.846e-03 1.584e+00 2.458e-02 1.622e+03 0.000e+00
2.000e-03 1.544e+00 2.691e-02 1.306e+03 0.000e+00
2.038e-03 1.534e+00 2.750e-02 1.241e+03 0.000e+00
2.250e-03 1.480e+00 3.076e-02 9.488e+02 0.000e+00
2.483e-03 1.423e+00 3.438e-02 7.255e+02 0.000e+00
2.741e-03 1.360e+00 3.839e-02 5.532e+02 0.000e+00
3.000e-03 1.299e+00 4.242e-02 4.308e+02 0.000e+00
3.026e-03 1.293e+00 4.283e-02 4.206e+02 0.000e+00
3.341e-03 1.222e+00 4.768e-02 3.185e+02 0.000e+00
3.688e-03 1.146e+00 5.293e-02 2.406e+02 0.000e+00
4.000e-03 1.081e+00 5.752e-02 1.907e+02 0.000e+00
4.071e-03 1.067e+00 5.855e-02 1.813e+02 0.000e+00
4.494e-03 9.853e-01 6.449e-02 1.363e+02 0.000e+00
4.961e-03 9.024e-01 7.071e-02 1.023e+02 0.000e+00
5.000e-03 8.959e-01 7.121e-02 9.994e+01 0.000e+00
5.477e-03 8.197e-01 7.713e-02 7.652e+01 0.000e+00
6.000e-03 7.448e-01 8.314e-02 5.847e+01 0.000e+00
6.046e-03 7.386e-01 8.365e-02 5.717e+01 0.000e+00
6.675e-03 6.604e-01 9.020e-02 4.261e+01 0.000e+00
7.368e-03 5.865e-01 9.665e-02 3.172e+01 0.000e+00
8.000e-03 5.289e-01 1.019e-01 2.476e+01 0.000e+00
8.134e-03 5.178e-01 1.029e-01 2.355e+01 0.000e+00
8.979e-03 4.549e-01 1.089e-01 1.746e+01 0.000e+00
