# SODIUM NITRATE from NIST Database
2.261e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
7.000e+00 1.177e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 3.529e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 1.177e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.580e+00 1.006e-02 3.313e+03 0.000e+00
1.020e-03 1.575e+00 1.039e-02 3.143e+03 0.000e+00
1.072e-03 1.562e+00 1.126e-02 2.751e+03 0.000e+00
1.072e-03 1.562e+00 1.126e-02 4.345e+03 0.000e+00
1.126e-03 1.549e+00 1.219e-02 3.866e+03 0.000e+00
1.243e-03 1.522e+00 1.426e-02 3.052e+03 0.000e+00
1.372e-03 1.491e+00 1.663e-02 2.399e+03 0.000e+00
1.500e-03 1.460e+00 1.906e-02 1.916e+03 0.000e+00
1.515e-03 1.456e+00 1.935e-02 1.867e+03 0.000e+00
1.672e-03 1.416e+00 2.241e-02 1.439e+03 0.000e+00
1.846e-03 1.370e+00 2.587e-02 1.099e+03 0.000e+00
2.000e-03 1.330e+00 2.899e-02 8.811e+02 0.000e+00
2.038e-03 1.320e+00 2.976e-02 8.363e+02 0.000e+00
2.250e-03 1.264e+00 3.411e-02 6.352e+02 0.000e+00
2.483e-03 1.204e+00 3.888e-02 4.823e+02 0.000e+00
2.741e-03 1.140e+00 4.412e-02 3.652e+02 0.000e+00
3.000e-03 1.077e+00 4.928e-02 2.826e+02 0.000e+00
3.026e-03 1.071e+00 4.979e-02 2.757e+02 0.000e+00
3.341e-03 9.992e-01 5.584e-02 2.075e+02 0.000e+00
3.688e-03 9.252e-01 6.219e-02 1.559e+02 0.000e+00
4.000e-03 8.636e-01 6.760e-02 1.230e+02 0.000e+00
4.071e-03 8.502e-01 6.879e-02 1.168e+02 0.000e+00
4.494e-03 7.752e-01 7.554e-02 8.739e+01 0.000e+00
4.961e-03 7.018e-01 8.234e-02 6.524e+01 0.000e+00
5.000e-03 6.961e-01 8.288e-02 6.374e+01 0.000e+00
5.477e-03 6.311e-01 8.909e-02 4.859e+01 0.000e+00
6.000e-03 5.691e-01 9.519e-02 3.697e+01 0.000e+00
6.046e-03 5.641e-01 9.569e-02 3.613e+01 0.000e+00
6.675e-03 5.013e-01 1.021e-01 2.681e+01 0.000e+00
7.368e-03 4.435e-01 1.082e-01 1.987e+01 0.000e+00
8.000e-03 3.993e-01 1.130e-01 1.547e+01 0.000e+00
8.134e-03 3.908e-01 1.139e-01 1.470e+01 0.000e+00
8.979e-03 3.434e-01 1.193e-01 1.086e+01 0.000e+00
9.912e-03 3.011e-01 1.244e-01 8.007e+00 0.000e+00
1.000e-02 2.975e-01 1.248e-01 7.791e+00 0.000e+00
1.094e-02 2.636e-01 1.290e-01 5.898e+00 0.000e+00
1.208e-02 2.304e-01 1.334e-01 4.332e+00 0.000e+00
1.334e-02 2.009e-01 1.374e-01 3.177e+00 0.000e+00
1.472e-02 1.752e-01 1.411e-01 2.332e+00 0.000e+00
1.500e-02 1.706e-01 1.417e-01 2.198e+00 0.000e+00
1.625e-02 1.523e-01 1.445e-01 1.707e+00 0.000e+00
1.794e-02 1.322e-01 1.476e-01 1.248e+00 0.000e+00
1.980e-02 1.144e-01 1.503e-01 9.124e-01 0.000e+00
2.000e-02 1.127e-01 1.506e-01 8.837e-01 0.000e+00
2.186e-02 9.862e-02 1.528e-01 6.654e-01 0.000e+00
2.413e-02 8.473e-02 1.549e-01 4.849e-01 0.000e+00
2.664e-02 7.252e-02 1.566e-01 3.529e-01 0.000e+00
2.941e-02 6.183e-02 1.580e-01 2.565e-01 0.000e+00
3.000e-02 5.986e-02 1.582e-01 2.406e-01 0.000e+00
3.247e-02 5.251e-02 1.589e-01 1.863e-01 0.000e+00
3.584e-02 4.446e-02 1.594e-01 1.353e-01 0.000e+00
3.957e-02 3.751e-02 1.596e-01 9.807e-02 0.000e+00
4.000e-02 3.682e-02 1.595e-01 9.469e-02 0.000e+00
4.368e-02 3.158e-02 1.593e-01 7.109e-02 0.000e+00
4.822e-02 2.651e-02 1.586e-01 5.149e-02 0.000e+00
5.000e-02 2.485e-02 1.583e-01 4.574e-02 0.000e+00
5.323e-02 2.221e-02 1.576e-01 3.728e-02 0.000e+00
5.876e-02 1.858e-02 1.562e-01 2.698e-02 0.000e+00
6.000e-02 1.788e-02 1.559e-01 2.520e-02 0.000e+00
6.486e-02 1.551e-02 1.546e-01 1.952e-02 0.000e+00
7.161e-02 1.292e-02 1.526e-01 1.411e-02 0.000e+00
7.905e-02 1.075e-02 1.504e-01 1.020e-02 0.000e+00
8.000e-02 1.051e-02 1.501e-01 9.812e-03 0.000e+00
8.726e-02 8.927e-03 1.479e-01 7.380e-03 0.000e+00
9.633e-02 7.405e-03 1.452e-01 5.337e-03 0.000e+00
1.000e-01 6.897e-03 1.441e-01 4.722e-03 0.000e+00
1.063e-01 6.138e-03 1.423e-01 3.866e-03 0.000e+00
1.174e-01 5.074e-03 1.391e-01 2.794e-03 0.000e+00
1.296e-01 4.193e-03 1.359e-01 2.024e-03 0.000e+00
1.431e-01 3.460e-03 1.325e-01 1.467e-03 0.000e+00
1.500e-01 3.157e-03 1.308e-01 1.259e-03 0.000e+00
1.579e-01 2.856e-03 1.290e-01 1.067e-03 0.000e+00
1.743e-01 2.354e-03 1.254e-01 7.761e-04 0.000e+00
1.925e-01 1.937e-03 1.217e-01 5.649e-04 0.000e+00
2.000e-01 1.797e-03 1.203e-01 5.003e-04 0.000e+00
2.125e-01 1.594e-03 1.180e-01 4.129e-04 0.000e+00
2.345e-01 1.313e-03 1.143e-01 3.029e-04 0.000e+00
2.589e-01 1.079e-03 1.105e-01 2.227e-04 0.000e+00
2.858e-01 8.873e-04 1.067e-01 1.645e-04 0.000e+00
3.000e-01 8.060e-04 1.049e-01 1.420e-04 0.000e+00
3.155e-01 7.292e-04 1.030e-01 1.221e-04 0.000e+00
3.483e-01 5.991e-04 9.926e-02 9.106e-05 0.000e+00
3.845e-01 4.921e-04 9.556e-02 6.832e-05 0.000e+00
4.000e-01 4.548e-04 9.410e-02 6.101e-05 0.000e+00
4.245e-01 4.040e-04 9.191e-02 5.156e-05 0.000e+00
4.686e-01 3.318e-04 8.832e-02 3.923e-05 0.000e+00
5.000e-01 2.915e-04 8.599e-02 3.295e-05 0.000e+00
5.173e-01 2.724e-04 8.477e-02 3.012e-05 0.000e+00
5.710e-01 2.237e-04 8.129e-02 2.332e-05 0.000e+00
6.000e-01 2.026e-04 7.956e-02 2.054e-05 0.000e+00
6.304e-01 1.836e-04 7.786e-02 1.809e-05 0.000e+00
6.959e-01 1.507e-04 7.451e-02 1.412e-05 0.000e+00
7.682e-01 1.237e-04 7.124e-02 1.127e-05 0.000e+00
8.000e-01 1.141e-04 6.992e-02 1.037e-05 0.000e+00
8.480e-01 1.015e-04 6.805e-02 9.304e-06 0.000e+00
9.361e-01 8.333e-05 6.493e-02 7.653e-06 0.000e+00
1.000e+00 7.304e-05 6.289e-02 6.449e-06 0.000e+00
1.022e+00 6.993e-05 6.222e-02 6.038e-06 0.000e+00
1.033e+00 6.846e-05 6.190e-02 5.856e-06 4.067e-09
1.141e+00 5.613e-05 5.891e-02 4.729e-06 3.846e-06
1.250e+00 4.677e-05 5.624e-02 4.097e-06 2.074e-05
1.259e+00 4.610e-05 5.603e-02 4.050e-06 2.282e-05
1.390e+00 3.782e-05 5.321e-02 3.410e-06 6.450e-05
1.500e+00 3.248e-05 5.111e-02 2.971e-06 1.144e-04
1.535e+00 3.101e-05 5.048e-02 2.853e-06 1.328e-04
1.694e+00 2.547e-05 4.788e-02 2.418e-06 2.289e-04
1.870e+00 2.091e-05 4.534e-02 2.068e-06 3.539e-04
2.000e+00 1.827e-05 4.362e-02 1.864e-06 4.550e-04
2.044e+00 1.749e-05 4.307e-02 1.803e-06 4.904e-04
2.065e+00 1.713e-05 4.281e-02 1.775e-06 5.074e-04
2.279e+00 1.406e-05 4.041e-02 1.531e-06 6.859e-04
2.516e+00 1.154e-05 3.813e-02 1.326e-06 8.897e-04
2.778e+00 9.467e-06 3.596e-02 1.154e-06 1.118e-03
3.000e+00 8.120e-06 3.432e-02 1.038e-06 1.312e-03
3.066e+00 7.774e-06 3.387e-02 1.008e-06 1.369e-03
3.385e+00 6.379e-06 3.185e-02 8.827e-07 1.644e-03
3.737e+00 5.234e-06 2.991e-02 7.756e-07 1.941e-03
4.000e+00 4.568e-06 2.863e-02 7.108e-07 2.156e-03
4.125e+00 4.295e-06 2.806e-02 6.836e-07 2.256e-03
4.554e+00 3.524e-06 2.630e-02 6.038e-07 2.590e-03
5.000e+00 2.924e-06 2.472e-02 5.382e-07 2.924e-03
5.027e+00 2.892e-06 2.463e-02 5.347e-07 2.943e-03
5.549e+00 2.374e-06 2.305e-02 4.745e-07 3.315e-03
6.000e+00 2.030e-06 2.185e-02 4.323e-07 3.621e-03
6.126e+00 1.948e-06 2.154e-02 4.218e-07 3.704e-03
6.762e+00 1.598e-06 2.012e-02 3.756e-07 4.105e-03
7.000e+00 1.492e-06 1.964e-02 3.608e-07 4.247e-03
7.465e+00 1.312e-06 1.877e-02 3.350e-07 4.518e-03
8.000e+00 1.142e-06 1.787e-02 3.095e-07 4.816e-03
8.241e+00 1.076e-06 1.750e-02 2.992e-07 4.946e-03
9.000e+00 9.024e-07 1.643e-02 2.708e-07 5.336e-03
9.097e+00 8.832e-07 1.630e-02 2.676e-07 5.383e-03
1.000e+01 7.309e-07 1.522e-02 2.407e-07 5.807e-03
1.004e+01 7.251e-07 1.518e-02 2.396e-07 5.825e-03
1.100e+01 6.040e-07 1.420e-02 2.166e-07 6.240e-03
1.109e+01 5.942e-07 1.411e-02 2.146e-07 6.277e-03
1.200e+01 5.075e-07 1.332e-02 1.968e-07 6.637e-03
1.224e+01 4.878e-07 1.312e-02 1.926e-07 6.728e-03
1.300e+01 4.325e-07 1.254e-02 1.804e-07 7.008e-03
1.351e+01 4.004e-07 1.219e-02 1.730e-07 7.187e-03
1.400e+01 3.729e-07 1.187e-02 1.664e-07 7.353e-03
1.491e+01 3.287e-07 1.132e-02 1.555e-07 7.648e-03
1.500e+01 3.248e-07 1.127e-02 1.545e-07 7.677e-03
1.600e+01 2.855e-07 1.073e-02 1.441e-07 7.981e-03
1.646e+01 2.698e-07 1.050e-02 1.398e-07 8.115e-03
1.800e+01 2.256e-07 9.806e-03 1.270e-07 8.540e-03
1.818e+01 2.211e-07 9.731e-03 1.257e-07 8.587e-03
2.000e+01 1.827e-07 9.043e-03 1.136e-07 9.041e-03
