# TESTES (ICRP) from NIST Database
1.040e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.033e-01 3.500e+00 0.000e+00 0.000e+00
6.000e+00 7.683e-03 3.500e+00 0.000e+00 0.000e+00
7.000e+00 1.424e-03 3.500e+00 0.000e+00 0.000e+00
8.000e+00 4.837e-02 3.500e+00 0.000e+00 0.000e+00
1.100e+01 9.830e-05 3.500e+00 0.000e+00 0.000e+00
1.200e+01 4.525e-06 3.500e+00 0.000e+00 0.000e+00
1.500e+01 4.036e-05 3.500e+00 0.000e+00 0.000e+00
1.600e+01 4.553e-05 3.500e+00 0.000e+00 0.000e+00
1.700e+01 6.883e-05 3.500e+00 0.000e+00 0.000e+00
1.900e+01 5.320e-05 3.500e+00 0.000e+00 0.000e+00
2.000e+01 2.495e-06 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.350e+00 1.332e-02 3.845e+03 0.000e+00
1.020e-03 1.346e+00 1.380e-02 3.647e+03 0.000e+00
1.072e-03 1.335e+00 1.508e-02 3.194e+03 0.000e+00
1.072e-03 1.335e+00 1.508e-02 3.208e+03 0.000e+00
1.126e-03 1.324e+00 1.644e-02 2.815e+03 0.000e+00
1.243e-03 1.300e+00 1.956e-02 2.161e+03 0.000e+00
1.305e-03 1.287e+00 2.127e-02 1.896e+03 0.000e+00
1.305e-03 1.287e+00 2.127e-02 1.896e+03 0.000e+00
1.372e-03 1.273e+00 2.317e-02 1.656e+03 0.000e+00
1.500e-03 1.245e+00 2.690e-02 1.299e+03 0.000e+00
1.515e-03 1.241e+00 2.734e-02 1.264e+03 0.000e+00
1.672e-03 1.205e+00 3.203e-02 9.622e+02 0.000e+00
1.846e-03 1.162e+00 3.730e-02 7.291e+02 0.000e+00
2.000e-03 1.123e+00 4.197e-02 5.814e+02 0.000e+00
2.038e-03 1.114e+00 4.313e-02 5.511e+02 0.000e+00
2.145e-03 1.087e+00 4.637e-02 4.761e+02 0.000e+00
2.145e-03 1.087e+00 4.637e-02 4.789e+02 0.000e+00
2.250e-03 1.061e+00 4.951e-02 4.181e+02 0.000e+00
2.472e-03 1.007e+00 5.605e-02 3.192e+02 0.000e+00
2.472e-03 1.007e+00 5.605e-02 3.219e+02 0.000e+00
2.483e-03 1.004e+00 5.636e-02 3.178e+02 0.000e+00
2.741e-03 9.427e-01 6.369e-02 2.389e+02 0.000e+00
2.822e-03 9.239e-01 6.593e-02 2.195e+02 0.000e+00
2.822e-03 9.239e-01 6.593e-02 2.231e+02 0.000e+00
3.000e-03 8.838e-01 7.069e-02 1.870e+02 0.000e+00
3.026e-03 8.781e-01 7.137e-02 1.824e+02 0.000e+00
3.341e-03 8.111e-01 7.930e-02 1.365e+02 0.000e+00
3.607e-03 7.585e-01 8.554e-02 1.089e+02 0.000e+00
3.607e-03 7.585e-01 8.554e-02 1.111e+02 0.000e+00
3.688e-03 7.433e-01 8.735e-02 1.041e+02 0.000e+00
4.000e-03 6.878e-01 9.397e-02 8.185e+01 0.000e+00
4.038e-03 6.813e-01 9.475e-02 7.958e+01 0.000e+00
4.038e-03 6.813e-01 9.475e-02 7.967e+01 0.000e+00
4.071e-03 6.758e-01 9.540e-02 7.777e+01 0.000e+00
4.494e-03 6.099e-01 1.034e-01 5.795e+01 0.000e+00
4.961e-03 5.470e-01 1.111e-01 4.310e+01 0.000e+00
5.000e-03 5.421e-01 1.117e-01 4.210e+01 0.000e+00
5.477e-03 4.878e-01 1.185e-01 3.199e+01 0.000e+00
6.000e-03 4.371e-01 1.250e-01 2.426e+01 0.000e+00
6.046e-03 4.330e-01 1.255e-01 2.371e+01 0.000e+00
6.675e-03 3.829e-01 1.320e-01 1.753e+01 0.000e+00
7.368e-03 3.377e-01 1.380e-01 1.296e+01 0.000e+00
8.000e-03 3.036e-01 1.427e-01 1.006e+01 0.000e+00
8.134e-03 2.971e-01 1.436e-01 9.558e+00 0.000e+00
8.979e-03 2.611e-01 1.486e-01 7.041e+00 0.000e+00
9.912e-03 2.293e-01 1.532e-01 5.179e+00 0.000e+00
1.000e-02 2.266e-01 1.536e-01 5.038e+00 0.000e+00
1.094e-02 2.013e-01 1.574e-01 3.805e+00 0.000e+00
1.208e-02 1.764e-01 1.613e-01 2.788e+00 0.000e+00
1.334e-02 1.544e-01 1.648e-01 2.039e+00 0.000e+00
1.472e-02 1.350e-01 1.680e-01 1.494e+00 0.000e+00
1.500e-02 1.316e-01 1.686e-01 1.407e+00 0.000e+00
1.625e-02 1.178e-01 1.709e-01 1.091e+00 0.000e+00
1.794e-02 1.024e-01 1.736e-01 7.959e-01 0.000e+00
1.980e-02 8.870e-02 1.759e-01 5.805e-01 0.000e+00
2.000e-02 8.740e-02 1.761e-01 5.621e-01 0.000e+00
2.186e-02 7.649e-02 1.779e-01 4.225e-01 0.000e+00
2.413e-02 6.568e-02 1.795e-01 3.073e-01 0.000e+00
2.664e-02 5.615e-02 1.807e-01 2.232e-01 0.000e+00
2.941e-02 4.780e-02 1.815e-01 1.620e-01 0.000e+00
3.000e-02 4.626e-02 1.816e-01 1.519e-01 0.000e+00
3.247e-02 4.054e-02 1.819e-01 1.174e-01 0.000e+00
3.584e-02 3.427e-02 1.820e-01 8.515e-02 0.000e+00
3.957e-02 2.888e-02 1.816e-01 6.164e-02 0.000e+00
4.000e-02 2.834e-02 1.815e-01 5.950e-02 0.000e+00
4.368e-02 2.428e-02 1.808e-01 4.463e-02 0.000e+00
4.822e-02 2.037e-02 1.796e-01 3.228e-02 0.000e+00
5.000e-02 1.909e-02 1.791e-01 2.866e-02 0.000e+00
5.323e-02 1.706e-02 1.781e-01 2.334e-02 0.000e+00
5.876e-02 1.426e-02 1.762e-01 1.687e-02 0.000e+00
6.000e-02 1.373e-02 1.758e-01 1.575e-02 0.000e+00
6.486e-02 1.190e-02 1.741e-01 1.220e-02 0.000e+00
7.161e-02 9.906e-03 1.716e-01 8.807e-03 0.000e+00
7.905e-02 8.236e-03 1.689e-01 6.364e-03 0.000e+00
8.000e-02 8.053e-03 1.685e-01 6.119e-03 0.000e+00
8.726e-02 6.837e-03 1.659e-01 4.599e-03 0.000e+00
9.633e-02 5.666e-03 1.627e-01 3.324e-03 0.000e+00
1.000e-01 5.276e-03 1.615e-01 2.940e-03 0.000e+00
1.063e-01 4.694e-03 1.593e-01 2.406e-03 0.000e+00
1.174e-01 3.877e-03 1.558e-01 1.738e-03 0.000e+00
1.296e-01 3.202e-03 1.520e-01 1.258e-03 0.000e+00
1.431e-01 2.641e-03 1.482e-01 9.113e-04 0.000e+00
1.500e-01 2.409e-03 1.463e-01 7.821e-04 0.000e+00
1.579e-01 2.179e-03 1.442e-01 6.623e-04 0.000e+00
1.743e-01 1.795e-03 1.401e-01 4.815e-04 0.000e+00
1.925e-01 1.476e-03 1.360e-01 3.503e-04 0.000e+00
2.000e-01 1.369e-03 1.344e-01 3.101e-04 0.000e+00
2.125e-01 1.215e-03 1.318e-01 2.559e-04 0.000e+00
2.345e-01 9.996e-04 1.276e-01 1.877e-04 0.000e+00
2.589e-01 8.216e-04 1.234e-01 1.380e-04 0.000e+00
2.858e-01 6.753e-04 1.192e-01 1.019e-04 0.000e+00
3.000e-01 6.133e-04 1.171e-01 8.799e-05 0.000e+00
3.155e-01 5.548e-04 1.149e-01 7.562e-05 0.000e+00
3.483e-01 4.557e-04 1.108e-01 5.639e-05 0.000e+00
3.845e-01 3.743e-04 1.066e-01 4.229e-05 0.000e+00
4.000e-01 3.460e-04 1.050e-01 3.776e-05 0.000e+00
4.245e-01 3.073e-04 1.026e-01 3.190e-05 0.000e+00
4.686e-01 2.523e-04 9.854e-02 2.426e-05 0.000e+00
5.000e-01 2.217e-04 9.593e-02 2.038e-05 0.000e+00
5.173e-01 2.072e-04 9.457e-02 1.863e-05 0.000e+00
5.710e-01 1.701e-04 9.068e-02 1.443e-05 0.000e+00
6.000e-01 1.541e-04 8.875e-02 1.270e-05 0.000e+00
6.304e-01 1.396e-04 8.685e-02 1.118e-05 0.000e+00
6.959e-01 1.146e-04 8.312e-02 8.721e-06 0.000e+00
7.682e-01 9.407e-05 7.947e-02 6.961e-06 0.000e+00
8.000e-01 8.674e-05 7.799e-02 6.416e-06 0.000e+00
8.480e-01 7.720e-05 7.590e-02 5.769e-06 0.000e+00
9.361e-01 6.335e-05 7.242e-02 4.756e-06 0.000e+00
1.000e+00 5.553e-05 7.015e-02 3.989e-06 0.000e+00
1.022e+00 5.318e-05 6.941e-02 3.724e-06 0.000e+00
1.033e+00 5.205e-05 6.904e-02 3.607e-06 3.433e-09
1.141e+00 4.268e-05 6.571e-02 2.907e-06 3.252e-06
1.250e+00 3.556e-05 6.272e-02 2.527e-06 1.756e-05
1.259e+00 3.505e-05 6.249e-02 2.499e-06 1.932e-05
1.390e+00 2.875e-05 5.935e-02 2.105e-06 5.465e-05
1.500e+00 2.469e-05 5.700e-02 1.833e-06 9.703e-05
1.535e+00 2.358e-05 5.631e-02 1.760e-06 1.126e-04
1.694e+00 1.936e-05 5.341e-02 1.492e-06 1.942e-04
1.870e+00 1.589e-05 5.057e-02 1.276e-06 3.004e-04
2.000e+00 1.389e-05 4.866e-02 1.151e-06 3.861e-04
2.044e+00 1.330e-05 4.804e-02 1.113e-06 4.161e-04
2.065e+00 1.303e-05 4.776e-02 1.096e-06 4.305e-04
2.279e+00 1.069e-05 4.508e-02 9.455e-07 5.818e-04
2.516e+00 8.773e-06 4.253e-02 8.193e-07 7.554e-04
2.778e+00 7.198e-06 4.010e-02 7.128e-07 9.508e-04
3.000e+00 6.174e-06 3.827e-02 6.415e-07 1.117e-03
3.066e+00 5.911e-06 3.776e-02 6.229e-07 1.166e-03
3.385e+00 4.850e-06 3.551e-02 5.458e-07 1.403e-03
3.737e+00 3.979e-06 3.335e-02 4.797e-07 1.658e-03
4.000e+00 3.473e-06 3.193e-02 4.396e-07 1.845e-03
4.125e+00 3.266e-06 3.130e-02 4.228e-07 1.931e-03
4.554e+00 2.679e-06 2.933e-02 3.736e-07 2.221e-03
5.000e+00 2.222e-06 2.757e-02 3.330e-07 2.510e-03
5.027e+00 2.199e-06 2.747e-02 3.308e-07 2.527e-03
5.549e+00 1.804e-06 2.570e-02 2.936e-07 2.851e-03
6.000e+00 1.543e-06 2.437e-02 2.675e-07 3.117e-03
6.126e+00 1.480e-06 2.402e-02 2.610e-07 3.190e-03
6.762e+00 1.215e-06 2.244e-02 2.325e-07 3.540e-03
7.000e+00 1.134e-06 2.190e-02 2.234e-07 3.665e-03
7.465e+00 9.970e-07 2.094e-02 2.074e-07 3.901e-03
8.000e+00 8.682e-07 1.993e-02 1.916e-07 4.161e-03
8.241e+00 8.182e-07 1.952e-02 1.852e-07 4.274e-03
9.000e+00 6.860e-07 1.832e-02 1.677e-07 4.618e-03
9.097e+00 6.715e-07 1.818e-02 1.657e-07 4.659e-03
1.000e+01 5.557e-07 1.698e-02 1.490e-07 5.030e-03
1.004e+01 5.512e-07 1.693e-02 1.484e-07 5.046e-03
1.100e+01 4.591e-07 1.583e-02 1.341e-07 5.410e-03
1.109e+01 4.517e-07 1.574e-02 1.329e-07 5.443e-03
1.200e+01 3.858e-07 1.485e-02 1.219e-07 5.760e-03
1.224e+01 3.709e-07 1.463e-02 1.193e-07 5.840e-03
1.300e+01 3.288e-07 1.399e-02 1.117e-07 6.087e-03
1.351e+01 3.044e-07 1.359e-02 1.071e-07 6.244e-03
1.400e+01 2.835e-07 1.323e-02 1.031e-07 6.391e-03
1.491e+01 2.499e-07 1.262e-02 9.630e-08 6.651e-03
1.500e+01 2.469e-07 1.257e-02 9.568e-08 6.675e-03
1.600e+01 2.170e-07 1.197e-02 8.928e-08 6.945e-03
1.646e+01 2.051e-07 1.171e-02 8.661e-08 7.064e-03
1.800e+01 1.715e-07 1.094e-02 7.874e-08 7.439e-03
1.818e+01 1.681e-07 1.085e-02 7.791e-08 7.480e-03
2.000e+01 1.389e-07 1.008e-02 7.040e-08 7.881e-03
