# THALLIUM CHLORIDE from NIST Database
7.004e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.700e+01 4.170e-03 3.500e+00 0.000e+00 0.000e+00
8.100e+01 4.169e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.101e+01 4.348e-03 4.674e+03 0.000e+00
1.020e-03 1.099e+01 4.487e-03 4.490e+03 0.000e+00
1.126e-03 1.089e+01 5.249e-03 3.675e+03 0.000e+00
1.243e-03 1.079e+01 6.126e-03 3.009e+03 0.000e+00
1.372e-03 1.067e+01 7.119e-03 2.465e+03 0.000e+00
1.500e-03 1.056e+01 8.112e-03 2.059e+03 0.000e+00
1.515e-03 1.054e+01 8.228e-03 2.015e+03 0.000e+00
1.672e-03 1.039e+01 9.434e-03 1.628e+03 0.000e+00
1.846e-03 1.021e+01 1.076e-02 1.315e+03 0.000e+00
2.000e-03 1.004e+01 1.193e-02 1.106e+03 0.000e+00
2.038e-03 1.000e+01 1.222e-02 1.060e+03 0.000e+00
2.250e-03 9.761e+00 1.382e-02 8.501e+02 0.000e+00
2.389e-03 9.622e+00 1.482e-02 7.434e+02 0.000e+00
2.389e-03 9.622e+00 1.482e-02 9.963e+02 0.000e+00
2.483e-03 9.536e+00 1.547e-02 1.744e+03 0.000e+00
2.485e-03 9.534e+00 1.548e-02 1.766e+03 0.000e+00
2.485e-03 9.534e+00 1.548e-02 2.035e+03 0.000e+00
2.741e-03 9.267e+00 1.728e-02 1.827e+03 0.000e+00
2.822e-03 9.177e+00 1.785e-02 1.770e+03 0.000e+00
2.822e-03 9.177e+00 1.785e-02 1.985e+03 0.000e+00
2.889e-03 9.105e+00 1.831e-02 1.933e+03 0.000e+00
2.957e-03 9.032e+00 1.878e-02 1.883e+03 0.000e+00
2.957e-03 9.032e+00 1.878e-02 2.145e+03 0.000e+00
3.000e-03 8.987e+00 1.907e-02 2.074e+03 0.000e+00
3.026e-03 8.960e+00 1.925e-02 2.031e+03 0.000e+00
3.341e-03 8.639e+00 2.133e-02 1.593e+03 0.000e+00
3.416e-03 8.565e+00 2.181e-02 1.508e+03 0.000e+00
3.416e-03 8.565e+00 2.181e-02 1.590e+03 0.000e+00
3.688e-03 8.298e+00 2.355e-02 1.321e+03 0.000e+00
3.704e-03 8.283e+00 2.365e-02 1.307e+03 0.000e+00
3.704e-03 8.283e+00 2.365e-02 1.358e+03 0.000e+00
4.000e-03 8.002e+00 2.547e-02 1.129e+03 0.000e+00
4.071e-03 7.936e+00 2.590e-02 1.081e+03 0.000e+00
4.494e-03 7.557e+00 2.838e-02 8.480e+02 0.000e+00
4.961e-03 7.165e+00 3.100e-02 6.655e+02 0.000e+00
5.000e-03 7.133e+00 3.121e-02 6.528e+02 0.000e+00
5.477e-03 6.763e+00 3.376e-02 5.198e+02 0.000e+00
6.000e-03 6.386e+00 3.644e-02 4.137e+02 0.000e+00
6.046e-03 6.355e+00 3.667e-02 4.057e+02 0.000e+00
6.675e-03 5.943e+00 3.974e-02 3.154e+02 0.000e+00
7.368e-03 5.532e+00 4.295e-02 2.452e+02 0.000e+00
8.000e-03 5.194e+00 4.572e-02 1.988e+02 0.000e+00
8.134e-03 5.127e+00 4.629e-02 1.904e+02 0.000e+00
8.979e-03 4.729e+00 4.974e-02 1.474e+02 0.000e+00
9.912e-03 4.338e+00 5.326e-02 1.141e+02 0.000e+00
1.000e-02 4.303e+00 5.358e-02 1.115e+02 0.000e+00
1.094e-02 3.955e+00 5.680e-02 8.811e+01 0.000e+00
1.208e-02 3.585e+00 6.036e-02 6.793e+01 0.000e+00
1.266e-02 3.418e+00 6.205e-02 6.010e+01 0.000e+00
1.266e-02 3.418e+00 6.205e-02 1.451e+02 0.000e+00
1.334e-02 3.235e+00 6.395e-02 1.259e+02 0.000e+00
1.470e-02 2.908e+00 6.746e-02 9.687e+01 0.000e+00
1.470e-02 2.908e+00 6.746e-02 1.338e+02 0.000e+00
1.472e-02 2.903e+00 6.752e-02 1.333e+02 0.000e+00
1.500e-02 2.841e+00 6.820e-02 1.273e+02 0.000e+00
1.535e-02 2.769e+00 6.902e-02 1.203e+02 0.000e+00
1.535e-02 2.769e+00 6.902e-02 1.387e+02 0.000e+00
1.625e-02 2.591e+00 7.107e-02 1.197e+02 0.000e+00
1.794e-02 2.298e+00 7.455e-02 9.291e+01 0.000e+00
1.980e-02 2.029e+00 7.796e-02 7.214e+01 0.000e+00
2.000e-02 2.003e+00 7.830e-02 7.031e+01 0.000e+00
2.186e-02 1.787e+00 8.131e-02 5.557e+01 0.000e+00
2.413e-02 1.573e+00 8.458e-02 4.278e+01 0.000e+00
2.664e-02 1.381e+00 8.774e-02 3.293e+01 0.000e+00
2.941e-02 1.210e+00 9.073e-02 2.535e+01 0.000e+00
3.000e-02 1.178e+00 9.131e-02 2.405e+01 0.000e+00
3.247e-02 1.057e+00 9.352e-02 1.943e+01 0.000e+00
3.584e-02 9.206e-01 9.607e-02 1.490e+01 0.000e+00
3.957e-02 7.978e-01 9.836e-02 1.141e+01 0.000e+00
4.000e-02 7.851e-01 9.859e-02 1.108e+01 0.000e+00
4.368e-02 6.879e-01 1.004e-01 8.724e+00 0.000e+00
4.822e-02 5.905e-01 1.021e-01 6.666e+00 0.000e+00
5.000e-02 5.579e-01 1.026e-01 6.040e+00 0.000e+00
5.323e-02 5.052e-01 1.034e-01 5.089e+00 0.000e+00
5.876e-02 4.314e-01 1.045e-01 3.883e+00 0.000e+00
6.000e-02 4.173e-01 1.046e-01 3.667e+00 0.000e+00
6.486e-02 3.683e-01 1.052e-01 2.959e+00 0.000e+00
7.161e-02 3.140e-01 1.056e-01 2.252e+00 0.000e+00
7.905e-02 2.673e-01 1.057e-01 1.715e+00 0.000e+00
8.000e-02 2.621e-01 1.057e-01 1.660e+00 0.000e+00
8.553e-02 2.347e-01 1.056e-01 1.380e+00 0.000e+00
8.553e-02 2.347e-01 1.056e-01 6.553e+00 0.000e+00
8.726e-02 2.270e-01 1.055e-01 6.216e+00 0.000e+00
9.633e-02 1.925e-01 1.050e-01 4.792e+00 0.000e+00
1.000e-01 1.808e-01 1.048e-01 4.344e+00 0.000e+00
1.063e-01 1.629e-01 1.042e-01 3.701e+00 0.000e+00
1.174e-01 1.372e-01 1.032e-01 2.855e+00 0.000e+00
1.296e-01 1.154e-01 1.019e-01 2.205e+00 0.000e+00
1.431e-01 9.676e-02 1.004e-01 1.700e+00 0.000e+00
1.500e-01 8.896e-02 9.956e-02 1.501e+00 0.000e+00
1.579e-01 8.116e-02 9.862e-02 1.310e+00 0.000e+00
1.743e-01 6.798e-02 9.668e-02 1.007e+00 0.000e+00
1.925e-01 5.684e-02 9.456e-02 7.729e-01 0.000e+00
2.000e-01 5.305e-02 9.370e-02 6.981e-01 0.000e+00
2.125e-01 4.753e-02 9.230e-02 5.943e-01 0.000e+00
2.345e-01 3.974e-02 8.992e-02 4.580e-01 0.000e+00
2.589e-01 3.316e-02 8.744e-02 3.533e-01 0.000e+00
2.858e-01 2.765e-02 8.488e-02 2.731e-01 0.000e+00
3.000e-01 2.528e-02 8.360e-02 2.410e-01 0.000e+00
3.155e-01 2.302e-02 8.227e-02 2.117e-01 0.000e+00
3.483e-01 1.915e-02 7.961e-02 1.645e-01 0.000e+00
3.845e-01 1.590e-02 7.693e-02 1.283e-01 0.000e+00
4.000e-01 1.476e-02 7.586e-02 1.163e-01 0.000e+00
4.245e-01 1.319e-02 7.423e-02 1.005e-01 0.000e+00
4.686e-01 1.093e-02 7.154e-02 7.904e-02 0.000e+00
5.000e-01 9.658e-03 6.978e-02 6.770e-02 0.000e+00
5.173e-01 9.049e-03 6.887e-02 6.247e-02 0.000e+00
5.710e-01 7.487e-03 6.621e-02 4.963e-02 0.000e+00
6.000e-01 6.806e-03 6.488e-02 4.430e-02 0.000e+00
6.304e-01 6.187e-03 6.355e-02 3.961e-02 0.000e+00
6.959e-01 5.110e-03 6.092e-02 3.177e-02 0.000e+00
7.682e-01 4.218e-03 5.832e-02 2.562e-02 0.000e+00
8.000e-01 3.898e-03 5.728e-02 2.349e-02 0.000e+00
8.480e-01 3.480e-03 5.579e-02 2.077e-02 0.000e+00
9.361e-01 2.870e-03 5.331e-02 1.692e-02 0.000e+00
1.000e+00 2.522e-03 5.165e-02 1.480e-02 0.000e+00
1.022e+00 2.417e-03 5.110e-02 1.417e-02 0.000e+00
1.033e+00 2.367e-03 5.084e-02 1.387e-02 7.195e-08
1.141e+00 1.947e-03 4.842e-02 1.139e-02 6.369e-05
1.250e+00 1.628e-03 4.628e-02 9.556e-03 3.224e-04
1.259e+00 1.605e-03 4.611e-02 9.426e-03 3.529e-04
1.390e+00 1.320e-03 4.382e-02 7.827e-03 9.254e-04
1.500e+00 1.136e-03 4.211e-02 6.807e-03 1.540e-03
1.535e+00 1.085e-03 4.160e-02 6.529e-03 1.750e-03
1.694e+00 8.933e-04 3.947e-02 5.480e-03 2.745e-03
1.870e+00 7.345e-04 3.739e-02 4.617e-03 3.865e-03
2.000e+00 6.428e-04 3.598e-02 4.119e-03 4.689e-03
2.044e+00 6.155e-04 3.553e-02 3.970e-03 4.967e-03
2.065e+00 6.032e-04 3.532e-02 3.903e-03 5.100e-03
2.279e+00 4.958e-04 3.335e-02 3.317e-03 6.417e-03
2.516e+00 4.072e-04 3.148e-02 2.829e-03 7.802e-03
2.778e+00 3.344e-04 2.968e-02 2.423e-03 9.244e-03
3.000e+00 2.869e-04 2.834e-02 2.154e-03 1.040e-02
3.066e+00 2.747e-04 2.796e-02 2.084e-03 1.074e-02
3.385e+00 2.256e-04 2.630e-02 1.797e-03 1.230e-02
3.737e+00 1.852e-04 2.470e-02 1.555e-03 1.392e-02
4.000e+00 1.617e-04 2.365e-02 1.410e-03 1.507e-02
4.125e+00 1.521e-04 2.318e-02 1.350e-03 1.560e-02
4.554e+00 1.248e-04 2.173e-02 1.175e-03 1.732e-02
5.000e+00 1.036e-04 2.043e-02 1.034e-03 1.900e-02
5.027e+00 1.025e-04 2.035e-02 1.026e-03 1.910e-02
5.549e+00 8.411e-05 1.905e-02 8.987e-04 2.092e-02
6.000e+00 7.195e-05 1.806e-02 8.105e-04 2.240e-02
6.126e+00 6.903e-05 1.780e-02 7.887e-04 2.280e-02
6.762e+00 5.666e-05 1.663e-02 6.938e-04 2.473e-02
7.000e+00 5.288e-05 1.623e-02 6.637e-04 2.541e-02
7.465e+00 4.650e-05 1.552e-02 6.116e-04 2.670e-02
8.000e+00 4.049e-05 1.477e-02 5.607e-04 2.811e-02
8.241e+00 3.816e-05 1.447e-02 5.404e-04 2.873e-02
9.000e+00 3.200e-05 1.358e-02 4.848e-04 3.059e-02
9.097e+00 3.132e-05 1.348e-02 4.785e-04 3.082e-02
1.000e+01 2.592e-05 1.258e-02 4.265e-04 3.285e-02
1.004e+01 2.571e-05 1.255e-02 4.244e-04 3.294e-02
1.100e+01 2.143e-05 1.174e-02 3.803e-04 3.493e-02
1.109e+01 2.108e-05 1.167e-02 3.766e-04 3.511e-02
1.200e+01 1.800e-05 1.101e-02 3.431e-04 3.689e-02
1.224e+01 1.731e-05 1.085e-02 3.352e-04 3.735e-02
1.300e+01 1.534e-05 1.037e-02 3.124e-04 3.872e-02
1.351e+01 1.420e-05 1.008e-02 2.988e-04 3.960e-02
1.400e+01 1.323e-05 9.813e-03 2.868e-04 4.042e-02
1.491e+01 1.166e-05 9.357e-03 2.665e-04 4.187e-02
1.500e+01 1.152e-05 9.315e-03 2.646e-04 4.201e-02
1.600e+01 1.013e-05 8.871e-03 2.460e-04 4.349e-02
1.646e+01 9.570e-06 8.682e-03 2.382e-04 4.414e-02
1.800e+01 8.004e-06 8.108e-03 2.153e-04 4.619e-02
1.818e+01 7.846e-06 8.047e-03 2.129e-04 4.641e-02
2.000e+01 6.483e-06 7.477e-03 1.913e-04 4.856e-02
