# TITANIUM DIOXIDE from NIST Database
4.260e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 2.504e-02 3.500e+00 0.000e+00 0.000e+00
2.200e+01 1.252e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 2.814e+00 1.050e-02 5.354e+03 0.000e+00
1.020e-03 2.804e+00 1.081e-02 5.087e+03 0.000e+00
1.126e-03 2.754e+00 1.249e-02 3.942e+03 0.000e+00
1.243e-03 2.702e+00 1.443e-02 3.053e+03 0.000e+00
1.372e-03 2.645e+00 1.660e-02 2.364e+03 0.000e+00
1.500e-03 2.588e+00 1.877e-02 1.874e+03 0.000e+00
1.515e-03 2.581e+00 1.902e-02 1.825e+03 0.000e+00
1.672e-03 2.509e+00 2.165e-02 1.403e+03 0.000e+00
1.846e-03 2.429e+00 2.454e-02 1.076e+03 0.000e+00
2.000e-03 2.360e+00 2.710e-02 8.671e+02 0.000e+00
2.038e-03 2.343e+00 2.773e-02 8.235e+02 0.000e+00
2.250e-03 2.250e+00 3.124e-02 6.278e+02 0.000e+00
2.483e-03 2.152e+00 3.508e-02 4.788e+02 0.000e+00
2.741e-03 2.048e+00 3.928e-02 3.646e+02 0.000e+00
3.000e-03 1.949e+00 4.339e-02 2.841e+02 0.000e+00
3.026e-03 1.939e+00 4.379e-02 2.773e+02 0.000e+00
3.341e-03 1.824e+00 4.862e-02 2.101e+02 0.000e+00
3.688e-03 1.706e+00 5.370e-02 1.591e+02 0.000e+00
4.000e-03 1.607e+00 5.805e-02 1.266e+02 0.000e+00
4.071e-03 1.585e+00 5.901e-02 1.204e+02 0.000e+00
4.494e-03 1.463e+00 6.449e-02 9.093e+01 0.000e+00
4.961e-03 1.344e+00 7.004e-02 6.861e+01 0.000e+00
4.966e-03 1.343e+00 7.010e-02 6.840e+01 0.000e+00
4.966e-03 1.343e+00 7.010e-02 4.304e+02 0.000e+00
5.000e-03 1.335e+00 7.048e-02 4.277e+02 0.000e+00
5.477e-03 1.228e+00 7.561e-02 3.557e+02 0.000e+00
6.000e-03 1.123e+00 8.076e-02 2.691e+02 0.000e+00
6.046e-03 1.115e+00 8.119e-02 2.629e+02 0.000e+00
6.675e-03 1.008e+00 8.666e-02 1.987e+02 0.000e+00
7.368e-03 9.095e-01 9.197e-02 1.541e+02 0.000e+00
8.000e-03 8.334e-01 9.623e-02 1.250e+02 0.000e+00
8.134e-03 8.187e-01 9.707e-02 1.197e+02 0.000e+00
8.979e-03 7.360e-01 1.019e-01 9.173e+01 0.000e+00
9.912e-03 6.607e-01 1.066e-01 6.967e+01 0.000e+00
1.000e-02 6.544e-01 1.070e-01 6.796e+01 0.000e+00
1.094e-02 5.927e-01 1.109e-01 5.286e+01 0.000e+00
1.208e-02 5.303e-01 1.151e-01 4.004e+01 0.000e+00
1.334e-02 4.729e-01 1.191e-01 3.028e+01 0.000e+00
1.472e-02 4.201e-01 1.229e-01 2.290e+01 0.000e+00
1.500e-02 4.104e-01 1.236e-01 2.170e+01 0.000e+00
1.625e-02 3.708e-01 1.265e-01 1.725e+01 0.000e+00
1.794e-02 3.253e-01 1.299e-01 1.296e+01 0.000e+00
1.980e-02 2.837e-01 1.331e-01 9.717e+00 0.000e+00
2.000e-02 2.797e-01 1.334e-01 9.435e+00 0.000e+00
2.186e-02 2.459e-01 1.360e-01 7.268e+00 0.000e+00
2.413e-02 2.121e-01 1.386e-01 5.429e+00 0.000e+00
2.664e-02 1.821e-01 1.408e-01 4.047e+00 0.000e+00
2.941e-02 1.559e-01 1.427e-01 3.011e+00 0.000e+00
3.000e-02 1.511e-01 1.430e-01 2.837e+00 0.000e+00
3.247e-02 1.332e-01 1.442e-01 2.236e+00 0.000e+00
3.584e-02 1.136e-01 1.452e-01 1.659e+00 0.000e+00
3.957e-02 9.675e-02 1.459e-01 1.229e+00 0.000e+00
4.000e-02 9.505e-02 1.460e-01 1.189e+00 0.000e+00
4.368e-02 8.229e-02 1.462e-01 9.091e-01 0.000e+00
4.822e-02 6.988e-02 1.461e-01 6.717e-01 0.000e+00
