# TRIETHYL PHOSPHATE from NIST Database
1.070e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 8.234e-02 3.500e+00 0.000e+00 0.000e+00
6.000e+00 3.294e-02 3.500e+00 0.000e+00 0.000e+00
8.000e+00 2.196e-02 3.500e+00 0.000e+00 0.000e+00
1.500e+01 5.490e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.435e+00 1.406e-02 2.812e+03 0.000e+00
1.020e-03 1.429e+00 1.455e-02 2.665e+03 0.000e+00
1.126e-03 1.401e+00 1.726e-02 2.040e+03 0.000e+00
1.243e-03 1.371e+00 2.044e-02 1.560e+03 0.000e+00
1.372e-03 1.338e+00 2.411e-02 1.191e+03 0.000e+00
1.500e-03 1.303e+00 2.785e-02 9.314e+02 0.000e+00
1.515e-03 1.299e+00 2.829e-02 9.060e+02 0.000e+00
1.672e-03 1.255e+00 3.296e-02 6.877e+02 0.000e+00
1.846e-03 1.205e+00 3.814e-02 5.200e+02 0.000e+00
2.000e-03 1.161e+00 4.271e-02 4.141e+02 0.000e+00
2.038e-03 1.151e+00 4.383e-02 3.924e+02 0.000e+00
2.145e-03 1.121e+00 4.697e-02 3.387e+02 0.000e+00
2.145e-03 1.121e+00 4.697e-02 7.168e+02 0.000e+00
2.250e-03 1.092e+00 4.999e-02 6.352e+02 0.000e+00
2.483e-03 1.030e+00 5.655e-02 4.939e+02 0.000e+00
2.741e-03 9.654e-01 6.349e-02 3.824e+02 0.000e+00
3.000e-03 9.049e-01 7.007e-02 3.012e+02 0.000e+00
3.026e-03 8.991e-01 7.070e-02 2.943e+02 0.000e+00
3.341e-03 8.321e-01 7.809e-02 2.248e+02 0.000e+00
3.688e-03 7.659e-01 8.550e-02 1.708e+02 0.000e+00
4.000e-03 7.128e-01 9.155e-02 1.360e+02 0.000e+00
4.071e-03 7.015e-01 9.285e-02 1.295e+02 0.000e+00
4.494e-03 6.396e-01 1.000e-01 9.800e+01 0.000e+00
4.961e-03 5.808e-01 1.070e-01 7.403e+01 0.000e+00
5.000e-03 5.763e-01 1.075e-01 7.240e+01 0.000e+00
5.477e-03 5.257e-01 1.136e-01 5.576e+01 0.000e+00
6.000e-03 4.783e-01 1.193e-01 4.285e+01 0.000e+00
6.046e-03 4.744e-01 1.198e-01 4.191e+01 0.000e+00
6.675e-03 4.268e-01 1.257e-01 3.143e+01 0.000e+00
7.368e-03 3.828e-01 1.312e-01 2.353e+01 0.000e+00
8.000e-03 3.487e-01 1.355e-01 1.847e+01 0.000e+00
8.134e-03 3.421e-01 1.364e-01 1.758e+01 0.000e+00
8.979e-03 3.047e-01 1.412e-01 1.312e+01 0.000e+00
9.912e-03 2.704e-01 1.458e-01 9.767e+00 0.000e+00
1.000e-02 2.674e-01 1.462e-01 9.512e+00 0.000e+00
1.094e-02 2.390e-01 1.501e-01 7.262e+00 0.000e+00
1.208e-02 2.103e-01 1.542e-01 5.383e+00 0.000e+00
1.334e-02 1.843e-01 1.579e-01 3.982e+00 0.000e+00
1.472e-02 1.611e-01 1.614e-01 2.949e+00 0.000e+00
1.500e-02 1.569e-01 1.620e-01 2.783e+00 0.000e+00
1.625e-02 1.402e-01 1.646e-01 2.177e+00 0.000e+00
1.794e-02 1.215e-01 1.675e-01 1.605e+00 0.000e+00
1.980e-02 1.050e-01 1.700e-01 1.183e+00 0.000e+00
2.000e-02 1.035e-01 1.702e-01 1.146e+00 0.000e+00
2.186e-02 9.042e-02 1.721e-01 8.693e-01 0.000e+00
2.413e-02 7.760e-02 1.738e-01 6.384e-01 0.000e+00
2.664e-02 6.637e-02 1.751e-01 4.680e-01 0.000e+00
2.941e-02 5.660e-02 1.760e-01 3.427e-01 0.000e+00
3.000e-02 5.480e-02 1.761e-01 3.219e-01 0.000e+00
3.247e-02 4.813e-02 1.765e-01 2.507e-01 0.000e+00
3.584e-02 4.083e-02 1.765e-01 1.833e-01 0.000e+00
3.957e-02 3.453e-02 1.762e-01 1.338e-01 0.000e+00
4.000e-02 3.390e-02 1.762e-01 1.293e-01 0.000e+00
4.368e-02 2.913e-02 1.755e-01 9.766e-02 0.000e+00
4.822e-02 2.451e-02 1.745e-01 7.121e-02 0.000e+00
5.000e-02 2.300e-02 1.740e-01 6.340e-02 0.000e+00
5.323e-02 2.058e-02 1.731e-01 5.187e-02 0.000e+00
5.876e-02 1.723e-02 1.714e-01 3.775e-02 0.000e+00
6.000e-02 1.660e-02 1.710e-01 3.530e-02 0.000e+00
6.486e-02 1.440e-02 1.693e-01 2.747e-02 0.000e+00
7.161e-02 1.201e-02 1.670e-01 1.997e-02 0.000e+00
7.905e-02 9.997e-03 1.644e-01 1.452e-02 0.000e+00
8.000e-02 9.777e-03 1.641e-01 1.397e-02 0.000e+00
8.726e-02 8.310e-03 1.616e-01 1.056e-02 0.000e+00
9.633e-02 6.897e-03 1.585e-01 7.672e-03 0.000e+00
1.000e-01 6.426e-03 1.573e-01 6.801e-03 0.000e+00
1.063e-01 5.721e-03 1.553e-01 5.584e-03 0.000e+00
1.174e-01 4.733e-03 1.518e-01 4.055e-03 0.000e+00
1.296e-01 3.914e-03 1.482e-01 2.951e-03 0.000e+00
1.431e-01 3.233e-03 1.445e-01 2.148e-03 0.000e+00
1.500e-01 2.951e-03 1.427e-01 1.847e-03 0.000e+00
1.579e-01 2.671e-03 1.406e-01 1.568e-03 0.000e+00
1.743e-01 2.203e-03 1.367e-01 1.145e-03 0.000e+00
1.925e-01 1.814e-03 1.327e-01 8.362e-04 0.000e+00
2.000e-01 1.683e-03 1.311e-01 7.415e-04 0.000e+00
2.125e-01 1.494e-03 1.286e-01 6.132e-04 0.000e+00
2.345e-01 1.231e-03 1.245e-01 4.513e-04 0.000e+00
2.589e-01 1.013e-03 1.204e-01 3.328e-04 0.000e+00
2.858e-01 8.329e-04 1.163e-01 2.465e-04 0.000e+00
3.000e-01 7.566e-04 1.143e-01 2.131e-04 0.000e+00
3.155e-01 6.847e-04 1.122e-01 1.834e-04 0.000e+00
3.483e-01 5.627e-04 1.081e-01 1.371e-04 0.000e+00
3.845e-01 4.623e-04 1.041e-01 1.031e-04 0.000e+00
4.000e-01 4.274e-04 1.025e-01 9.211e-05 0.000e+00
4.245e-01 3.797e-04 1.001e-01 7.794e-05 0.000e+00
4.686e-01 3.119e-04 9.619e-02 5.939e-05 0.000e+00
5.000e-01 2.741e-04 9.364e-02 4.993e-05 0.000e+00
5.173e-01 2.561e-04 9.232e-02 4.566e-05 0.000e+00
5.710e-01 2.104e-04 8.852e-02 3.539e-05 0.000e+00
6.000e-01 1.906e-04 8.664e-02 3.119e-05 0.000e+00
6.304e-01 1.727e-04 8.478e-02 2.752e-05 0.000e+00
6.959e-01 1.418e-04 8.114e-02 2.155e-05 0.000e+00
7.682e-01 1.164e-04 7.758e-02 1.719e-05 0.000e+00
8.000e-01 1.073e-04 7.613e-02 1.580e-05 0.000e+00
8.480e-01 9.551e-05 7.408e-02 1.411e-05 0.000e+00
9.361e-01 7.839e-05 7.068e-02 1.156e-05 0.000e+00
1.000e+00 6.871e-05 6.847e-02 9.819e-06 0.000e+00
1.022e+00 6.579e-05 6.776e-02 9.239e-06 0.000e+00
1.033e+00 6.440e-05 6.741e-02 8.979e-06 3.785e-09
1.141e+00 5.280e-05 6.415e-02 7.280e-06 3.568e-06
1.250e+00 4.400e-05 6.123e-02 6.263e-06 1.919e-05
1.259e+00 4.337e-05 6.100e-02 6.189e-06 2.111e-05
1.390e+00 3.558e-05 5.794e-02 5.201e-06 5.954e-05
