# TUNGSTEN HEXAFLUORIDE from NIST Database
2.400e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
9.000e+00 2.015e-02 3.500e+00 0.000e+00 0.000e+00
7.400e+01 3.358e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 7.685e+00 5.141e-03 4.428e+03 0.000e+00
1.020e-03 7.670e+00 5.309e-03 4.234e+03 0.000e+00
1.126e-03 7.599e+00 6.235e-03 3.384e+03 0.000e+00
1.243e-03 7.522e+00 7.314e-03 2.705e+03 0.000e+00
1.372e-03 7.437e+00 8.554e-03 2.162e+03 0.000e+00
1.500e-03 7.350e+00 9.819e-03 1.764e+03 0.000e+00
1.515e-03 7.339e+00 9.968e-03 1.724e+03 0.000e+00
1.672e-03 7.226e+00 1.155e-02 1.366e+03 0.000e+00
1.809e-03 7.122e+00 1.296e-02 1.133e+03 0.000e+00
1.809e-03 7.122e+00 1.296e-02 1.261e+03 0.000e+00
1.846e-03 7.094e+00 1.335e-02 1.714e+03 0.000e+00
1.872e-03 7.074e+00 1.361e-02 2.177e+03 0.000e+00
1.872e-03 7.074e+00 1.361e-02 2.337e+03 0.000e+00
2.000e-03 6.975e+00 1.497e-02 2.760e+03 0.000e+00
2.038e-03 6.945e+00 1.538e-02 2.632e+03 0.000e+00
2.250e-03 6.779e+00 1.766e-02 2.049e+03 0.000e+00
2.281e-03 6.756e+00 1.799e-02 1.979e+03 0.000e+00
2.281e-03 6.756e+00 1.799e-02 2.258e+03 0.000e+00
2.483e-03 6.608e+00 2.017e-02 1.831e+03 0.000e+00
2.575e-03 6.541e+00 2.117e-02 1.674e+03 0.000e+00
2.575e-03 6.541e+00 2.117e-02 1.768e+03 0.000e+00
2.741e-03 6.415e+00 2.297e-02 1.523e+03 0.000e+00
2.820e-03 6.355e+00 2.382e-02 1.424e+03 0.000e+00
2.820e-03 6.355e+00 2.382e-02 1.480e+03 0.000e+00
3.000e-03 6.218e+00 2.576e-02 1.278e+03 0.000e+00
3.026e-03 6.199e+00 2.604e-02 1.252e+03 0.000e+00
3.341e-03 5.969e+00 2.938e-02 9.826e+02 0.000e+00
3.688e-03 5.727e+00 3.296e-02 7.718e+02 0.000e+00
4.000e-03 5.518e+00 3.607e-02 6.328e+02 0.000e+00
4.071e-03 5.472e+00 3.677e-02 6.055e+02 0.000e+00
4.494e-03 5.203e+00 4.078e-02 4.725e+02 0.000e+00
4.961e-03 4.923e+00 4.495e-02 3.686e+02 0.000e+00
5.000e-03 4.900e+00 4.529e-02 3.615e+02 0.000e+00
5.477e-03 4.633e+00 4.926e-02 2.864e+02 0.000e+00
6.000e-03 4.362e+00 5.328e-02 2.270e+02 0.000e+00
6.046e-03 4.339e+00 5.361e-02 2.225e+02 0.000e+00
6.675e-03 4.043e+00 5.797e-02 1.722e+02 0.000e+00
7.368e-03 3.747e+00 6.228e-02 1.334e+02 0.000e+00
8.000e-03 3.503e+00 6.579e-02 1.078e+02 0.000e+00
8.134e-03 3.454e+00 6.649e-02 1.032e+02 0.000e+00
8.979e-03 3.165e+00 7.058e-02 7.962e+01 0.000e+00
9.912e-03 2.887e+00 7.454e-02 6.143e+01 0.000e+00
