# URANIUM DICARBIDE from NIST Database
1.128e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 7.633e-03 3.500e+00 0.000e+00 0.000e+00
9.200e+01 3.816e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.242e+01 5.269e-03 6.210e+03 0.000e+00
1.020e-03 1.240e+01 5.418e-03 5.990e+03 0.000e+00
1.045e-03 1.237e+01 5.604e-03 5.733e+03 0.000e+00
1.045e-03 1.237e+01 5.604e-03 6.090e+03 0.000e+00
1.126e-03 1.229e+01 6.210e-03 5.289e+03 0.000e+00
1.243e-03 1.216e+01 7.087e-03 4.392e+03 0.000e+00
1.273e-03 1.213e+01 7.312e-03 4.202e+03 0.000e+00
1.273e-03 1.213e+01 7.312e-03 4.260e+03 0.000e+00
1.372e-03 1.201e+01 8.076e-03 3.668e+03 0.000e+00
1.441e-03 1.192e+01 8.609e-03 3.328e+03 0.000e+00
1.441e-03 1.192e+01 8.609e-03 3.393e+03 0.000e+00
1.500e-03 1.185e+01 9.069e-03 3.123e+03 0.000e+00
1.515e-03 1.183e+01 9.185e-03 3.058e+03 0.000e+00
1.672e-03 1.164e+01 1.040e-02 2.488e+03 0.000e+00
1.846e-03 1.143e+01 1.175e-02 2.023e+03 0.000e+00
2.000e-03 1.124e+01 1.293e-02 1.711e+03 0.000e+00
2.038e-03 1.120e+01 1.323e-02 1.641e+03 0.000e+00
2.250e-03 1.094e+01 1.485e-02 1.318e+03 0.000e+00
2.483e-03 1.066e+01 1.660e-02 1.059e+03 0.000e+00
2.741e-03 1.036e+01 1.850e-02 8.511e+02 0.000e+00
3.000e-03 1.006e+01 2.036e-02 6.970e+02 0.000e+00
3.026e-03 1.003e+01 2.055e-02 6.833e+02 0.000e+00
3.341e-03 9.686e+00 2.272e-02 5.443e+02 0.000e+00
3.552e-03 9.458e+00 2.413e-02 4.730e+02 0.000e+00
3.552e-03 9.458e+00 2.413e-02 1.145e+03 0.000e+00
3.688e-03 9.314e+00 2.501e-02 1.034e+03 0.000e+00
3.728e-03 9.272e+00 2.526e-02 1.005e+03 0.000e+00
3.728e-03 9.272e+00 2.526e-02 1.432e+03 0.000e+00
4.000e-03 8.993e+00 2.696e-02 1.201e+03 0.000e+00
4.071e-03 8.922e+00 2.739e-02 1.150e+03 0.000e+00
4.303e-03 8.696e+00 2.878e-02 1.003e+03 0.000e+00
4.303e-03 8.696e+00 2.878e-02 1.167e+03 0.000e+00
4.494e-03 8.516e+00 2.988e-02 1.047e+03 0.000e+00
4.961e-03 8.096e+00 3.243e-02 8.171e+02 0.000e+00
5.000e-03 8.062e+00 3.263e-02 8.012e+02 0.000e+00
5.182e-03 7.907e+00 3.355e-02 7.309e+02 0.000e+00
5.182e-03 7.907e+00 3.355e-02 7.758e+02 0.000e+00
5.477e-03 7.667e+00 3.501e-02 6.763e+02 0.000e+00
5.548e-03 7.611e+00 3.535e-02 6.550e+02 0.000e+00
5.548e-03 7.611e+00 3.535e-02 6.831e+02 0.000e+00
6.000e-03 7.266e+00 3.744e-02 5.645e+02 0.000e+00
6.046e-03 7.232e+00 3.765e-02 5.539e+02 0.000e+00
6.675e-03 6.792e+00 4.035e-02 4.334e+02 0.000e+00
7.368e-03 6.352e+00 4.313e-02 3.392e+02 0.000e+00
8.000e-03 5.985e+00 4.551e-02 2.766e+02 0.000e+00
8.134e-03 5.911e+00 4.600e-02 2.653e+02 0.000e+00
8.979e-03 5.475e+00 4.898e-02 2.069e+02 0.000e+00
9.912e-03 5.046e+00 5.206e-02 1.614e+02 0.000e+00
1.000e-02 5.009e+00 5.234e-02 1.578e+02 0.000e+00
1.094e-02 4.631e+00 5.523e-02 1.254e+02 0.000e+00
1.208e-02 4.227e+00 5.848e-02 9.730e+01 0.000e+00
1.334e-02 3.839e+00 6.178e-02 7.547e+01 0.000e+00
1.472e-02 3.470e+00 6.504e-02 5.866e+01 0.000e+00
1.500e-02 3.401e+00 6.567e-02 5.589e+01 0.000e+00
1.625e-02 3.117e+00 6.828e-02 4.542e+01 0.000e+00
1.717e-02 2.931e+00 7.004e-02 3.940e+01 0.000e+00
1.717e-02 2.931e+00 7.004e-02 9.421e+01 0.000e+00
1.794e-02 2.786e+00 7.144e-02 8.352e+01 0.000e+00
1.980e-02 2.479e+00 7.450e-02 6.380e+01 0.000e+00
2.000e-02 2.449e+00 7.481e-02 6.207e+01 0.000e+00
2.095e-02 2.313e+00 7.622e-02 5.487e+01 0.000e+00
2.095e-02 2.313e+00 7.622e-02 7.792e+01 0.000e+00
2.135e-02 2.260e+00 7.680e-02 7.419e+01 0.000e+00
2.176e-02 2.207e+00 7.737e-02 7.064e+01 0.000e+00
2.176e-02 2.207e+00 7.737e-02 8.151e+01 0.000e+00
2.186e-02 2.195e+00 7.751e-02 8.053e+01 0.000e+00
2.413e-02 1.935e+00 8.042e-02 6.263e+01 0.000e+00
2.664e-02 1.696e+00 8.318e-02 4.869e+01 0.000e+00
2.941e-02 1.482e+00 8.580e-02 3.786e+01 0.000e+00
3.000e-02 1.443e+00 8.632e-02 3.599e+01 0.000e+00
3.247e-02 1.295e+00 8.831e-02 2.927e+01 0.000e+00
3.584e-02 1.131e+00 9.066e-02 2.261e+01 0.000e+00
3.957e-02 9.845e-01 9.283e-02 1.745e+01 0.000e+00
4.000e-02 9.696e-01 9.305e-02 1.697e+01 0.000e+00
4.368e-02 8.545e-01 9.477e-02 1.344e+01 0.000e+00
4.822e-02 7.383e-01 9.645e-02 1.035e+01 0.000e+00
5.000e-02 6.990e-01 9.700e-02 9.405e+00 0.000e+00
5.323e-02 6.349e-01 9.786e-02 7.957e+00 0.000e+00
5.876e-02 5.438e-01 9.898e-02 6.112e+00 0.000e+00
6.000e-02 5.260e-01 9.918e-02 5.780e+00 0.000e+00
6.486e-02 4.643e-01 9.979e-02 4.689e+00 0.000e+00
7.161e-02 3.956e-01 1.003e-01 3.594e+00 0.000e+00
7.905e-02 3.368e-01 1.005e-01 2.755e+00 0.000e+00
8.000e-02 3.303e-01 1.005e-01 2.668e+00 0.000e+00
8.726e-02 2.867e-01 1.004e-01 2.110e+00 0.000e+00
9.633e-02 2.438e-01 1.000e-01 1.615e+00 0.000e+00
1.000e-01 2.292e-01 9.982e-02 1.460e+00 0.000e+00
1.063e-01 2.069e-01 9.942e-02 1.238e+00 0.000e+00
1.156e-01 1.796e-01 9.870e-02 9.864e-01 0.000e+00
1.156e-01 1.796e-01 9.870e-02 4.180e+00 0.000e+00
1.174e-01 1.750e-01 9.855e-02 4.020e+00 0.000e+00
1.296e-01 1.477e-01 9.743e-02 3.128e+00 0.000e+00
1.431e-01 1.244e-01 9.608e-02 2.431e+00 0.000e+00
1.500e-01 1.146e-01 9.536e-02 2.156e+00 0.000e+00
1.579e-01 1.047e-01 9.452e-02 1.891e+00 0.000e+00
1.743e-01 8.781e-02 9.276e-02 1.468e+00 0.000e+00
