# URANIUM MONOCARBIDE from NIST Database
1.363e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.000e+00 4.000e-03 3.500e+00 0.000e+00 0.000e+00
9.200e+01 3.999e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.297e+01 4.915e-03 6.402e+03 0.000e+00
1.020e-03 1.295e+01 5.050e-03 6.178e+03 0.000e+00
1.045e-03 1.292e+01 5.219e-03 5.915e+03 0.000e+00
1.045e-03 1.292e+01 5.219e-03 6.288e+03 0.000e+00
1.126e-03 1.283e+01 5.763e-03 5.467e+03 0.000e+00
1.243e-03 1.269e+01 6.545e-03 4.546e+03 0.000e+00
1.273e-03 1.266e+01 6.745e-03 4.350e+03 0.000e+00
1.273e-03 1.266e+01 6.745e-03 4.411e+03 0.000e+00
1.372e-03 1.254e+01 7.422e-03 3.800e+03 0.000e+00
1.441e-03 1.245e+01 7.894e-03 3.451e+03 0.000e+00
1.441e-03 1.245e+01 7.894e-03 3.518e+03 0.000e+00
1.500e-03 1.237e+01 8.300e-03 3.239e+03 0.000e+00
1.515e-03 1.235e+01 8.403e-03 3.173e+03 0.000e+00
1.672e-03 1.216e+01 9.475e-03 2.583e+03 0.000e+00
1.846e-03 1.194e+01 1.066e-02 2.101e+03 0.000e+00
2.000e-03 1.175e+01 1.170e-02 1.778e+03 0.000e+00
2.038e-03 1.170e+01 1.196e-02 1.706e+03 0.000e+00
2.250e-03 1.143e+01 1.338e-02 1.371e+03 0.000e+00
2.483e-03 1.114e+01 1.493e-02 1.103e+03 0.000e+00
2.741e-03 1.083e+01 1.661e-02 8.864e+02 0.000e+00
3.000e-03 1.052e+01 1.826e-02 7.261e+02 0.000e+00
3.026e-03 1.049e+01 1.843e-02 7.119e+02 0.000e+00
3.341e-03 1.012e+01 2.037e-02 5.674e+02 0.000e+00
3.552e-03 9.888e+00 2.163e-02 4.932e+02 0.000e+00
3.552e-03 9.888e+00 2.163e-02 1.198e+03 0.000e+00
3.688e-03 9.737e+00 2.243e-02 1.082e+03 0.000e+00
3.728e-03 9.694e+00 2.266e-02 1.051e+03 0.000e+00
3.728e-03 9.694e+00 2.266e-02 1.498e+03 0.000e+00
4.000e-03 9.403e+00 2.420e-02 1.257e+03 0.000e+00
