# URANIUM OXIDE from NIST Database
1.096e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.000e+00 7.406e-03 3.500e+00 0.000e+00 0.000e+00
9.200e+01 3.703e-03 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.214e+01 4.999e-03 6.373e+03 0.000e+00
1.020e-03 1.212e+01 5.141e-03 6.143e+03 0.000e+00
1.045e-03 1.209e+01 5.320e-03 5.874e+03 0.000e+00
1.045e-03 1.209e+01 5.320e-03 6.220e+03 0.000e+00
1.126e-03 1.201e+01 5.900e-03 5.389e+03 0.000e+00
1.243e-03 1.188e+01 6.745e-03 4.461e+03 0.000e+00
1.273e-03 1.185e+01 6.961e-03 4.265e+03 0.000e+00
1.273e-03 1.185e+01 6.961e-03 4.321e+03 0.000e+00
1.372e-03 1.173e+01 7.700e-03 3.713e+03 0.000e+00
1.441e-03 1.165e+01 8.218e-03 3.365e+03 0.000e+00
1.441e-03 1.165e+01 8.218e-03 3.427e+03 0.000e+00
1.500e-03 1.158e+01 8.665e-03 3.152e+03 0.000e+00
1.515e-03 1.156e+01 8.779e-03 3.086e+03 0.000e+00
1.672e-03 1.138e+01 9.973e-03 2.505e+03 0.000e+00
1.846e-03 1.117e+01 1.130e-02 2.032e+03 0.000e+00
2.000e-03 1.099e+01 1.249e-02 1.715e+03 0.000e+00
2.038e-03 1.094e+01 1.278e-02 1.645e+03 0.000e+00
2.250e-03 1.069e+01 1.442e-02 1.319e+03 0.000e+00
2.483e-03 1.042e+01 1.620e-02 1.058e+03 0.000e+00
2.741e-03 1.012e+01 1.816e-02 8.488e+02 0.000e+00
3.000e-03 9.831e+00 2.009e-02 6.940e+02 0.000e+00
3.026e-03 9.802e+00 2.028e-02 6.803e+02 0.000e+00
3.341e-03 9.460e+00 2.256e-02 5.412e+02 0.000e+00
3.552e-03 9.236e+00 2.404e-02 4.699e+02 0.000e+00
3.552e-03 9.236e+00 2.404e-02 1.122e+03 0.000e+00
3.688e-03 9.094e+00 2.498e-02 1.014e+03 0.000e+00
3.728e-03 9.053e+00 2.525e-02 9.847e+02 0.000e+00
3.728e-03 9.053e+00 2.525e-02 1.399e+03 0.000e+00
4.000e-03 8.779e+00 2.706e-02 1.174e+03 0.000e+00
4.071e-03 8.710e+00 2.753e-02 1.123e+03 0.000e+00
4.303e-03 8.487e+00 2.901e-02 9.791e+02 0.000e+00
4.303e-03 8.487e+00 2.901e-02 1.139e+03 0.000e+00
4.494e-03 8.311e+00 3.020e-02 1.021e+03 0.000e+00
4.961e-03 7.899e+00 3.296e-02 7.970e+02 0.000e+00
5.000e-03 7.866e+00 3.318e-02 7.815e+02 0.000e+00
5.182e-03 7.713e+00 3.418e-02 7.129e+02 0.000e+00
5.182e-03 7.713e+00 3.418e-02 7.564e+02 0.000e+00
5.477e-03 7.477e+00 3.576e-02 6.593e+02 0.000e+00
5.548e-03 7.422e+00 3.613e-02 6.386e+02 0.000e+00
5.548e-03 7.422e+00 3.613e-02 6.658e+02 0.000e+00
6.000e-03 7.084e+00 3.840e-02 5.501e+02 0.000e+00
6.046e-03 7.051e+00 3.863e-02 5.397e+02 0.000e+00
6.675e-03 6.620e+00 4.154e-02 4.222e+02 0.000e+00
7.368e-03 6.189e+00 4.451e-02 3.304e+02 0.000e+00
8.000e-03 5.830e+00 4.703e-02 2.694e+02 0.000e+00
8.134e-03 5.758e+00 4.754e-02 2.584e+02 0.000e+00
8.979e-03 5.332e+00 5.064e-02 2.015e+02 0.000e+00
9.912e-03 4.913e+00 5.381e-02 1.571e+02 0.000e+00
1.000e-02 4.877e+00 5.410e-02 1.537e+02 0.000e+00
1.094e-02 4.508e+00 5.704e-02 1.221e+02 0.000e+00
1.208e-02 4.115e+00 6.033e-02 9.469e+01 0.000e+00
1.334e-02 3.736e+00 6.364e-02 7.343e+01 0.000e+00
1.472e-02 3.376e+00 6.691e-02 5.707e+01 0.000e+00
1.500e-02 3.309e+00 6.753e-02 5.438e+01 0.000e+00
1.625e-02 3.033e+00 7.014e-02 4.418e+01 0.000e+00
1.717e-02 2.851e+00 7.190e-02 3.832e+01 0.000e+00
1.717e-02 2.851e+00 7.190e-02 9.151e+01 0.000e+00
1.794e-02 2.711e+00 7.329e-02 8.113e+01 0.000e+00
1.980e-02 2.412e+00 7.635e-02 6.197e+01 0.000e+00
2.000e-02 2.382e+00 7.666e-02 6.029e+01 0.000e+00
2.095e-02 2.250e+00 7.807e-02 5.330e+01 0.000e+00
2.095e-02 2.250e+00 7.807e-02 7.567e+01 0.000e+00
2.135e-02 2.198e+00 7.864e-02 7.204e+01 0.000e+00
2.176e-02 2.148e+00 7.922e-02 6.859e+01 0.000e+00
2.176e-02 2.148e+00 7.922e-02 7.914e+01 0.000e+00
2.186e-02 2.135e+00 7.936e-02 7.819e+01 0.000e+00
2.413e-02 1.882e+00 8.227e-02 6.081e+01 0.000e+00
2.664e-02 1.650e+00 8.503e-02 4.728e+01 0.000e+00
2.941e-02 1.442e+00 8.765e-02 3.676e+01 0.000e+00
3.000e-02 1.403e+00 8.816e-02 3.494e+01 0.000e+00
3.247e-02 1.259e+00 9.015e-02 2.842e+01 0.000e+00
3.584e-02 1.100e+00 9.248e-02 2.195e+01 0.000e+00
3.957e-02 9.575e-01 9.463e-02 1.695e+01 0.000e+00
4.000e-02 9.429e-01 9.485e-02 1.647e+01 0.000e+00
4.368e-02 8.309e-01 9.653e-02 1.305e+01 0.000e+00
4.822e-02 7.179e-01 9.818e-02 1.005e+01 0.000e+00
5.000e-02 6.797e-01 9.871e-02 9.130e+00 0.000e+00
5.323e-02 6.174e-01 9.954e-02 7.724e+00 0.000e+00
5.876e-02 5.287e-01 1.006e-01 5.933e+00 0.000e+00
6.000e-02 5.114e-01 1.008e-01 5.611e+00 0.000e+00
6.486e-02 4.515e-01 1.014e-01 4.551e+00 0.000e+00
7.161e-02 3.846e-01 1.018e-01 3.488e+00 0.000e+00
7.905e-02 3.274e-01 1.019e-01 2.675e+00 0.000e+00
8.000e-02 3.211e-01 1.019e-01 2.590e+00 0.000e+00
8.726e-02 2.787e-01 1.018e-01 2.048e+00 0.000e+00
9.633e-02 2.370e-01 1.014e-01 1.568e+00 0.000e+00
1.000e-01 2.228e-01 1.011e-01 1.417e+00 0.000e+00
1.063e-01 2.012e-01 1.007e-01 1.201e+00 0.000e+00
1.156e-01 1.746e-01 9.993e-02 9.574e-01 0.000e+00
1.156e-01 1.746e-01 9.993e-02 4.057e+00 0.000e+00
1.174e-01 1.701e-01 9.977e-02 3.901e+00 0.000e+00
1.296e-01 1.436e-01 9.860e-02 3.035e+00 0.000e+00
1.431e-01 1.209e-01 9.718e-02 2.359e+00 0.000e+00
1.500e-01 1.114e-01 9.644e-02 2.092e+00 0.000e+00
1.579e-01 1.017e-01 9.557e-02 1.835e+00 0.000e+00
1.743e-01 8.534e-02 9.377e-02 1.425e+00 0.000e+00
1.925e-01 7.143e-02 9.178e-02 1.104e+00 0.000e+00
2.000e-01 6.669e-02 9.097e-02 1.001e+00 0.000e+00
2.125e-01 5.979e-02 8.965e-02 8.570e-01 0.000e+00
2.345e-01 5.006e-02 8.741e-02 6.661e-01 0.000e+00
2.589e-01 4.184e-02 8.505e-02 5.177e-01 0.000e+00
2.858e-01 3.496e-02 8.261e-02 4.033e-01 0.000e+00
3.000e-01 3.200e-02 8.138e-02 3.571e-01 0.000e+00
3.155e-01 2.918e-02 8.010e-02 3.149e-01 0.000e+00
3.483e-01 2.433e-02 7.755e-02 2.466e-01 0.000e+00
3.845e-01 2.026e-02 7.497e-02 1.938e-01 0.000e+00
4.000e-01 1.883e-02 7.393e-02 1.762e-01 0.000e+00
4.245e-01 1.685e-02 7.237e-02 1.528e-01 0.000e+00
4.686e-01 1.400e-02 6.978e-02 1.210e-01 0.000e+00
5.000e-01 1.239e-02 6.807e-02 1.041e-01 0.000e+00
5.173e-01 1.162e-02 6.718e-02 9.624e-02 0.000e+00
5.710e-01 9.633e-03 6.460e-02 7.689e-02 0.000e+00
6.000e-01 8.765e-03 6.331e-02 6.883e-02 0.000e+00
6.304e-01 7.976e-03 6.203e-02 6.169e-02 0.000e+00
6.959e-01 6.600e-03 5.948e-02 4.974e-02 0.000e+00
7.682e-01 5.457e-03 5.697e-02 4.026e-02 0.000e+00
8.000e-01 5.047e-03 5.596e-02 3.696e-02 0.000e+00
8.480e-01 4.511e-03 5.451e-02 3.271e-02 0.000e+00
9.361e-01 3.726e-03 5.208e-02 2.670e-02 0.000e+00
1.000e+00 3.277e-03 5.047e-02 2.340e-02 0.000e+00
1.022e+00 3.141e-03 4.995e-02 2.241e-02 0.000e+00
1.033e+00 3.076e-03 4.969e-02 2.195e-02 8.116e-08
1.141e+00 2.534e-03 4.734e-02 1.807e-02 7.529e-05
1.250e+00 2.121e-03 4.524e-02 1.515e-02 3.950e-04
1.259e+00 2.091e-03 4.507e-02 1.494e-02 4.334e-04
1.390e+00 1.722e-03 4.285e-02 1.240e-02 1.164e-03
1.500e+00 1.483e-03 4.119e-02 1.077e-02 1.951e-03
1.535e+00 1.417e-03 4.069e-02 1.033e-02 2.218e-03
1.694e+00 1.167e-03 3.862e-02 8.662e-03 3.449e-03
1.870e+00 9.605e-04 3.659e-02 7.294e-03 4.776e-03
2.000e+00 8.413e-04 3.521e-02 6.506e-03 5.729e-03
2.044e+00 8.060e-04 3.476e-02 6.271e-03 6.049e-03
2.065e+00 7.899e-04 3.455e-02 6.165e-03 6.201e-03
2.279e+00 6.501e-04 3.262e-02 5.237e-03 7.684e-03
2.516e+00 5.343e-04 3.079e-02 4.463e-03 9.199e-03
2.778e+00 4.388e-04 2.904e-02 3.818e-03 1.074e-02
3.000e+00 3.766e-04 2.773e-02 3.390e-03 1.196e-02
3.066e+00 3.607e-04 2.737e-02 3.279e-03 1.231e-02
3.385e+00 2.962e-04 2.574e-02 2.824e-03 1.394e-02
3.737e+00 2.433e-04 2.418e-02 2.441e-03 1.563e-02
4.000e+00 2.124e-04 2.314e-02 2.212e-03 1.682e-02
4.125e+00 1.998e-04 2.269e-02 2.117e-03 1.736e-02
4.554e+00 1.641e-04 2.127e-02 1.841e-03 1.916e-02
5.000e+00 1.362e-04 1.999e-02 1.617e-03 2.089e-02
5.027e+00 1.347e-04 1.992e-02 1.605e-03 2.099e-02
5.549e+00 1.106e-04 1.864e-02 1.404e-03 2.287e-02
6.000e+00 9.463e-05 1.767e-02 1.265e-03 2.439e-02
6.126e+00 9.079e-05 1.742e-02 1.231e-03 2.481e-02
6.762e+00 7.453e-05 1.628e-02 1.081e-03 2.680e-02
7.000e+00 6.956e-05 1.589e-02 1.034e-03 2.751e-02
7.465e+00 6.116e-05 1.519e-02 9.523e-04 2.884e-02
8.000e+00 5.326e-05 1.446e-02 8.723e-04 3.030e-02
8.241e+00 5.020e-05 1.416e-02 8.403e-04 3.095e-02
9.000e+00 4.211e-05 1.329e-02 7.532e-04 3.289e-02
9.097e+00 4.122e-05 1.319e-02 7.433e-04 3.313e-02
1.000e+01 3.411e-05 1.232e-02 6.619e-04 3.526e-02
1.004e+01 3.384e-05 1.228e-02 6.587e-04 3.535e-02
1.100e+01 2.818e-05 1.149e-02 5.899e-04 3.747e-02
1.109e+01 2.773e-05 1.142e-02 5.842e-04 3.766e-02
1.200e+01 2.369e-05 1.078e-02 5.317e-04 3.950e-02
1.224e+01 2.277e-05 1.062e-02 5.194e-04 3.997e-02
1.300e+01 2.019e-05 1.015e-02 4.837e-04 4.142e-02
1.351e+01 1.869e-05 9.863e-03 4.624e-04 4.236e-02
1.400e+01 1.741e-05 9.603e-03 4.436e-04 4.322e-02
1.491e+01 1.535e-05 9.158e-03 4.125e-04 4.477e-02
1.500e+01 1.517e-05 9.117e-03 4.097e-04 4.491e-02
1.600e+01 1.333e-05 8.682e-03 3.803e-04 4.649e-02
1.646e+01 1.260e-05 8.497e-03 3.681e-04 4.718e-02
1.800e+01 1.053e-05 7.935e-03 3.325e-04 4.933e-02
1.818e+01 1.033e-05 7.875e-03 3.288e-04 4.958e-02
2.000e+01 8.531e-06 7.318e-03 2.955e-04 5.188e-02
