# VITON FLUOROELASTOMER from NIST Database
1.800e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 9.342e-03 3.500e+00 0.000e+00 0.000e+00
6.000e+00 2.336e-02 3.500e+00 0.000e+00 0.000e+00
9.000e+00 3.737e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.456e+00 8.584e-03 4.631e+03 0.000e+00
1.020e-03 1.452e+00 8.896e-03 4.399e+03 0.000e+00
1.126e-03 1.430e+00 1.063e-02 3.405e+03 0.000e+00
1.243e-03 1.407e+00 1.268e-02 2.632e+03 0.000e+00
1.372e-03 1.380e+00 1.508e-02 2.030e+03 0.000e+00
1.500e-03 1.352e+00 1.757e-02 1.600e+03 0.000e+00
1.515e-03 1.349e+00 1.787e-02 1.558e+03 0.000e+00
1.672e-03 1.312e+00 2.105e-02 1.192e+03 0.000e+00
1.846e-03 1.270e+00 2.468e-02 9.074e+02 0.000e+00
2.000e-03 1.232e+00 2.795e-02 7.261e+02 0.000e+00
2.038e-03 1.223e+00 2.877e-02 6.889e+02 0.000e+00
2.250e-03 1.170e+00 3.333e-02 5.216e+02 0.000e+00
2.483e-03 1.112e+00 3.835e-02 3.945e+02 0.000e+00
2.741e-03 1.050e+00 4.384e-02 2.975e+02 0.000e+00
3.000e-03 9.893e-01 4.923e-02 2.294e+02 0.000e+00
3.026e-03 9.834e-01 4.976e-02 2.237e+02 0.000e+00
3.341e-03 9.137e-01 5.606e-02 1.678e+02 0.000e+00
3.688e-03 8.424e-01 6.264e-02 1.257e+02 0.000e+00
4.000e-03 7.833e-01 6.822e-02 9.892e+01 0.000e+00
4.071e-03 7.705e-01 6.944e-02 9.391e+01 0.000e+00
4.494e-03 6.994e-01 7.634e-02 7.002e+01 0.000e+00
4.961e-03 6.302e-01 8.326e-02 5.211e+01 0.000e+00
5.000e-03 6.249e-01 8.381e-02 5.090e+01 0.000e+00
5.477e-03 5.642e-01 9.010e-02 3.871e+01 0.000e+00
6.000e-03 5.069e-01 9.623e-02 2.938e+01 0.000e+00
6.046e-03 5.023e-01 9.674e-02 2.871e+01 0.000e+00
6.675e-03 4.450e-01 1.031e-01 2.124e+01 0.000e+00
7.368e-03 3.929e-01 1.091e-01 1.570e+01 0.000e+00
8.000e-03 3.533e-01 1.139e-01 1.219e+01 0.000e+00
8.134e-03 3.457e-01 1.148e-01 1.158e+01 0.000e+00
8.979e-03 3.035e-01 1.201e-01 8.534e+00 0.000e+00
9.912e-03 2.660e-01 1.250e-01 6.278e+00 0.000e+00
1.000e-02 2.628e-01 1.254e-01 6.108e+00 0.000e+00
1.094e-02 2.328e-01 1.295e-01 4.614e+00 0.000e+00
1.208e-02 2.034e-01 1.336e-01 3.382e+00 0.000e+00
1.334e-02 1.775e-01 1.375e-01 2.474e+00 0.000e+00
1.472e-02 1.547e-01 1.410e-01 1.812e+00 0.000e+00
1.500e-02 1.507e-01 1.416e-01 1.707e+00 0.000e+00
1.625e-02 1.346e-01 1.442e-01 1.324e+00 0.000e+00
1.794e-02 1.167e-01 1.471e-01 9.660e-01 0.000e+00
1.980e-02 1.010e-01 1.497e-01 7.046e-01 0.000e+00
2.000e-02 9.951e-02 1.500e-01 6.822e-01 0.000e+00
2.186e-02 8.704e-02 1.520e-01 5.128e-01 0.000e+00
2.413e-02 7.474e-02 1.540e-01 3.730e-01 0.000e+00
2.664e-02 6.392e-02 1.555e-01 2.709e-01 0.000e+00
2.941e-02 5.445e-02 1.567e-01 1.965e-01 0.000e+00
3.000e-02 5.270e-02 1.569e-01 1.843e-01 0.000e+00
3.247e-02 4.621e-02 1.575e-01 1.425e-01 0.000e+00
3.584e-02 3.909e-02 1.578e-01 1.033e-01 0.000e+00
3.957e-02 3.295e-02 1.578e-01 7.476e-02 0.000e+00
4.000e-02 3.233e-02 1.578e-01 7.216e-02 0.000e+00
4.368e-02 2.771e-02 1.575e-01 5.412e-02 0.000e+00
4.822e-02 2.325e-02 1.567e-01 3.914e-02 0.000e+00
5.000e-02 2.178e-02 1.563e-01 3.475e-02 0.000e+00
5.323e-02 1.946e-02 1.556e-01 2.829e-02 0.000e+00
5.876e-02 1.627e-02 1.542e-01 2.043e-02 0.000e+00
6.000e-02 1.566e-02 1.538e-01 1.908e-02 0.000e+00
6.486e-02 1.357e-02 1.524e-01 1.476e-02 0.000e+00
7.161e-02 1.130e-02 1.504e-01 1.066e-02 0.000e+00
7.905e-02 9.399e-03 1.482e-01 7.696e-03 0.000e+00
8.000e-02 9.191e-03 1.479e-01 7.399e-03 0.000e+00
8.726e-02 7.804e-03 1.457e-01 5.559e-03 0.000e+00
9.633e-02 6.469e-03 1.430e-01 4.015e-03 0.000e+00
1.000e-01 6.025e-03 1.419e-01 3.551e-03 0.000e+00
1.063e-01 5.360e-03 1.401e-01 2.905e-03 0.000e+00
1.174e-01 4.429e-03 1.370e-01 2.098e-03 0.000e+00
1.296e-01 3.659e-03 1.337e-01 1.518e-03 0.000e+00
1.431e-01 3.018e-03 1.304e-01 1.099e-03 0.000e+00
1.500e-01 2.754e-03 1.287e-01 9.433e-04 0.000e+00
1.579e-01 2.491e-03 1.269e-01 7.986e-04 0.000e+00
1.743e-01 2.052e-03 1.234e-01 5.804e-04 0.000e+00
1.925e-01 1.688e-03 1.198e-01 4.220e-04 0.000e+00
2.000e-01 1.566e-03 1.183e-01 3.735e-04 0.000e+00
2.125e-01 1.389e-03 1.161e-01 3.081e-04 0.000e+00
2.345e-01 1.143e-03 1.124e-01 2.259e-04 0.000e+00
2.589e-01 9.399e-04 1.087e-01 1.660e-04 0.000e+00
2.858e-01 7.726e-04 1.050e-01 1.226e-04 0.000e+00
3.000e-01 7.017e-04 1.032e-01 1.058e-04 0.000e+00
3.155e-01 6.349e-04 1.013e-01 9.093e-05 0.000e+00
3.483e-01 5.216e-04 9.762e-02 6.780e-05 0.000e+00
