# WATER, LIQUID from NIST Database
1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e+00 1.110e-01 3.500e+00 0.000e+00 0.000e+00
8.000e+00 5.551e-02 3.500e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.000e-03 1.372e+00 1.319e-02 4.076e+03 0.000e+00
1.020e-03 1.368e+00 1.367e-02 3.867e+03 0.000e+00
1.126e-03 1.347e+00 1.630e-02 2.974e+03 0.000e+00
1.243e-03 1.323e+00 1.940e-02 2.285e+03 0.000e+00
1.372e-03 1.297e+00 2.301e-02 1.752e+03 0.000e+00
1.500e-03 1.269e+00 2.673e-02 1.374e+03 0.000e+00
1.515e-03 1.266e+00 2.717e-02 1.337e+03 0.000e+00
1.672e-03 1.230e+00 3.187e-02 1.019e+03 0.000e+00
1.846e-03 1.188e+00 3.715e-02 7.724e+02 0.000e+00
2.000e-03 1.150e+00 4.184e-02 6.162e+02 0.000e+00
2.038e-03 1.140e+00 4.299e-02 5.842e+02 0.000e+00
2.250e-03 1.087e+00 4.940e-02 4.408e+02 0.000e+00
2.483e-03 1.030e+00 5.630e-02 3.322e+02 0.000e+00
2.741e-03 9.683e-01 6.368e-02 2.496e+02 0.000e+00
3.000e-03 9.087e-01 7.075e-02 1.919e+02 0.000e+00
3.026e-03 9.028e-01 7.143e-02 1.871e+02 0.000e+00
3.341e-03 8.346e-01 7.944e-02 1.398e+02 0.000e+00
3.688e-03 7.652e-01 8.758e-02 1.044e+02 0.000e+00
4.000e-03 7.082e-01 9.430e-02 8.197e+01 0.000e+00
4.071e-03 6.959e-01 9.575e-02 7.778e+01 0.000e+00
4.494e-03 6.280e-01 1.038e-01 5.784e+01 0.000e+00
4.961e-03 5.629e-01 1.117e-01 4.293e+01 0.000e+00
5.000e-03 5.579e-01 1.123e-01 4.192e+01 0.000e+00
5.477e-03 5.015e-01 1.193e-01 3.179e+01 0.000e+00
6.000e-03 4.489e-01 1.259e-01 2.407e+01 0.000e+00
6.046e-03 4.447e-01 1.264e-01 2.351e+01 0.000e+00
6.675e-03 3.926e-01 1.331e-01 1.735e+01 0.000e+00
7.368e-03 3.456e-01 1.392e-01 1.280e+01 0.000e+00
8.000e-03 3.102e-01 1.440e-01 9.919e+00 0.000e+00
8.134e-03 3.035e-01 1.449e-01 9.420e+00 0.000e+00
8.979e-03 2.662e-01 1.500e-01 6.925e+00 0.000e+00
9.912e-03 2.333e-01 1.546e-01 5.083e+00 0.000e+00
1.000e-02 2.305e-01 1.550e-01 4.944e+00 0.000e+00
1.094e-02 2.044e-01 1.588e-01 3.728e+00 0.000e+00
1.208e-02 1.790e-01 1.627e-01 2.726e+00 0.000e+00
1.334e-02 1.565e-01 1.662e-01 1.990e+00 0.000e+00
1.472e-02 1.368e-01 1.693e-01 1.454e+00 0.000e+00
1.500e-02 1.333e-01 1.699e-01 1.369e+00 0.000e+00
1.625e-02 1.193e-01 1.722e-01 1.060e+00 0.000e+00
1.794e-02 1.037e-01 1.748e-01 7.718e-01 0.000e+00
1.980e-02 8.988e-02 1.771e-01 5.618e-01 0.000e+00
2.000e-02 8.856e-02 1.774e-01 5.439e-01 0.000e+00
2.186e-02 7.754e-02 1.791e-01 4.081e-01 0.000e+00
2.413e-02 6.661e-02 1.807e-01 2.962e-01 0.000e+00
2.664e-02 5.696e-02 1.819e-01 2.147e-01 0.000e+00
2.941e-02 4.850e-02 1.828e-01 1.555e-01 0.000e+00
3.000e-02 4.694e-02 1.829e-01 1.458e-01 0.000e+00
3.247e-02 4.113e-02 1.832e-01 1.125e-01 0.000e+00
3.584e-02 3.477e-02 1.832e-01 8.144e-02 0.000e+00
3.957e-02 2.929e-02 1.828e-01 5.885e-02 0.000e+00
4.000e-02 2.874e-02 1.827e-01 5.680e-02 0.000e+00
4.368e-02 2.463e-02 1.820e-01 4.253e-02 0.000e+00
4.822e-02 2.066e-02 1.808e-01 3.071e-02 0.000e+00
5.000e-02 1.936e-02 1.803e-01 2.725e-02 0.000e+00
5.323e-02 1.730e-02 1.793e-01 2.216e-02 0.000e+00
5.876e-02 1.446e-02 1.775e-01 1.599e-02 0.000e+00
6.000e-02 1.392e-02 1.770e-01 1.493e-02 0.000e+00
6.486e-02 1.206e-02 1.753e-01 1.154e-02 0.000e+00
7.161e-02 1.004e-02 1.728e-01 8.320e-03 0.000e+00
7.905e-02 8.350e-03 1.701e-01 6.002e-03 0.000e+00
8.000e-02 8.165e-03 1.697e-01 5.770e-03 0.000e+00
8.726e-02 6.931e-03 1.671e-01 4.331e-03 0.000e+00
9.633e-02 5.745e-03 1.639e-01 3.125e-03 0.000e+00
1.000e-01 5.349e-03 1.626e-01 2.763e-03 0.000e+00
1.063e-01 4.759e-03 1.605e-01 2.259e-03 0.000e+00
1.174e-01 3.931e-03 1.569e-01 1.629e-03 0.000e+00
1.296e-01 3.246e-03 1.531e-01 1.178e-03 0.000e+00
1.431e-01 2.677e-03 1.492e-01 8.520e-04 0.000e+00
1.500e-01 2.442e-03 1.473e-01 7.308e-04 0.000e+00
1.579e-01 2.209e-03 1.453e-01 6.184e-04 0.000e+00
1.743e-01 1.819e-03 1.412e-01 4.490e-04 0.000e+00
1.925e-01 1.496e-03 1.370e-01 3.263e-04 0.000e+00
2.000e-01 1.388e-03 1.353e-01 2.887e-04 0.000e+00
2.125e-01 1.231e-03 1.328e-01 2.381e-04 0.000e+00
2.345e-01 1.013e-03 1.285e-01 1.745e-04 0.000e+00
2.589e-01 8.327e-04 1.243e-01 1.282e-04 0.000e+00
2.858e-01 6.844e-04 1.200e-01 9.456e-05 0.000e+00
3.000e-01 6.215e-04 1.179e-01 8.160e-05 0.000e+00
3.155e-01 5.623e-04 1.158e-01 7.010e-05 0.000e+00
3.483e-01 4.619e-04 1.116e-01 5.223e-05 0.000e+00
3.845e-01 3.793e-04 1.074e-01 3.914e-05 0.000e+00
4.000e-01 3.506e-04 1.058e-01 3.493e-05 0.000e+00
4.245e-01 3.114e-04 1.033e-01 2.951e-05 0.000e+00
4.686e-01 2.557e-04 9.925e-02 2.243e-05 0.000e+00
5.000e-01 2.247e-04 9.663e-02 1.883e-05 0.000e+00
5.173e-01 2.099e-04 9.526e-02 1.722e-05 0.000e+00
5.710e-01 1.724e-04 9.133e-02 1.333e-05 0.000e+00
6.000e-01 1.561e-04 8.939e-02 1.173e-05 0.000e+00
6.304e-01 1.415e-04 8.748e-02 1.032e-05 0.000e+00
6.959e-01 1.161e-04 8.372e-02 8.040e-06 0.000e+00
7.682e-01 9.532e-05 8.004e-02 6.419e-06 0.000e+00
8.000e-01 8.790e-05 7.856e-02 5.920e-06 0.000e+00
8.480e-01 7.822e-05 7.646e-02 5.332e-06 0.000e+00
9.361e-01 6.419e-05 7.295e-02 4.401e-06 0.000e+00
1.000e+00 5.627e-05 7.066e-02 3.681e-06 0.000e+00
1.022e+00 5.388e-05 6.991e-02 3.430e-06 0.000e+00
1.033e+00 5.275e-05 6.954e-02 3.320e-06 3.473e-09
1.141e+00 4.325e-05 6.619e-02 2.671e-06 3.290e-06
1.250e+00 3.603e-05 6.318e-02 2.329e-06 1.777e-05
1.259e+00 3.552e-05 6.295e-02 2.303e-06 1.955e-05
1.390e+00 2.913e-05 5.978e-02 1.941e-06 5.531e-05
1.500e+00 2.501e-05 5.742e-02 1.690e-06 9.820e-05
1.535e+00 2.389e-05 5.672e-02 1.622e-06 1.140e-04
1.694e+00 1.962e-05 5.380e-02 1.376e-06 1.966e-04
1.870e+00 1.610e-05 5.094e-02 1.178e-06 3.041e-04
2.000e+00 1.407e-05 4.901e-02 1.063e-06 3.908e-04
2.044e+00 1.347e-05 4.839e-02 1.028e-06 4.212e-04
