Z PY Ekalpha Ekbeta Pkalpha Ebinding
1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.360e-05
2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.880e-04
3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.460e-05
4.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.470e-05
5.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.115e-04
6.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.842e-04
7.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.099e-04
8.000e+00 1.904e-05 5.249e-04 0.000e+00 1.000e+00 5.431e-04
9.000e+00 4.354e-04 6.768e-04 0.000e+00 1.000e+00 6.967e-04
1.000e+01 1.777e-03 8.486e-04 0.000e+00 1.000e+00 8.702e-04
1.100e+01 1.036e-02 1.041e-03 0.000e+00 1.000e+00 1.071e-03
1.200e+01 1.938e-02 1.254e-03 0.000e+00 1.000e+00 1.303e-03
1.300e+01 3.007e-02 1.487e-03 1.557e-03 9.934e-01 1.560e-03
1.400e+01 4.211e-02 1.740e-03 1.836e-03 9.868e-01 1.839e-03
1.500e+01 5.547e-02 2.013e-03 2.139e-03 9.804e-01 2.145e-03
1.600e+01 6.868e-02 2.307e-03 2.464e-03 9.677e-01 2.472e-03
1.700e+01 8.385e-02 2.622e-03 2.816e-03 9.615e-01 2.822e-03
1.800e+01 9.782e-02 2.957e-03 3.191e-03 8.824e-01 3.206e-03
1.900e+01 1.171e-01 3.313e-03 3.590e-03 8.721e-01 3.608e-03
2.000e+01 1.346e-01 3.690e-03 4.013e-03 8.523e-01 4.039e-03
2.100e+01 1.573e-01 4.089e-03 4.461e-03 8.333e-01 4.492e-03
2.200e+01 1.808e-01 4.509e-03 4.932e-03 8.333e-01 4.966e-03
2.300e+01 2.039e-01 4.950e-03 5.427e-03 8.333e-01 5.465e-03
2.400e+01 2.267e-01 5.412e-03 5.947e-03 8.333e-01 5.989e-03
2.500e+01 2.570e-01 5.895e-03 6.490e-03 8.152e-01 6.539e-03
2.600e+01 2.838e-01 6.399e-03 7.058e-03 8.152e-01 7.112e-03
2.700e+01 3.115e-01 6.925e-03 7.649e-03 8.162e-01 7.709e-03
2.800e+01 3.383e-01 7.472e-03 8.265e-03 8.162e-01 8.333e-03
2.900e+01 3.624e-01 8.041e-03 8.905e-03 8.162e-01 8.979e-03
